period,price,volume
2015-12-30,1955,362010
2016-01-04,2010,477834
2016-01-05,2010,498914
2016-01-06,1995,528950
2016-01-07,2000,621748
2016-01-08,2030,368180
2016-01-11,2015,348531
2016-01-12,2100,1090502
2016-01-13,2185,2474314
2016-01-14,2110,552475
2016-01-15,2035,471477
2016-01-18,1860,729044
2016-01-19,1780,759316
2016-01-20,1780,486682
2016-01-21,1730,272209
2016-01-22,1750,153587
2016-01-25,1780,150348
2016-01-26,1735,121340
2016-01-27,1695,165451
2016-01-28,1735,103032
2016-01-29,1740,219560
2016-02-01,1735,115388
2016-02-02,1705,122842
2016-02-03,1650,297768
2016-02-04,1650,185074
2016-02-05,1705,94416
2016-02-11,1625,151504
2016-02-12,1560,300411
2016-02-15,1595,95514
2016-02-16,1645,80845
2016-02-17,1625,86508
2016-02-18,1650,134775
2016-02-19,1670,77745
2016-02-22,1650,83639
2016-02-23,1625,72793
2016-02-24,1625,182683
2016-02-25,1640,101495
2016-02-26,1725,1197880
2016-02-29,1780,836598
2016-03-02,1780,126726
2016-03-03,1785,95217
2016-03-04,1790,65586
2016-03-07,1800,121569
2016-03-08,1805,102860
2016-03-09,1800,43454
2016-03-10,1790,67997
2016-03-11,1790,84427
2016-03-14,1805,131168
2016-03-15,1810,73688
2016-03-16,1810,130155
2016-03-17,1810,46352
2016-03-18,1865,175397
2016-03-21,1865,119615
2016-03-22,1850,100300
2016-03-23,1840,133239
2016-03-24,1805,96291
2016-03-25,1810,76388
2016-03-28,1950,834095
2016-03-29,1920,462905
2016-03-30,1910,236048
2016-03-31,1900,239513
2016-04-01,1885,132061
2016-04-04,1920,379518
2016-04-05,1900,240071
2016-04-06,1920,177865
2016-04-07,1925,170244
2016-04-08,1940,230220
2016-04-11,1910,407091
2016-04-12,1915,110197
2016-04-14,1940,260683
2016-04-15,1950,257464
2016-04-18,1950,339772
2016-04-19,1940,307758
2016-04-20,1895,299158
2016-04-21,1970,1188342
2016-04-22,2050,973239
2016-04-25,1995,643366
2016-04-26,2030,431450
2016-04-27,1980,529265
2016-04-28,1970,156137
2016-04-29,1900,582671
2016-05-02,1910,213439
2016-05-03,1945,431241
2016-05-04,1915,228394
2016-05-09,1875,351023
2016-05-10,1890,240156
2016-05-11,1865,472270
2016-05-12,1885,258749
2016-05-13,1945,261039
2016-05-16,1940,361532
2016-05-17,1835,673873
2016-05-18,1790,402084
2016-05-19,1775,235532
2016-05-20,1830,95756
2016-05-23,1810,159603
2016-05-24,1815,123094
2016-05-25,1845,149503
2016-05-26,1820,124313
2016-05-27,1820,139520
2016-05-30,1780,243427
2016-05-31,1835,147514
2016-06-01,1855,130827
2016-06-02,1905,293651
2016-06-03,1790,643896
2016-06-07,1780,206474
2016-06-08,1760,272348
2016-06-09,1760,200080
2016-06-10,1765,164537
2016-06-13,1755,145983
2016-06-14,1735,133232
2016-06-15,1785,145505
2016-06-16,1725,131524
2016-06-17,1715,97926
2016-06-20,1740,69714
2016-06-21,1730,68388
2016-06-22,1765,176111
2016-06-23,1820,658828
2016-06-24,1780,748117
2016-06-27,1780,256697
2016-06-28,1790,120231
2016-06-29,1810,212728
2016-06-30,1795,71202
2016-07-01,1800,184729
2016-07-04,1810,346255
2016-07-05,1835,686014
2016-07-06,1860,471976
2016-07-07,1820,1425249
2016-07-08,1785,909327
2016-07-11,1865,421622
2016-07-12,1900,870660
2016-07-13,1915,365064
2016-07-14,2005,3723155
2016-07-15,1990,735556
2016-07-18,1925,614848
2016-07-19,1945,265364
2016-07-20,2025,1832268
2016-07-21,1980,467017
2016-07-22,1950,528137
2016-07-25,1990,1045715
2016-07-26,2040,1153384
2016-07-27,2000,520282
2016-07-28,2035,648271
2016-07-29,2050,754680
2016-08-01,2025,344826
2016-08-02,2005,409658
2016-08-03,2050,394419
2016-08-04,2040,678245
2016-08-05,2040,451777
2016-08-08,2140,1045035
2016-08-09,2085,522181
2016-08-10,2115,466563
2016-08-11,2065,454243
2016-08-12,1975,927371
2016-08-16,1980,302027
2016-08-17,1955,206282
2016-08-18,1990,349762
2016-08-19,2025,203516
2016-08-22,1990,163197
2016-08-23,2050,416594
2016-08-24,2050,182272
2016-08-25,1995,353045
2016-08-26,1985,124073
2016-08-29,1945,215503
2016-08-30,1985,272227
