period,price,volume
2015-12-30,2407,13286
2016-01-04,2395,26008
2016-01-05,2407,5101
2016-01-06,2419,20900
2016-01-07,2407,14253
2016-01-08,2401,1027
2016-01-11,2413,1145
2016-01-12,2401,2115
2016-01-13,2401,530
2016-01-14,2389,616
2016-01-15,2401,609
2016-01-18,2389,5102
2016-01-19,2383,15
2016-01-20,2377,13263
2016-01-21,2407,2415
2016-01-22,2407,1738
2016-01-25,2383,6308
2016-01-26,2401,2000
2016-01-27,2401,722
2016-01-28,2407,2300
2016-01-29,2407,2599
2016-02-01,2407,1502
2016-02-02,2389,665
2016-02-03,2389,1899
2016-02-04,2407,12328
2016-02-05,2383,3206
2016-02-11,2413,21
2016-02-12,2407,1904
2016-02-15,2407,918
2016-02-16,2407,1001
2016-02-17,2407,802
2016-02-18,2407,8
2016-02-19,2407,20
2016-02-22,2401,1679
2016-02-23,2401,654
2016-02-24,2395,2
2016-02-25,2395,44
2016-02-26,2383,50772
2016-02-29,2389,3040
2016-03-02,2383,975
2016-03-03,2359,13921
2016-03-04,2395,108714
2016-03-07,2383,2157
2016-03-08,2365,9414
2016-03-09,2359,20524
2016-03-10,2359,2860
2016-03-11,2353,18770
2016-03-14,2365,3474
2016-03-15,2377,179
2016-03-16,2371,67
2016-03-17,2359,9952
2016-03-18,2371,4943
2016-03-21,2359,1320
2016-03-22,2359,2800
2016-03-23,2365,571
2016-03-24,2377,894
2016-03-25,2407,3031
2016-03-28,2401,11
2016-03-29,2359,11886
2016-03-30,2359,10072
2016-03-31,2377,335
2016-04-01,2365,1325
2016-04-04,2365,26
2016-04-05,2383,2495
2016-04-06,2383,788
2016-04-07,2383,12
2016-04-08,2383,779
2016-04-11,2383,87
2016-04-12,2365,2445
2016-04-14,2383,101
2016-04-15,2383,1254
2016-04-18,2365,506
2016-04-19,2359,677
2016-04-20,2359,50159
2016-04-21,2359,569
2016-04-22,2341,51941
2016-04-25,2341,17425
2016-04-26,2353,7820
2016-04-27,2353,123
2016-04-28,2359,1
2016-04-29,2359,48096
2016-05-02,2359,801
2016-05-03,2359,1045
2016-05-04,2359,328
2016-05-09,2365,7468
2016-05-10,2371,970
2016-05-11,2371,484
2016-05-12,2353,521
2016-05-13,2353,5878
2016-05-16,2353,2652
2016-05-17,2383,6497
2016-05-18,2383,16259
2016-05-19,2389,108
2016-05-20,2395,4281
2016-05-23,2383,6538
2016-05-24,2383,15
2016-05-25,2395,10225
2016-05-26,2377,32683
2016-05-27,2371,993
2016-05-30,2341,30870
2016-05-31,2341,4957
2016-06-01,2341,44593
2016-06-02,2347,2101
2016-06-03,2365,80419
2016-06-07,2341,672211
2016-06-08,2341,23430
2016-06-09,2335,26623
2016-06-10,2335,165715
2016-06-13,2407,681634
2016-06-14,2371,187705
2016-06-15,2431,436993
2016-06-16,2395,57364
2016-06-17,2395,19680
2016-06-20,2407,16414
2016-06-21,2413,3264
2016-06-22,2431,43439
2016-06-23,2479,20117
2016-06-24,2467,75455
2016-06-27,2467,17719
2016-06-28,2461,23175
2016-06-29,2479,174137
2016-06-30,2570,198100
2016-07-01,2570,0
2016-07-04,2570,0
2016-07-05,2570,0
2016-07-06,2570,0
2016-07-07,2570,0
2016-07-08,2570,0
2016-07-11,2570,0
2016-07-12,2570,0
2016-07-13,2570,0
2016-07-14,2570,0
2016-07-15,2570,0
2016-07-18,2570,0
2016-07-19,2570,0
2016-07-20,2570,0
2016-07-21,2570,0
2016-07-22,2570,0
2016-07-25,2570,0
2016-07-26,2570,0
2016-07-27,2570,0
2016-07-28,2570,0
2016-07-29,2570,0
2016-08-01,2570,0
2016-08-02,2570,0
2016-08-03,2570,0
2016-08-04,2570,0
2016-08-05,2570,0
2016-08-08,2570,0
2016-08-09,2570,0
2016-08-10,2570,0
2016-08-11,2570,0
2016-08-12,2570,0
2016-08-16,2570,0
2016-08-17,2570,0
2016-08-18,2570,0
2016-08-19,2570,0
2016-08-22,2570,0
2016-08-23,2570,0
2016-08-24,2570,0
2016-08-25,2570,0
2016-08-26,2570,0
2016-08-29,2570,0
2016-08-30,2570,0
2016-08-31,2570,0
2016-09-01,2570,0
2016-09-02,2570,0
2016-09-05,2570,0
2016-09-06,2570,0
2016-09-07,2570,0
2016-09-08,2570,0
2016-09-09,2570,0
2016-09-12,2570,0
2016-09-13,2570,0
2016-09-19,2570,0
2016-09-20,2570,0
2016-09-21,2570,0
2016-09-22,2570,0
2016-09-23,2570,0
2016-09-26,2570,0
2016-09-27,2570,0
2016-09-28,2570,0
2016-09-29,2570,0
2016-09-30,2570,0
2016-10-04,2570,0
2016-10-05,2570,0
2016-10-06,2570,0
2016-10-07,2570,0
2016-10-10,2570,0
2016-10-11,2570,0
2016-10-12,2570,0
2016-10-13,2570,0
2016-10-14,2570,0
2016-10-17,2570,0
2016-10-18,2570,0
2016-10-19,2570,0
2016-10-20,2570,0
2016-10-21,2570,0
2016-10-24,2570,0
2016-10-25,2570,0
2016-10-26,2570,0
2016-10-27,2570,0
2016-10-28,2570,0
2016-10-31,2570,0
2016-11-01,2570,0
2016-11-02,2570,0
