period,price,volume
2019-08-01,28000,3652194
2019-08-02,27300,436059
2019-08-05,21000,398308
2019-08-06,19000,330281
2019-08-07,22250,860921
2019-08-08,22400,193032
2019-08-09,22350,94444
2019-08-12,23100,302876
2019-08-13,23700,151246
2019-08-14,23250,58226
2019-08-16,20300,180733
2019-08-19,18150,156509
2019-08-20,18900,103645
2019-08-21,19700,122104
2019-08-22,19600,49067
2019-08-23,19150,67228
2019-08-26,18350,35655
2019-08-27,18250,27201
2019-08-28,18900,33248
2019-08-29,19950,352978
2019-08-30,20000,64998
2019-09-02,19450,74874
2019-09-03,20000,118070
2019-09-04,20200,54666
2019-09-05,20300,66990
2019-09-06,20500,40812
2019-09-09,21600,309716
2019-09-10,22550,192332
2019-09-11,22450,56712
2019-09-16,21850,42492
2019-09-17,21400,45431
2019-09-18,21350,29036
2019-09-19,22050,38504
2019-09-20,22000,42108
2019-09-23,21650,28387
2019-09-24,21450,27429
2019-09-25,20500,41758
2019-09-26,19850,44421
2019-09-27,19600,38341
2019-09-30,20000,18618
2019-10-01,19850,29049
2019-10-02,20200,82729
2019-10-04,20250,24870
2019-10-07,19650,15152
2019-10-08,19600,23843
2019-10-10,19800,13718
2019-10-11,19800,16190
2019-10-14,19950,10167
2019-10-15,19950,17444
2019-10-16,20000,17871
2019-10-17,19200,54594
2019-10-18,19350,15791
2019-10-21,19500,17059
2019-10-22,19500,12600
2019-10-23,19400,19962
2019-10-24,19000,22917
2019-10-25,18850,22138
2019-10-28,19100,16113
2019-10-29,19300,15714
2019-10-30,19050,25825
2019-10-31,19950,56160
2019-11-01,19800,15726
2019-11-04,20000,14253
2019-11-05,20100,25414
2019-11-06,20350,22707
2019-11-07,20300,32622
2019-11-08,20050,12916
2019-11-11,19950,10035
2019-11-12,20250,26061
2019-11-13,20100,8797
2019-11-14,19400,47043
2019-11-15,19300,28664
