period,price,volume
2017-12-06,38500,2238668
2017-12-07,39100,355217
2017-12-08,39400,127728
2017-12-11,38350,125305
2017-12-12,36950,175065
2017-12-13,39000,182069
2017-12-14,42700,535374
2017-12-15,42700,142751
2017-12-18,43900,184514
2017-12-19,44500,125135
2017-12-20,43700,52602
2017-12-21,41050,100925
2017-12-22,41300,104939
2017-12-26,40050,125067
2017-12-27,40050,81672
2017-12-28,42450,155246
2018-01-02,42700,100310
2018-01-03,43350,85414
2018-01-04,41950,52676
2018-01-05,43400,85521
2018-01-08,41400,269585
2018-01-09,40350,137568
2018-01-10,39350,132133
2018-01-11,40500,85498
2018-01-12,40000,101508
2018-01-15,40500,74185
2018-01-16,41200,62156
2018-01-17,39850,81321
2018-01-18,39700,43427
2018-01-19,39700,34651
2018-01-22,38450,82904
2018-01-23,38750,49508
2018-01-24,39300,36663
2018-01-25,39050,77773
2018-01-26,39900,63078
2018-01-29,39300,66376
2018-01-30,38800,41100
2018-01-31,38600,63696
2018-02-01,38150,56962
2018-02-02,37250,48208
2018-02-05,34950,119238
2018-02-06,34500,88336
2018-02-07,33450,56625
2018-02-08,35500,71425
2018-02-09,37450,215421
2018-02-12,35900,78811
2018-02-13,34500,67350
2018-02-14,35950,56799
2018-02-19,35800,43987
2018-02-20,36000,31069
2018-02-21,36400,28394
2018-02-22,36500,20172
2018-02-23,36000,21002
2018-02-26,35550,45494
2018-02-27,36150,41497
2018-02-28,36000,38694
2018-03-02,35800,31807
2018-03-05,34450,40651
2018-03-06,34100,188152
2018-03-07,33800,79338
2018-03-08,34950,46530
2018-03-09,34900,57452
2018-03-12,35000,30793
2018-03-13,37400,133655
2018-03-14,37350,59941
2018-03-15,38450,99118
2018-03-16,38100,45121
2018-03-19,37400,37353
2018-03-20,36600,52716
2018-03-21,36300,59622
2018-03-22,37650,100975
2018-03-23,36000,32429
2018-03-26,36200,37212
2018-03-27,37300,53273
2018-03-28,34950,86327
2018-03-29,35600,46347
2018-03-30,35250,49579
2018-04-02,34300,58647
2018-04-03,34950,31511
2018-04-04,34650,29081
2018-04-05,36000,58707
2018-04-06,35400,32764
2018-04-09,35450,32859
2018-04-10,36600,112428
2018-04-11,37700,107993
2018-04-12,38050,70947
2018-04-13,37050,84797
2018-04-16,37400,25574
2018-04-17,37300,35612
2018-04-18,37700,50525
2018-04-19,37250,78954
2018-04-20,37050,41921
2018-04-23,36000,51763
2018-04-24,35550,36435
2018-04-25,35050,19008
2018-04-26,36600,36034
2018-04-27,36000,28008
2018-04-30,34950,52336
2018-05-02,34900,14010
2018-05-03,34300,56594
2018-05-04,34700,29620
2018-05-08,34900,39015
2018-05-09,35650,60312
2018-05-10,35500,21072
2018-05-11,35700,18667
2018-05-14,35200,66148
2018-05-15,35200,36307
2018-05-16,35700,74385
2018-05-17,36700,111811
2018-05-18,37000,63748
2018-05-21,36250,33672
2018-05-23,36400,166653
2018-05-24,35450,68229
2018-05-25,34800,112934
2018-05-28,34750,42515
2018-05-29,35250,22797
2018-05-30,35100,27456
2018-05-31,35800,46544
2018-06-01,36550,56211
2018-06-04,36000,32101
2018-06-05,35750,35881
2018-06-07,35450,41091
2018-06-08,35000,51385
2018-06-11,34800,36846
2018-06-12,35800,56764
2018-06-14,36100,48368
2018-06-15,35850,25426
2018-06-18,34800,69113
2018-06-19,31650,128505
2018-06-20,32400,39772
2018-06-21,31700,31663
2018-06-22,31900,34991
2018-06-25,30400,72503
2018-06-26,28850,119463
2018-06-27,30050,49828
2018-06-28,29300,34704
2018-06-29,29300,24965
2018-07-02,28750,30069
2018-07-03,28450,58328
2018-07-04,28850,14598
2018-07-05,28350,22651
2018-07-06,27900,42994
2018-07-09,28000,25168
2018-07-10,29100,28970
2018-07-11,29300,31617
2018-07-12,28200,45065
2018-07-13,28300,29626
2018-07-16,28000,20090
2018-07-17,27800,32986
2018-07-18,27500,35563
2018-07-19,26100,72924
2018-07-20,26000,74153
2018-07-23,24300,73216
2018-07-24,23750,107006
2018-07-25,23500,78129
2018-07-26,23800,76624
2018-07-27,24550,193367
2018-07-30,24650,72478
2018-07-31,24400,114520
2018-08-01,25250,96994
2018-08-02,24800,65262
2018-08-03,24000,103560
2018-08-06,23950,42344
2018-08-07,24000,22822
2018-08-08,24550,98099
2018-08-09,24500,29213
2018-08-10,23750,65444
2018-08-13,21600,153163
2018-08-14,21300,77369
2018-08-16,21700,49030
2018-08-17,21850,51104
2018-08-20,21400,56721
2018-08-21,22500,63655
2018-08-22,23400,78514
2018-08-23,23450,57021
2018-08-24,23200,41510
2018-08-27,22450,33867
2018-08-28,22150,90270
2018-08-29,24000,133932
2018-08-30,24500,154222
2018-08-31,23900,63569
2018-09-03,23900,60676
2018-09-04,23750,31550
2018-09-05,23450,44614
2018-09-06,23700,45332
2018-09-07,22300,96949
2018-09-10,22000,48741
2018-09-11,22200,36198
2018-09-12,22600,52628
2018-09-13,22350,48661
2018-09-14,23050,49439
2018-09-17,23600,104503
2018-09-18,22450,128547
2018-09-19,22050,47704
2018-09-20,21150,95929
2018-09-21,21400,37158
2018-09-27,20900,45098
2018-09-28,20900,35634
2018-10-01,20850,27627
2018-10-02,19700,105013
2018-10-04,18050,163272
2018-10-05,18000,55604
2018-10-08,17850,28232
2018-10-10,16950,81348
2018-10-11,15950,98579
2018-10-12,16350,78026
2018-10-15,16100,48819
2018-10-16,16450,38080
2018-10-17,17000,45562
2018-10-18,16450,48138
2018-10-19,16400,25624
2018-10-22,16100,50441
2018-10-23,15750,43137
2018-10-24,15200,46397
2018-10-25,15200,106703
2018-10-26,14650,64007
2018-10-29,13750,86616
2018-10-30,14250,116853
2018-10-31,15150,80444
2018-11-01,15350,79788
2018-11-02,17550,306133
2018-11-05,17250,62456
2018-11-06,16800,55308
2018-11-07,17000,44292
2018-11-08,15900,145642
2018-11-09,15250,133726
2018-11-12,15150,48615
2018-11-13,14750,56465
2018-11-14,14800,41082
2018-11-15,15050,31160
2018-11-16,15700,88906
2018-11-19,16500,125254
2018-11-20,15950,96109
2018-11-21,16400,55264
2018-11-22,16150,53269
2018-11-23,15950,42906
2018-11-26,16050,38928
2018-11-27,16350,55830
2018-11-28,16100,27645
2018-11-29,16300,36606
2018-11-30,15900,69816
2018-12-03,15850,61225
2018-12-04,15650,47931
2018-12-05,14900,47703
2018-12-06,14800,34262
2018-12-07,14700,23637
2018-12-10,14100,24622
2018-12-11,14000,7701
2018-12-12,14200,18162
2018-12-13,14550,19202
2018-12-14,14300,16413
2018-12-17,14050,35766
2018-12-18,14000,11791
2018-12-19,13800,24013
2018-12-20,13750,27538
2018-12-21,14150,13298
2018-12-24,14250,18346
2018-12-26,14000,32034
2018-12-27,13900,13327
2018-12-28,14100,19864
2019-01-02,13850,7841
2019-01-03,13200,25368
2019-01-04,12900,32282
2019-01-07,13150,19193
2019-01-08,13200,14160
2019-01-09,13550,25264
2019-01-10,13750,36628
2019-01-11,14050,23484
2019-01-14,13900,11994
2019-01-15,14050,18311
2019-01-16,14050,24781
2019-01-17,14200,53456
2019-01-18,14250,23575
2019-01-21,14650,36929
2019-01-22,14350,17446
2019-01-23,14200,15699
2019-01-24,14750,59774
2019-01-25,16350,1029714
2019-01-28,16350,163783
2019-01-29,16850,119171
2019-01-30,17700,308539
