period,price,volume
2015-12-30,21656,87404
2016-01-04,20960,72174
2016-01-05,21369,102605
2016-01-06,21165,110438
2016-01-07,20673,81990
2016-01-08,20878,104051
2016-01-11,20673,93217
2016-01-12,20469,56385
2016-01-13,21123,106360
2016-01-14,20551,97217
2016-01-15,20100,79540
2016-01-18,19773,74668
2016-01-19,19363,91535
2016-01-20,19446,196775
2016-01-21,19159,288949
2016-01-22,19650,79791
2016-01-25,19322,199860
2016-01-26,18586,189688
2016-01-27,17971,222988
2016-01-28,17930,135171
2016-01-29,17726,114184
2016-02-01,16539,338434
2016-02-02,16825,136293
2016-02-03,15557,315928
2016-02-04,16498,252619
2016-02-05,16252,118527
2016-02-11,15310,120770
2016-02-12,14042,203037
2016-02-15,14451,222030
2016-02-16,14984,147392
2016-02-17,14860,200689
2016-02-18,15187,253234
2016-02-19,15598,216881
2016-02-22,15678,108131
2016-02-23,15228,123876
2016-02-24,15147,66241
2016-02-25,15557,163891
2016-02-26,15434,81136
2016-02-29,15475,70739
2016-03-02,15351,137893
2016-03-03,15351,115696
2016-03-04,15843,189854
2016-03-07,15598,156834
2016-03-08,15598,94315
2016-03-09,15557,92689
2016-03-10,15925,133885
2016-03-11,15843,99283
2016-03-14,15719,142180
2016-03-15,14901,242786
2016-03-16,14901,78948
2016-03-17,14696,191609
2016-03-18,14860,120270
2016-03-21,14655,112387
2016-03-22,14574,97902
2016-03-23,14533,84236
2016-03-24,14451,121984
2016-03-25,14124,98683
2016-03-28,14451,110681
2016-03-29,14574,111588
2016-03-30,15269,341867
2016-03-31,15228,133537
2016-04-01,15106,192122
2016-04-04,14901,83819
2016-04-05,14819,128116
2016-04-06,15187,180459
2016-04-07,15065,110295
2016-04-08,15269,166820
2016-04-11,15351,153714
2016-04-12,15228,131850
2016-04-14,14943,107342
2016-04-15,15106,73723
2016-04-18,14984,96527
2016-04-19,15025,76907
2016-04-20,18258,3522768
2016-04-21,17848,939654
2016-04-22,18749,2047957
2016-04-25,19322,805451
2016-04-26,19281,380290
2016-04-27,19896,601353
2016-04-28,19486,337349
2016-04-29,19363,259576
2016-05-02,18995,303552
2016-05-03,19527,327550
2016-05-04,19159,139668
2016-05-09,18954,157205
2016-05-10,18954,155496
2016-05-11,19650,444311
2016-05-12,19446,203103
2016-05-13,18872,222968
2016-05-16,18258,423539
2016-05-17,18095,229091
2016-05-18,18421,296445
2016-05-19,18054,157896
2016-05-20,18421,229569
2016-05-23,18749,350075
2016-05-24,18299,214770
2016-05-25,18012,140837
2016-05-26,17030,270304
2016-05-27,17276,142507
2016-05-30,16662,246563
2016-05-31,16866,198818
2016-06-01,16662,125660
2016-06-02,17030,243321
2016-06-03,16580,245764
2016-06-07,16416,148263
2016-06-08,16580,94953
2016-06-09,16293,200685
2016-06-10,16702,251187
2016-06-13,16375,93716
2016-06-14,16007,70506
2016-06-15,16252,48823
2016-06-16,15884,140892
2016-06-17,15801,166702
2016-06-20,15801,56698
2016-06-21,15678,64269
2016-06-22,15843,59032
2016-06-23,15719,84053
2016-06-24,14410,290188
2016-06-27,14696,172437
2016-06-28,14696,109099
2016-06-29,16539,2156576
2016-06-30,16948,364774
2016-07-01,17071,185208
2016-07-04,17357,142633
2016-07-05,17439,99461
2016-07-06,16989,161881
2016-07-07,17645,236194
2016-07-08,18380,448188
2016-07-11,18749,366066
2016-07-12,18380,133519
2016-07-13,18749,146241
2016-07-14,19322,394983
2016-07-15,19077,190381
2016-07-18,18668,250695
2016-07-19,19200,235239
2016-07-20,18790,109905
2016-07-21,18380,199502
2016-07-22,18095,135046
2016-07-25,18586,178188
2016-07-26,19650,755077
2016-07-27,18954,436358
2016-07-28,18380,296851
2016-07-29,18136,274076
2016-08-01,17439,145719
2016-08-02,17480,84746
2016-08-03,17398,170493
2016-08-04,17562,123872
2016-08-05,17439,111416
2016-08-08,17398,72464
2016-08-09,17521,74708
2016-08-10,17645,77275
2016-08-11,17726,57371
2016-08-12,17480,83040
2016-08-16,17030,100712
2016-08-17,16989,71128
2016-08-18,16539,94060
2016-08-19,16375,134279
2016-08-22,15801,116704
2016-08-23,15801,104883
2016-08-24,15801,53989
2016-08-25,16210,131781
2016-08-26,15760,61856
2016-08-29,15106,135511
2016-08-30,15516,87187
2016-08-31,15475,71604
2016-09-01,15557,60100
2016-09-02,16210,94917
2016-09-05,16375,83231
2016-09-06,16334,50725
2016-09-07,16210,69092
2016-09-08,15843,920946
2016-09-09,16416,129262
2016-09-12,15843,42841
2016-09-13,16293,38065
2016-09-19,16375,47521
2016-09-20,16334,60487
2016-09-21,16252,55595
2016-09-22,16130,105955
2016-09-23,16089,163226
2016-09-26,16048,57505
2016-09-27,15966,62086
2016-09-28,15638,88171
2016-09-29,15638,53188
2016-09-30,15434,134194
2016-10-04,15393,41430
2016-10-05,15310,31274
2016-10-06,15351,88598
2016-10-07,15310,66713
2016-10-10,15147,47643
2016-10-11,14984,34025
2016-10-12,14860,88912
2016-10-13,14943,624065
2016-10-14,15147,106518
2016-10-17,14574,87510
2016-10-18,13837,236522
2016-10-19,13755,112094
2016-10-20,14410,107863
2016-10-21,14205,121082
2016-10-24,14205,84762
2016-10-25,14493,242050
2016-10-26,14124,97181
2016-10-27,14860,193679
2016-10-28,14574,64250
2016-10-31,14000,65191
2016-11-01,13960,54063
2016-11-02,13141,141056
2016-11-03,13305,63334
2016-11-04,13673,81454
2016-11-07,13755,56359
2016-11-08,14000,71371
2016-11-09,13428,163543
2016-11-10,14042,118873
2016-11-11,13796,72351
2016-11-14,13591,51913
2016-11-15,13509,72801
2016-11-16,13550,151420
2016-11-17,13837,92399
2016-11-18,13550,49267
2016-11-21,13223,64263
2016-11-22,13305,46929
2016-11-23,13018,91588
2016-11-24,12445,94990
2016-11-25,12568,96661
2016-11-28,12404,47703
2016-11-29,12404,69483
2016-11-30,12363,49534
2016-12-01,12363,87293
2016-12-02,12199,54162
2016-12-05,11913,108772
2016-12-06,9211,2221826
2016-12-07,9948,5213252
2016-12-08,9825,1040239
2016-12-09,10153,737482
2016-12-12,10193,519657
2016-12-13,10357,257584
2016-12-14,10398,265605
2016-12-15,10725,552107
2016-12-16,11053,214089
2016-12-19,11013,175256
2016-12-20,10972,130519
2016-12-21,10848,159571
2016-12-22,10848,140811
2016-12-23,11094,247435
2016-12-26,11176,210691
2016-12-27,11298,224323
2016-12-28,11167,172454
2016-12-29,11167,89346
2017-01-02,10863,114208
2017-01-03,11473,221817
2017-01-04,11167,151529
2017-01-05,11386,133546
2017-01-06,11429,134407
2017-01-09,11167,125087
2017-01-10,10994,103842
2017-01-11,10776,136702
2017-01-12,11124,132122
2017-01-13,11037,82899
2017-01-16,11081,90747
2017-01-17,10863,83397
2017-01-18,10776,104722
2017-01-19,10906,97199
2017-01-20,10732,67133
2017-01-23,10645,71117
2017-01-24,10819,127278
2017-01-25,11037,121485
2017-01-26,10994,77173
2017-01-31,10906,85339
2017-02-01,11429,196100
2017-02-02,11517,506045
2017-02-03,11342,162336
2017-02-06,11517,240009
2017-02-07,11342,115673
2017-02-08,11124,104964
2017-02-09,11648,157388
2017-02-10,11342,144672
2017-02-13,11560,124416
2017-02-14,11386,88534
2017-02-15,11255,86823
2017-02-16,11342,65886
2017-02-17,11735,492739
2017-02-20,12041,254338
2017-02-21,12041,91203
2017-02-22,12215,265826
2017-02-23,11997,121999
2017-02-24,11735,141041
2017-02-27,11604,134877
2017-02-28,11473,82725
2017-03-02,11298,97847
2017-03-03,10863,195701
2017-03-06,11037,89298
2017-03-07,10950,81054
2017-03-08,11124,75410
2017-03-09,11037,59490
2017-03-10,11255,52500
2017-03-13,11386,42849
2017-03-14,11037,126632
2017-03-15,10819,94763
2017-03-16,11037,66901
2017-03-17,11342,102822
2017-03-20,11386,86335
2017-03-21,11342,97704
2017-03-22,11517,103658
2017-03-23,11211,128909
2017-03-24,11255,66628
2017-03-27,11167,80580
2017-03-28,11255,105086
2017-03-29,11473,121168
2017-03-30,11735,278036
2017-03-31,11779,112122
2017-04-03,11560,118314
2017-04-04,12390,2006850
2017-04-05,12476,485555
2017-04-06,12738,668433
2017-04-07,12520,265659
2017-04-10,12172,281945
2017-04-11,12433,194057
2017-04-12,12259,105528
2017-04-13,12390,98015
2017-04-14,12041,97007
2017-04-17,12390,145832
2017-04-18,12259,110200
2017-04-19,12128,89680
2017-04-20,12215,99883
2017-04-21,12172,206681
2017-04-24,12041,157954
2017-04-25,12084,79025
2017-04-26,12215,170908
2017-04-27,11953,166801
2017-04-28,11822,105318
2017-05-02,11560,122815
2017-05-04,11735,76147
2017-05-08,11910,80283
2017-05-10,11691,103338
2017-05-11,11604,135428
2017-05-12,11691,82241
2017-05-15,11735,66314
2017-05-16,11779,90640
2017-05-17,11648,82210
2017-05-18,11386,147406
2017-05-19,11429,123253
2017-05-22,11386,101198
2017-05-23,11517,133054
2017-05-24,11560,109830
2017-05-25,11429,115235
2017-05-26,11604,102605
2017-05-29,11910,318575
2017-05-30,12041,176623
2017-05-31,11997,187936
2017-06-01,11997,110994
2017-06-02,12259,258736
2017-06-05,12172,105378
2017-06-07,12128,182652
2017-06-08,12128,131133
2017-06-09,12215,105945
2017-06-12,11910,129470
2017-06-13,11953,116301
2017-06-14,11866,123992
2017-06-15,11691,83103
2017-06-16,11648,125733
2017-06-19,12041,130520
2017-06-20,11779,107354
2017-06-21,11473,139151
2017-06-22,11604,76567
2017-06-23,11822,121128
2017-06-26,11648,86097
2017-06-27,12738,988989
