period,ratio
2016-09-23,4.69921
2016-09-24,1.17023
2016-09-25,1.18851
2016-09-26,4.66264
2016-09-27,12.01316
2016-09-28,8.22819
2016-09-29,5.13805
2016-09-30,4.53464
2016-10-01,0.98738
2016-10-02,1.37136
2016-10-03,1.93819
2016-10-04,4.93691
2016-10-05,4.09581
2016-10-06,3.96781
2016-10-07,3.69354
2016-10-08,1.04223
2016-10-09,0.93252
2016-10-10,4.38837
2016-10-11,3.56555
2016-10-12,6.98482
2016-10-13,3.51069
2016-10-14,3.21813
2016-10-15,1.02395
2016-10-16,0.74968
2016-10-17,3.67526
2016-10-18,3.80325
2016-10-19,3.6204
2016-10-20,3.94953
2016-10-21,4.55293
2016-10-22,1.04223
2016-10-23,1.24337
2016-10-24,4.93691
2016-10-25,3.94953
2016-10-26,3.80325
2016-10-27,3.43755
2016-10-28,3.65697
2016-10-29,1.24337
2016-10-30,1.15194
2016-10-31,4.00438
2016-11-01,4.40665
2016-11-02,5.21119
2016-11-03,4.38837
2016-11-04,3.91296
2016-11-05,1.64563
2016-11-06,1.48107
2016-11-07,3.87639
2016-11-08,4.29694
2016-11-09,5.30261
2016-11-10,5.22947
2016-11-11,6.034
2016-11-12,1.29822
2016-11-13,1.75534
2016-11-14,4.55293
2016-11-15,4.40665
2016-11-16,5.81459
2016-11-17,5.24776
2016-11-18,5.83287
2016-11-19,1.26165
2016-11-20,1.48107
2016-11-21,4.69921
2016-11-22,4.24209
2016-11-23,4.88206
2016-11-24,5.1929
2016-11-25,4.37008
2016-11-26,0.89595
2016-11-27,1.11537
2016-11-28,4.68092
2016-11-29,4.11409
2016-11-30,4.02267
2016-12-01,3.73011
2016-12-02,3.69354
2016-12-03,1.00566
2016-12-04,0.73139
2016-12-05,3.14499
2016-12-06,7.29566
2016-12-07,5.08319
2016-12-08,4.64435
2016-12-09,4.04095
2016-12-10,0.89595
2016-12-11,1.60906
2016-12-12,4.44322
2016-12-13,3.91296
2016-12-14,3.8581
2016-12-15,4.33351
2016-12-16,5.68659
2016-12-17,1.13366
2016-12-18,1.09709
2016-12-19,4.13238
2016-12-20,3.29127
2016-12-21,3.7484
2016-12-22,3.10842
2016-12-23,3.45584
2016-12-24,0.6034
2016-12-25,0.54854
2016-12-26,4.13238
2016-12-27,3.8581
2016-12-28,3.27299
2016-12-29,2.85244
2016-12-30,1.11537
2016-12-31,0.63997
2017-01-01,0.4754
2017-01-02,2.79758
2017-01-03,3.49241
2017-01-04,3.47412
2017-01-05,4.02267
2017-01-06,3.10842
2017-01-07,0.82281
2017-01-08,0.62168
2017-01-09,3.43755
2017-01-10,3.18156
2017-01-11,3.32784
2017-01-12,4.53464
2017-01-13,3.71183
2017-01-14,0.85938
2017-01-15,0.76796
2017-01-16,4.71749
2017-01-17,4.40665
2017-01-18,3.10842
2017-01-19,3.45584
2017-01-20,3.23642
2017-01-21,0.71311
2017-01-22,0.93252
2017-01-23,4.04095
2017-01-24,3.30956
2017-01-25,3.03528
2017-01-26,3.05357
2017-01-27,0.76796
2017-01-28,0.43883
2017-01-29,0.63997
2017-01-30,0.4754
2017-01-31,3.12671
2017-02-01,3.09014
2017-02-02,5.81459
2017-02-03,4.00438
2017-02-04,0.98738
2017-02-05,0.6034
2017-02-06,3.36441
2017-02-07,3.76668
2017-02-08,3.91296
2017-02-09,5.46717
2017-02-10,3.8581
2017-02-11,1.0788
2017-02-12,0.71311
2017-02-13,4.5895
2017-02-14,5.44889
2017-02-15,4.86377
2017-02-16,7.33223
2017-02-17,6.82025
2017-02-18,3.017
2017-02-19,1.70049
2017-02-20,4.60778
2017-02-21,4.66264
2017-02-22,4.3518
2017-02-23,4.91863
2017-02-24,6.10714
2017-02-25,1.91991
2017-02-26,3.36441
2017-02-27,7.38709
2017-02-28,5.88773
2017-03-01,1.26165
2017-03-02,5.57688
2017-03-03,5.7963
2017-03-04,1.15194
2017-03-05,0.80453
2017-03-06,5.22947
2017-03-07,5.57688
2017-03-08,4.44322
2017-03-09,4.51636
2017-03-10,4.80892
2017-03-11,1.11537
2017-03-12,0.78624
2017-03-13,5.66831
2017-03-14,5.41232
2017-03-15,5.02834
2017-03-16,6.21685
2017-03-17,6.034
2017-03-18,4.00438
2017-03-19,1.88334
2017-03-20,5.44889
2017-03-21,6.28999
2017-03-22,4.38837
2017-03-23,4.9552
2017-03-24,4.24209
2017-03-25,1.04223
2017-03-26,1.09709
2017-03-27,4.33351
2017-03-28,4.29694
2017-03-29,3.96781
2017-03-30,6.61912
2017-03-31,4.84549
2017-04-01,0.98738
2017-04-02,5.37575
2017-04-03,6.96653
2017-04-04,5.63174
2017-04-05,5.35746
2017-04-06,5.17462
2017-04-07,5.94258
2017-04-08,0.96909
2017-04-09,1.31651
2017-04-10,5.08319
2017-04-11,4.33351
2017-04-12,3.96781
2017-04-13,5.10148
2017-04-14,4.5895
2017-04-15,1.70049
2017-04-16,0.78624
2017-04-17,5.37575
2017-04-18,6.56427
2017-04-19,5.77802
2017-04-20,4.99177
2017-04-21,5.15633
2017-04-22,0.85938
2017-04-23,0.74968
2017-04-24,5.99744
2017-04-25,8.11848
2017-04-26,6.91168
2017-04-27,6.34485
2017-04-28,5.86944
2017-04-29,1.27994
2017-04-30,0.95081
2017-05-01,1.62735
2017-05-02,7.58822
2017-05-03,1.33479
2017-05-04,8.77674
2017-05-05,1.73706
2017-05-06,1.35308
2017-05-07,1.33479
2017-05-08,9.179
2017-05-09,1.60906
2017-05-10,8.00877
2017-05-11,7.80764
2017-05-12,8.26476
2017-05-13,1.73706
2017-05-14,1.38965
2017-05-15,7.93563
2017-05-16,9.16072
2017-05-17,7.95392
2017-05-18,7.16767
2017-05-19,10.36752
2017-05-20,1.60906
2017-05-21,0.95081
2017-05-22,8.17334
2017-05-23,12.10458
2017-05-24,8.75845
2017-05-25,9.81897
2017-05-26,7.95392
2017-05-27,1.79191
2017-05-28,2.39531
2017-05-29,9.9104
2017-05-30,8.17334
2017-05-31,7.84421
2017-06-01,6.61912
2017-06-02,7.93563
2017-06-03,1.49936
2017-06-04,1.00566
2017-06-05,5.35746
2017-06-06,1.66392
2017-06-07,6.41799
2017-06-08,7.40537
2017-06-09,8.68531
2017-06-10,1.11537
2017-06-11,0.96909
2017-06-12,7.9722
2017-06-13,8.22819
2017-06-14,8.66703
2017-06-15,6.94825
2017-06-16,6.96653
2017-06-17,1.02395
2017-06-18,0.95081
2017-06-19,6.28999
2017-06-20,6.60084
2017-06-21,6.34485
2017-06-22,6.38142
2017-06-23,5.74145
2017-06-24,1.2068
2017-06-25,1.11537
2017-06-26,6.034
2017-06-27,7.24081
2017-06-28,6.63741
2017-06-29,10.29438
2017-06-30,8.04534
2017-07-01,1.51764
2017-07-02,1.33479
2017-07-03,6.25342
2017-07-04,6.01572
2017-07-05,5.96087
2017-07-06,5.48546
2017-07-07,7.91735
2017-07-08,1.22508
2017-07-09,0.8411
2017-07-10,6.67398
2017-07-11,8.63046
2017-07-12,7.82592
2017-07-13,9.38014
2017-07-14,7.93563
2017-07-15,1.11537
2017-07-16,1.22508
2017-07-17,9.06929
2017-07-18,7.42366
2017-07-19,8.66703
2017-07-20,8.44761
2017-07-21,7.66136
2017-07-22,1.09709
2017-07-23,1.18851
2017-07-24,7.18595
2017-07-25,7.11281
2017-07-26,7.03967
2017-07-27,7.46023
2017-07-28,6.56427
2017-07-29,0.89595
2017-07-30,0.78624
2017-07-31,7.16767
2017-08-01,7.42366
2017-08-02,7.11281
2017-08-03,6.05229
2017-08-04,6.10714
2017-08-05,1.11537
2017-08-06,0.69482
2017-08-07,6.162
2017-08-08,5.54031
2017-08-09,6.08886
2017-08-10,7.24081
2017-08-11,6.034
2017-08-12,0.96909
2017-08-13,0.98738
2017-08-14,5.77802
2017-08-15,1.35308
2017-08-16,5.41232
2017-08-17,5.1929
2017-08-18,4.79063
2017-08-19,2.57816
2017-08-20,0.95081
2017-08-21,5.74145
2017-08-22,6.28999
2017-08-23,5.52203
2017-08-24,5.10148
2017-08-25,5.44889
2017-08-26,0.87767
2017-08-27,0.51197
2017-08-28,5.5586
2017-08-29,5.04662
2017-08-30,4.3518
2017-08-31,9.48985
2017-09-01,7.88078
2017-09-02,0.95081
2017-09-03,0.93252
2017-09-04,5.97915
2017-09-05,5.04662
2017-09-06,6.71055
2017-09-07,6.05229
2017-09-08,5.33918
2017-09-09,0.74968
2017-09-10,0.62168
2017-09-11,5.41232
2017-09-12,4.27866
2017-09-13,4.66264
2017-09-14,4.40665
2017-09-15,4.60778
2017-09-16,0.67654
2017-09-17,1.00566
2017-09-18,6.43627
2017-09-19,6.92996
2017-09-20,7.16767
2017-09-21,5.7963
2017-09-22,5.9243
2017-09-23,0.63997
2017-09-24,0.73139
2017-09-25,4.80892
2017-09-26,6.25342
2017-09-27,6.14371
2017-09-28,5.77802
2017-09-29,5.70488
2017-09-30,1.06052
2017-10-01,0.69482
2017-10-02,0.62168
2017-10-03,0.58511
2017-10-04,0.42055
2017-10-05,0.76796
2017-10-06,0.74968
2017-10-07,0.73139
2017-10-08,0.78624
2017-10-09,1.22508
2017-10-10,5.39403
2017-10-11,7.14938
2017-10-12,6.67398
2017-10-13,7.05796
2017-10-14,1.09709
2017-10-15,1.00566
2017-10-16,9.94697
2017-10-17,6.32656
2017-10-18,6.25342
2017-10-19,6.05229
2017-10-20,5.9243
2017-10-21,0.93252
2017-10-22,1.13366
2017-10-23,6.18028
2017-10-24,6.50941
2017-10-25,6.07057
2017-10-26,6.72883
2017-10-27,6.21685
2017-10-28,1.95648
2017-10-29,1.13366
2017-10-30,6.10714
2017-10-31,6.21685
2017-11-01,6.50941
2017-11-02,5.83287
2017-11-03,6.23514
2017-11-04,1.24337
2017-11-05,0.98738
2017-11-06,5.17462
2017-11-07,5.33918
2017-11-08,5.32089
2017-11-09,5.57688
2017-11-10,4.5895
2017-11-11,0.85938
2017-11-12,0.82281
2017-11-13,5.59517
2017-11-14,5.33918
2017-11-15,4.38837
2017-11-16,4.27866
2017-11-17,4.86377
2017-11-18,1.04223
2017-11-19,1.04223
2017-11-20,5.54031
2017-11-21,5.61345
2017-11-22,6.32656
2017-11-23,5.35746
2017-11-24,5.15633
2017-11-25,1.00566
2017-11-26,0.91424
2017-11-27,4.8272
2017-11-28,5.59517
2017-11-29,4.91863
2017-11-30,4.88206
2017-12-01,4.26037
2017-12-02,0.74968
2017-12-03,1.09709
2017-12-04,4.77235
2017-12-05,4.99177
2017-12-06,4.44322
2017-12-07,3.73011
2017-12-08,4.5895
2017-12-09,0.49369
2017-12-10,0.87767
2017-12-11,4.2238
2017-12-12,4.71749
2017-12-13,4.26037
2017-12-14,4.93691
2017-12-15,5.21119
2017-12-16,1.09709
2017-12-17,0.71311
2017-12-18,5.11976
2017-12-19,4.69921
2017-12-20,5.08319
2017-12-21,8.7036
2017-12-22,4.53464
2017-12-23,0.91424
2017-12-24,1.02395
2017-12-25,1.09709
2017-12-26,5.68659
2017-12-27,5.70488
2017-12-28,5.08319
2017-12-29,1.90162
2017-12-30,0.87767
2017-12-31,0.76796
2018-01-01,0.80453
2018-01-02,4.66264
2018-01-03,5.52203
2018-01-04,4.64435
2018-01-05,5.30261
2018-01-06,1.0788
2018-01-07,0.91424
2018-01-08,5.26604
2018-01-09,4.68092
2018-01-10,4.88206
2018-01-11,4.66264
2018-01-12,5.74145
2018-01-13,1.17023
2018-01-14,1.91991
2018-01-15,5.46717
2018-01-16,5.7963
2018-01-17,5.37575
2018-01-18,4.77235
2018-01-19,5.10148
2018-01-20,1.13366
2018-01-21,1.2068
2018-01-22,5.02834
2018-01-23,5.9243
2018-01-24,6.10714
2018-01-25,6.30828
2018-01-26,6.47284
2018-01-27,1.6822
2018-01-28,1.53592
2018-01-29,8.26476
2018-01-30,8.3379
2018-01-31,9.50813
2018-02-01,8.95959
2018-02-02,8.46589
2018-02-03,2.02962
2018-02-04,2.15761
2018-02-05,11.33662
2018-02-06,10.47723
2018-02-07,8.15505
2018-02-08,7.25909
2018-02-09,6.34485
2018-02-10,1.6822
2018-02-11,1.51764
2018-02-12,6.74712
2018-02-13,5.72316
2018-02-14,5.65002
2018-02-15,0.95081
2018-02-16,0.74968
2018-02-17,0.85938
2018-02-18,1.04223
2018-02-19,5.59517
2018-02-20,4.9552
2018-02-21,5.5586
2018-02-22,4.53464
2018-02-23,6.01572
2018-02-24,1.04223
2018-02-25,0.76796
2018-02-26,4.97348
2018-02-27,4.84549
2018-02-28,4.53464
2018-03-01,1.13366
2018-03-02,4.16895
2018-03-03,0.89595
2018-03-04,0.8411
2018-03-05,4.15066
2018-03-06,4.38837
2018-03-07,3.87639
2018-03-08,6.49113
2018-03-09,4.97348
2018-03-10,1.22508
2018-03-11,3.41927
2018-03-12,5.57688
2018-03-13,5.26604
2018-03-14,4.91863
2018-03-15,4.80892
2018-03-16,5.02834
2018-03-17,0.78624
2018-03-18,0.74968
2018-03-19,4.64435
2018-03-20,4.68092
2018-03-21,4.29694
2018-03-22,4.84549
2018-03-23,4.57121
2018-03-24,1.42622
2018-03-25,1.40793
2018-03-26,6.91168
2018-03-27,11.59261
2018-03-28,5.22947
2018-03-29,8.72188
2018-03-30,5.48546
2018-03-31,1.04223
2018-04-01,0.89595
2018-04-02,4.51636
2018-04-03,4.84549
2018-04-04,4.46151
2018-04-05,4.05924
2018-04-06,5.61345
2018-04-07,1.48107
2018-04-08,2.92558
2018-04-09,4.38837
2018-04-10,4.55293
2018-04-11,3.93124
2018-04-12,33.80874
2018-04-13,21.77729
2018-04-14,9.61784
2018-04-15,50.10056
2018-04-16,19.76595
2018-04-17,21.68586
2018-04-18,12.25086
2018-04-19,12.25086
2018-04-20,9.27043
2018-04-21,7.0031
2018-04-22,31.12086
2018-04-23,38.94679
2018-04-24,33.02249
2018-04-25,11.99488
2018-04-26,8.37447
2018-04-27,5.5586
2018-04-28,1.53592
2018-04-29,1.82848
2018-04-30,8.86816
2018-05-01,11.31833
2018-05-02,8.08191
2018-05-03,10.38581
2018-05-04,8.00877
2018-05-05,2.55988
2018-05-06,1.8102
2018-05-07,2.54159
2018-05-08,5.10148
2018-05-09,5.9243
2018-05-10,9.96525
2018-05-11,9.7824
2018-05-12,5.94258
2018-05-13,4.16895
2018-05-14,7.93563
2018-05-15,6.47284
2018-05-16,6.08886
2018-05-17,4.42494
2018-05-18,6.27171
2018-05-19,1.37136
2018-05-20,1.51764
2018-05-21,5.57688
2018-05-22,1.38965
2018-05-23,5.75973
2018-05-24,10.05668
2018-05-25,5.88773
2018-05-26,2.35874
2018-05-27,1.70049
2018-05-28,6.50941
2018-05-29,5.68659
2018-05-30,5.85116
2018-05-31,5.68659
2018-06-01,5.04662
2018-06-02,1.09709
2018-06-03,1.42622
2018-06-04,5.70488
2018-06-05,4.79063
2018-06-06,1.57249
2018-06-07,4.73578
2018-06-08,4.33351
2018-06-09,1.13366
2018-06-10,1.42622
2018-06-11,5.15633
2018-06-12,4.84549
2018-06-13,1.35308
2018-06-14,4.46151
2018-06-15,4.46151
2018-06-16,1.27994
2018-06-17,1.24337
2018-06-18,4.68092
2018-06-19,4.09581
2018-06-20,6.63741
2018-06-21,5.02834
2018-06-22,4.16895
2018-06-23,1.0788
2018-06-24,1.02395
2018-06-25,4.2238
2018-06-26,4.27866
2018-06-27,6.91168
2018-06-28,6.45456
2018-06-29,5.54031
2018-06-30,1.55421
2018-07-01,1.22508
2018-07-02,5.26604
2018-07-03,5.11976
2018-07-04,4.49808
2018-07-05,4.91863
2018-07-06,10.18467
2018-07-07,1.49936
2018-07-08,0.85938
2018-07-09,4.5895
2018-07-10,4.38837
2018-07-11,7.58822
2018-07-12,4.80892
2018-07-13,4.60778
2018-07-14,1.0788
2018-07-15,1.18851
2018-07-16,8.04534
2018-07-17,4.79063
2018-07-18,4.2238
2018-07-19,5.35746
2018-07-20,4.90034
2018-07-21,1.11537
2018-07-22,0.74968
2018-07-23,4.93691
2018-07-24,4.64435
2018-07-25,4.26037
2018-07-26,4.40665
2018-07-27,4.75406
2018-07-28,0.82281
2018-07-29,1.02395
2018-07-30,4.02267
2018-07-31,3.56555
2018-08-01,3.87639
2018-08-02,3.94953
2018-08-03,3.78496
2018-08-04,0.74968
2018-08-05,0.85938
2018-08-06,4.15066
2018-08-07,4.42494
2018-08-08,3.93124
2018-08-09,3.27299
2018-08-10,3.71183
2018-08-11,0.89595
2018-08-12,0.69482
2018-08-13,3.30956
2018-08-14,3.2547
2018-08-15,1.02395
2018-08-16,2.88901
2018-08-17,3.32784
2018-08-18,0.80453
2018-08-19,1.09709
2018-08-20,3.69354
2018-08-21,3.23642
2018-08-22,3.30956
2018-08-23,3.78496
2018-08-24,3.56555
2018-08-25,0.93252
2018-08-26,0.96909
2018-08-27,4.09581
2018-08-28,5.59517
2018-08-29,5.72316
2018-08-30,4.5895
2018-08-31,4.57121
2018-09-01,1.33479
2018-09-02,1.27994
2018-09-03,4.26037
2018-09-04,5.77802
2018-09-05,4.62607
2018-09-06,4.90034
2018-09-07,4.47979
2018-09-08,0.91424
2018-09-09,1.04223
2018-09-10,3.71183
2018-09-11,6.162
2018-09-12,5.50374
2018-09-13,6.12543
2018-09-14,5.72316
2018-09-15,0.93252
2018-09-16,1.06052
2018-09-17,5.65002
2018-09-18,5.26604
2018-09-19,4.46151
2018-09-20,11.51947
2018-09-21,4.88206
2018-09-22,1.00566
2018-09-23,0.93252
2018-09-24,0.51197
2018-09-25,1.04223
2018-09-26,0.80453
2018-09-27,5.83287
2018-09-28,5.24776
2018-09-29,0.98738
2018-09-30,1.48107
2018-10-01,5.11976
2018-10-02,4.84549
2018-10-03,1.26165
2018-10-04,4.18723
2018-10-05,8.53903
2018-10-06,0.71311
2018-10-07,0.85938
2018-10-08,3.32784
2018-10-09,1.11537
2018-10-10,3.96781
2018-10-11,4.71749
2018-10-12,4.26037
2018-10-13,0.80453
2018-10-14,0.95081
2018-10-15,5.46717
2018-10-16,3.96781
2018-10-17,4.38837
2018-10-18,4.07752
2018-10-19,3.45584
2018-10-20,0.67654
2018-10-21,0.6034
2018-10-22,4.20552
2018-10-23,3.41927
2018-10-24,2.96215
2018-10-25,3.96781
2018-10-26,4.31523
2018-10-27,0.80453
2018-10-28,1.0788
2018-10-29,4.99177
2018-10-30,4.73578
2018-10-31,4.64435
2018-11-01,4.3518
2018-11-02,5.11976
2018-11-03,1.37136
2018-11-04,0.95081
2018-11-05,3.91296
2018-11-06,4.69921
2018-11-07,6.18028
2018-11-08,8.02706
2018-11-09,4.77235
2018-11-10,1.29822
2018-11-11,1.09709
