period,price,volume,ratio
2016-01-04,983.0,295124.0,6.23684
2016-01-05,1024.0,499943.0,6.05299
2016-01-06,1037.0,238654.0,6.58068
2016-01-07,1074.0,479596.0,7.52659
2016-01-08,1057.0,665126.0,6.34771
2016-01-11,1049.0,179096.0,6.02492
2016-01-12,996.0,267269.0,5.35548
2016-01-13,1000.0,289088.0,5.163209999999999
2016-01-14,983.0,143360.0,4.71973
2016-01-15,971.0,201265.0,4.572369999999999
2016-01-18,926.0,446840.0,5.0018199999999995
2016-01-19,917.0,296844.0,5.35268
2016-01-20,913.0,256633.0,6.53015
2016-01-21,885.0,182289.0,5.32461
2016-01-22,905.0,304905.0,5.3218
2016-01-25,909.0,165816.0,5.17023
2016-01-26,880.0,437895.0,5.08603
2016-01-27,872.0,304976.0,5.50565
2016-01-28,876.0,174538.0,4.80253
2016-01-29,889.0,178062.0,4.84885
2016-02-01,926.0,484506.0,7.41712
2016-02-02,901.0,298473.0,5.71617
2016-02-03,889.0,126366.0,5.33303
2016-02-04,889.0,273576.0,9.471739999999999
2016-02-05,905.0,386371.0,7.28941
2016-02-11,868.0,229445.0,6.8754
2016-02-12,831.0,341307.0,9.119480000000001
2016-02-15,839.0,241520.0,6.725230000000001
2016-02-16,876.0,137153.0,8.02481
2016-02-17,864.0,208983.0,6.64945
2016-02-18,864.0,306981.0,6.32104
2016-02-19,868.0,110165.0,5.43829
2016-02-22,872.0,228059.0,6.40104
2016-02-23,868.0,483885.0,5.33584
2016-02-24,889.0,366540.0,4.93445
2016-02-25,1053.0,11930259.0,4.74218
2016-02-26,992.0,2640457.0,4.46571
2016-02-29,983.0,1819552.0,4.63693
2016-03-02,967.0,846957.0,5.491619999999999
2016-03-03,979.0,829898.0,5.31899
2016-03-04,954.0,679112.0,6.3435
2016-03-07,963.0,737597.0,6.07264
2016-03-08,987.0,536690.0,5.23479
2016-03-09,971.0,341529.0,5.01164
2016-03-10,963.0,253548.0,4.80253
2016-03-11,979.0,543483.0,4.53027
2016-03-14,959.0,527796.0,4.67342
2016-03-15,954.0,753687.0,4.142919999999999
2016-03-16,1000.0,1037588.0,4.30431
2016-03-17,996.0,497708.0,4.38291
2016-03-18,963.0,711847.0,4.3716800000000005
2016-03-21,959.0,558710.0,4.48255
2016-03-22,963.0,681894.0,5.44811
2016-03-23,938.0,812362.0,4.4222
2016-03-24,938.0,1276514.0,4.40255
2016-03-25,917.0,507951.0,4.27625
2016-03-28,922.0,627620.0,4.338
2016-03-29,917.0,450489.0,4.18222
2016-03-30,876.0,1736479.0,4.09941
2016-03-31,885.0,662136.0,3.89171
2016-04-01,901.0,550812.0,3.9773199999999997
2016-04-04,913.0,688083.0,5.47478
2016-04-05,917.0,287164.0,6.01369
2016-04-06,913.0,289972.0,6.4656
2016-04-07,889.0,692509.0,5.45372
2016-04-08,897.0,372639.0,4.8713
2016-04-11,885.0,545510.0,5.0326900000000006
2016-04-12,893.0,398309.0,4.47553
2016-04-14,885.0,405909.0,4.37729
2016-04-15,889.0,476897.0,4.44185
2016-04-18,876.0,425895.0,4.25379
2016-04-19,880.0,327675.0,5.5014400000000006
2016-04-20,897.0,1331136.0,11.22743
2016-04-21,946.0,2361158.0,6.94417
2016-04-22,934.0,773171.0,5.4130199999999995
2016-04-25,930.0,410451.0,5.48881
2016-04-26,922.0,749289.0,5.8523
2016-04-27,926.0,813903.0,5.12392
2016-04-28,917.0,1248476.0,5.29654
2016-04-29,934.0,676607.0,5.62915
2016-05-02,922.0,639082.0,5.05375
2016-05-03,971.0,2187942.0,5.05936
2016-05-04,959.0,1356454.0,4.3632599999999995
2016-05-09,1016.0,3558217.0,4.79271
2016-05-10,1004.0,2176975.0,5.23198
2016-05-11,992.0,1374104.0,5.0355
2016-05-12,992.0,750412.0,4.58219
2016-05-13,975.0,1065971.0,4.615880000000001
2016-05-16,963.0,771695.0,4.6509599999999995
2016-05-17,942.0,809752.0,4.66219
2016-05-18,975.0,1695698.0,5.25724
2016-05-19,963.0,920662.0,5.61091
2016-05-20,996.0,1471100.0,14.83285
2016-05-23,987.0,677570.0,16.204
2016-05-24,959.0,682125.0,24.40564
2016-05-25,987.0,1026533.0,22.26401
2016-05-26,942.0,1196954.0,13.90378
2016-05-27,959.0,630208.0,11.57128
2016-05-30,1004.0,1801980.0,11.50812
2016-05-31,1004.0,1302846.0,10.00084
2016-06-01,1061.0,2621865.0,9.36087
2016-06-02,1029.0,1877562.0,11.04359
2016-06-03,1061.0,1186373.0,8.56372
2016-06-07,1094.0,3472714.0,8.45145
2016-06-08,1078.0,1085067.0,8.00235
2016-06-09,1045.0,926829.0,8.29006
2016-06-10,1045.0,745575.0,7.95043
2016-06-13,1012.0,712739.0,7.33011
2016-06-14,987.0,1171537.0,7.05363
2016-06-15,987.0,719142.0,8.057089999999999
2016-06-16,987.0,730245.0,7.68237
2016-06-17,992.0,707142.0,6.554010000000001
2016-06-20,1033.0,1462019.0,6.20596
2016-06-21,1041.0,867194.0,6.6143600000000005
2016-06-22,1033.0,1565511.0,6.394019999999999
2016-06-23,1004.0,1247378.0,5.79476
2016-06-24,930.0,2383767.0,7.055039999999999
2016-06-27,938.0,770923.0,7.208010000000001
2016-06-28,954.0,481170.0,6.7519
2016-06-29,971.0,553751.0,7.055039999999999
2016-06-30,992.0,845307.0,9.958730000000001
2016-07-01,1000.0,572042.0,11.88705
2016-07-04,1020.0,640263.0,7.822710000000001
2016-07-05,1029.0,611822.0,6.6999699999999995
2016-07-06,1008.0,469534.0,5.89721
2016-07-07,1061.0,2405570.0,6.08386
2016-07-08,1049.0,791611.0,5.17163
2016-07-11,1053.0,1111340.0,6.15263
2016-07-12,1131.0,7246395.0,6.0179
2016-07-13,1131.0,1932600.0,11.47444
2016-07-14,1152.0,1601809.0,8.7981
2016-07-15,1127.0,1712943.0,7.731489999999999
2016-07-18,983.0,4655093.0,9.32579
2016-07-19,967.0,1291095.0,7.033989999999999
2016-07-20,967.0,2667272.0,7.8999
2016-07-21,987.0,1135256.0,6.85014
2016-07-22,1045.0,5719450.0,5.8958
2016-07-25,1004.0,7268996.0,5.717569999999999
2016-07-26,996.0,1739366.0,5.4046
2016-07-27,987.0,779893.0,5.21093
2016-07-28,1029.0,1407944.0,5.415830000000001
2016-07-29,1020.0,684423.0,5.49723
2016-08-01,1012.0,557665.0,5.5014400000000006
2016-08-02,1012.0,962038.0,5.1155
2016-08-03,1012.0,874084.0,6.06422
2016-08-04,1045.0,2030263.0,6.36455
2016-08-05,1016.0,1146613.0,5.37794
2016-08-08,1041.0,2171301.0,5.94071
2016-08-09,1045.0,2192717.0,5.67126
2016-08-10,1115.0,3376056.0,5.65862
2016-08-11,1085.0,819185.0,7.9855100000000006
2016-08-12,1120.0,612373.0,6.07123
2016-08-16,1105.0,341797.0,6.10772
2016-08-17,1100.0,294097.0,6.00247
2016-08-18,1075.0,421321.0,6.49226
2016-08-19,1065.0,306471.0,6.190519999999999
2016-08-22,1070.0,372514.0,6.1821
2016-08-23,1065.0,1464871.0,6.41507
2016-08-24,1070.0,312988.0,5.85651
2016-08-25,1060.0,132382.0,5.51828
2016-08-26,1055.0,269155.0,5.26005
2016-08-29,1025.0,584016.0,5.55337
2016-08-30,1020.0,594883.0,5.24602
2016-08-31,1010.0,605352.0,5.99404
2016-09-01,1015.0,849093.0,6.03474
2016-09-02,1020.0,287522.0,5.41723
2016-09-05,1040.0,434704.0,6.08948
2016-09-06,1050.0,611561.0,5.822830000000001
2016-09-07,1065.0,3302326.0,5.60389
2016-09-08,1025.0,863811.0,5.00322
2016-09-09,1145.0,8740444.0,5.3625
2016-09-12,1485.0,24800373.0,4.79271
2016-09-13,1615.0,68324004.0,3.85943
2016-09-19,1695.0,33017458.0,4.832
2016-09-20,1690.0,4250961.0,5.41162
2016-09-21,1635.0,2294047.0,4.8404300000000005
2016-09-22,1600.0,2499307.0,4.96393
2016-09-23,1590.0,12402623.0,4.5751800000000005
2016-09-26,1465.0,5908220.0,4.50922
2016-09-27,1200.0,14002294.0,4.38431
2016-09-28,1140.0,4498380.0,3.99556
2016-09-29,1150.0,3561631.0,4.07977
2016-09-30,1105.0,1507770.0,4.06292
2016-10-04,1080.0,1233271.0,4.62289
2016-10-05,1105.0,1382878.0,4.31695
2016-10-06,1260.0,13550806.0,3.90714
2016-10-07,1130.0,7924758.0,3.62365
2016-10-10,1115.0,2779931.0,3.72891
2016-10-11,1130.0,3757919.0,3.9604699999999995
2016-10-12,1135.0,2078317.0,3.6419
2016-10-13,1095.0,2255968.0,3.7331199999999995
2016-10-14,1070.0,2898035.0,3.4805
2016-10-17,1045.0,1341344.0,4.7913
2016-10-18,1020.0,2329997.0,3.99135
2016-10-19,1030.0,1630633.0,4.124680000000001
2016-10-20,1005.0,1112572.0,4.1527400000000005
2016-10-21,988.0,2141040.0,3.56471
2016-10-24,1020.0,3239294.0,4.39975
2016-10-25,1030.0,1648549.0,4.3253699999999995
2016-10-26,991.0,1723800.0,4.0938
2016-10-27,998.0,694967.0,4.3001
2016-10-28,977.0,862997.0,3.7948699999999995
2016-10-31,906.0,1471119.0,3.7555699999999996
2016-11-01,930.0,867370.0,3.5703199999999997
2016-11-02,885.0,1241720.0,4.16397
2016-11-03,901.0,529650.0,4.00258
2016-11-04,921.0,598221.0,3.3163
2016-11-07,925.0,537408.0,3.6587400000000003
2016-11-08,922.0,609621.0,4.43764
2016-11-09,840.0,2540074.0,6.1807
2016-11-10,895.0,860241.0,6.14421
2016-11-11,935.0,709005.0,4.88112
2016-11-14,920.0,580201.0,4.17941
2016-11-15,900.0,642703.0,3.66575
2016-11-16,914.0,513489.0,3.95486
2016-11-17,907.0,486863.0,3.6152300000000004
