period,price,volume,ratio
2016-01-04,25167.0,178976.0,25.53191
2016-01-05,26170.0,139082.0,65.95744
2016-01-06,28777.0,344704.0,35.10638
2016-01-07,28275.0,132609.0,29.787229999999997
2016-01-08,28676.0,157542.0,25.53191
2016-01-11,28526.0,124071.0,24.46808
2016-01-12,28927.0,150472.0,25.53191
2016-01-13,30631.0,286630.0,20.21276
2016-01-15,30230.0,166142.0,5.31914
2016-01-18,31233.0,198161.0,12.76595
2016-01-19,31233.0,190910.0,8.51063
2016-01-20,30381.0,171358.0,18.0851
2016-01-21,30030.0,131056.0,17.02127
2016-01-22,32386.0,282872.0,10.63829
2016-01-25,33389.0,192898.0,35.10638
2016-01-26,33439.0,166317.0,28.7234
2016-01-27,36146.0,402053.0,20.21276
2016-01-28,37500.0,340081.0,5.31914
2016-01-29,36347.0,191932.0,18.0851
2016-02-01,37049.0,131413.0,11.702119999999999
2016-02-02,35444.0,248437.0,6.382969999999999
2016-02-03,34241.0,156229.0,6.382969999999999
2016-02-04,35895.0,186431.0,15.95744
2016-02-05,33990.0,357649.0,8.51063
2016-02-11,32887.0,165987.0,8.51063
2016-02-12,32988.0,209327.0,37.23404
2016-02-15,35444.0,225769.0,10.63829
2016-02-16,35545.0,142650.0,8.51063
2016-02-17,34742.0,185935.0,12.76595
2016-02-18,33990.0,193698.0,28.7234
2016-02-19,34793.0,158067.0,20.21276
2016-02-22,33339.0,213168.0,18.0851
2016-02-23,33589.0,218292.0,11.702119999999999
2016-02-24,33790.0,127293.0,10.63829
2016-02-25,33238.0,86183.0,22.34042
2016-02-26,33389.0,107800.0,6.382969999999999
2016-02-29,31935.0,186284.0,7.4468
2016-03-02,32486.0,243398.0,17.02127
2016-03-03,34191.0,258837.0,5.31914
2016-03-04,35545.0,206670.0,10.63829
2016-03-07,35795.0,252910.0,30.851059999999997
2016-03-08,34843.0,241034.0,23.40425
2016-03-09,34291.0,113535.0,26.595740000000003
2016-03-10,34291.0,190237.0,34.04255
2016-03-11,35494.0,147066.0,25.53191
2016-03-14,34141.0,177571.0,30.851059999999997
2016-03-15,34742.0,158561.0,27.659570000000002
2016-03-16,33589.0,138955.0,31.914890000000003
2016-03-17,33639.0,116390.0,19.14893
2016-03-18,33740.0,97330.0,19.14893
2016-03-21,33088.0,164895.0,20.21276
2016-03-22,34391.0,175013.0,13.82978
2016-03-23,33289.0,100812.0,34.04255
2016-03-24,32988.0,72425.0,21.27659
2016-03-25,33088.0,78487.0,22.34042
2016-03-28,32537.0,102224.0,32.97872
2016-03-29,32988.0,58809.0,26.595740000000003
2016-03-30,32887.0,73694.0,13.82978
2016-03-31,32186.0,108627.0,22.34042
2016-04-01,31985.0,93051.0,9.57446
2016-04-04,31885.0,92739.0,21.27659
2016-04-05,31333.0,81197.0,13.82978
2016-04-06,30381.0,183620.0,7.4468
2016-04-07,32085.0,175909.0,19.14893
2016-04-08,31734.0,106200.0,14.89361
2016-04-11,32336.0,118466.0,8.51063
2016-04-12,33339.0,117960.0,6.382969999999999
2016-04-14,34391.0,224867.0,29.787229999999997
2016-04-15,34341.0,159904.0,8.51063
2016-04-18,33589.0,121741.0,23.40425
2016-04-19,33790.0,91307.0,17.02127
2016-04-20,33639.0,77131.0,10.63829
2016-04-21,34041.0,108365.0,9.57446
2016-04-22,33489.0,71594.0,6.382969999999999
2016-04-25,31534.0,171761.0,7.4468
2016-04-26,32537.0,305078.0,5.31914
2016-04-27,35143.0,519562.0,5.31914
2016-04-28,35344.0,342049.0,6.382969999999999
2016-04-29,36698.0,322492.0,5.31914
2016-05-03,35795.0,65331.0,7.4468
2016-05-04,33990.0,183821.0,5.31914
2016-05-09,33639.0,115852.0,11.702119999999999
2016-05-10,33439.0,86646.0,9.57446
2016-05-11,33439.0,74362.0,20.21276
2016-05-12,35494.0,202070.0,6.382969999999999
2016-05-13,34943.0,88428.0,8.51063
2016-05-16,34341.0,127636.0,12.76595
2016-05-17,33589.0,77995.0,12.76595
2016-05-18,32236.0,211915.0,6.382969999999999
2016-05-19,31985.0,100065.0,17.02127
2016-05-23,32637.0,82219.0,5.31914
2016-05-25,32687.0,100416.0,22.34042
2016-05-26,33890.0,214714.0,18.0851
2016-05-27,34442.0,140367.0,17.02127
2016-05-31,36046.0,192503.0,9.57446
2016-06-01,35745.0,107425.0,7.4468
2016-06-02,35394.0,82792.0,18.0851
2016-06-03,36597.0,258931.0,15.95744
2016-06-07,36698.0,181575.0,6.382969999999999
2016-06-08,37399.0,199846.0,11.702119999999999
2016-06-09,39054.0,357185.0,6.382969999999999
2016-06-13,36948.0,150967.0,14.89361
2016-06-16,36096.0,124733.0,9.57446
2016-06-17,35845.0,97823.0,5.31914
2016-06-21,36096.0,52559.0,7.4468
2016-06-22,37249.0,105946.0,6.382969999999999
2016-06-24,34341.0,365937.0,11.702119999999999
2016-06-27,33439.0,202273.0,27.659570000000002
2016-06-28,33990.0,109873.0,23.40425
2016-06-29,34391.0,120069.0,13.82978
2016-06-30,34642.0,87883.0,7.4468
2016-07-04,35895.0,134871.0,6.382969999999999
2016-07-05,35745.0,73843.0,6.382969999999999
2016-07-06,34442.0,95454.0,5.31914
2016-07-07,34492.0,72977.0,7.4468
2016-07-08,33439.0,157662.0,6.382969999999999
2016-07-11,33990.0,75480.0,48.936170000000004
2016-07-12,34391.0,61422.0,29.787229999999997
2016-07-14,34091.0,81752.0,5.31914
2016-07-15,35595.0,192847.0,7.4468
2016-07-19,35494.0,54964.0,6.382969999999999
2016-07-21,35143.0,40048.0,11.702119999999999
2016-07-22,36196.0,177039.0,15.95744
2016-07-25,36798.0,141545.0,26.595740000000003
2016-07-26,37099.0,106698.0,20.21276
2016-07-27,38252.0,227149.0,6.382969999999999
2016-08-01,41460.0,192434.0,5.31914
2016-08-02,40909.0,136326.0,6.382969999999999
2016-08-03,41911.0,147799.0,13.82978
2016-08-05,40859.0,164685.0,13.82978
2016-08-08,40959.0,150278.0,13.82978
2016-08-09,40758.0,131693.0,7.4468
2016-08-10,41611.0,184084.0,13.82978
2016-08-11,41109.0,127435.0,10.63829
2016-08-16,41009.0,64277.0,8.51063
2016-08-17,41460.0,62831.0,11.702119999999999
2016-08-18,40508.0,103936.0,9.57446
2016-08-19,41260.0,101943.0,9.57446
2016-08-22,39004.0,191297.0,17.02127
2016-08-23,39204.0,92755.0,9.57446
2016-08-25,39004.0,96782.0,5.31914
2016-08-26,38252.0,123321.0,6.382969999999999
2016-08-31,38202.0,97653.0,9.57446
2016-09-01,38051.0,94073.0,5.31914
2016-09-02,38954.0,117895.0,13.82978
2016-09-05,39054.0,103193.0,15.95744
2016-09-06,40307.0,150141.0,10.63829
2016-09-07,39054.0,153384.0,5.31914
2016-09-08,38101.0,133178.0,7.4468
2016-09-09,38001.0,70308.0,5.31914
2016-09-12,35745.0,234321.0,5.31914
2016-09-19,35645.0,211768.0,31.914890000000003
2016-09-20,35194.0,102526.0,8.51063
2016-09-21,35194.0,68108.0,18.0851
2016-09-22,36096.0,135445.0,11.702119999999999
2016-09-23,36948.0,109609.0,19.14893
2016-09-26,36848.0,67422.0,5.31914
2016-09-27,36798.0,58079.0,5.31914
2016-09-28,36597.0,67002.0,6.382969999999999
2016-09-29,37650.0,105378.0,6.382969999999999
2016-10-04,37049.0,66663.0,8.51063
2016-10-05,37049.0,62693.0,6.382969999999999
2016-10-07,39555.0,279235.0,7.4468
2016-10-10,40307.0,160048.0,5.31914
2016-10-11,41159.0,177755.0,5.31914
2016-10-12,39655.0,143336.0,8.51063
2016-10-13,39505.0,86132.0,6.382969999999999
2016-10-14,39405.0,93685.0,6.382969999999999
2016-10-17,39254.0,69163.0,5.31914
2016-10-18,40558.0,93064.0,12.76595
2016-10-19,40257.0,68022.0,27.659570000000002
2016-10-20,39956.0,58530.0,23.40425
2016-10-24,40207.0,93916.0,13.82978
2016-10-25,39605.0,121907.0,17.02127
2016-10-26,36898.0,299495.0,5.31914
2016-10-27,35845.0,330876.0,6.382969999999999
2016-11-01,33339.0,328489.0,5.31914
2016-11-03,33188.0,126700.0,5.31914
2016-11-08,32887.0,223660.0,6.382969999999999
2016-11-09,31383.0,291471.0,14.89361
2016-11-10,32737.0,120291.0,7.4468
2016-11-11,32537.0,102386.0,5.31914
2016-11-14,33138.0,121663.0,19.14893
2016-11-15,33840.0,133210.0,7.4468
2016-11-16,35494.0,524724.0,8.51063
2016-11-17,36196.0,200109.0,20.21276
2016-11-18,35444.0,101489.0,19.14893
2016-11-21,35093.0,78966.0,8.51063
2016-11-22,32988.0,392919.0,7.4468
2016-11-23,33088.0,200361.0,19.14893
2016-11-24,32085.0,175566.0,8.51063
2016-11-25,32085.0,167329.0,7.4468
2016-11-28,31584.0,122386.0,10.63829
2016-11-30,31033.0,112905.0,9.57446
2016-12-01,31885.0,147845.0,17.02127
2016-12-02,31484.0,135861.0,7.4468
