period,동화약품
2016-08-05,16.6487
2016-08-06,4.66056
2016-08-07,3.98706
2016-08-08,19.719820000000002
2016-08-09,23.97629
2016-08-10,21.67295
2016-08-11,20.79741
2016-08-12,20.123920000000002
2016-08-13,4.05441
2016-08-14,3.4348
2016-08-15,4.83566
2016-08-16,18.44019
2016-08-17,18.628770000000003
2016-08-18,18.4806
2016-08-19,15.746220000000001
2016-08-20,4.1487
2016-08-21,3.87931
2016-08-22,18.844279999999998
2016-08-23,18.89816
2016-08-24,17.82058
2016-08-25,18.036089999999998
2016-08-26,19.26185
2016-08-27,5.80549
2016-08-28,4.82219
2016-08-29,23.18157
2016-08-30,18.49407
2016-08-31,20.43372
2016-09-01,18.52101
2016-09-02,19.7737
2016-09-03,4.8760699999999995
2016-09-04,4.1891099999999994
2016-09-05,28.825429999999997
2016-09-06,24.93265
2016-09-07,19.38308
2016-09-08,18.238139999999998
2016-09-09,18.50754
2016-09-10,4.67403
2016-09-11,3.8523699999999996
2016-09-12,19.410020000000003
2016-09-13,15.69234
2016-09-14,4.20258
2016-09-15,3.3001
2016-09-16,3.4752099999999997
2016-09-17,3.67726
2016-09-18,3.86584
2016-09-19,18.10344
2016-09-20,20.59536
2016-09-21,17.86099
2016-09-22,18.39978
2016-09-23,19.94881
2016-09-24,4.60668
2016-09-25,5.25323
2016-09-26,20.608829999999998
2016-09-27,22.35991
2016-09-28,19.30226
2016-09-29,19.9084
2016-09-30,22.61584
2016-10-01,7.138999999999999
2016-10-02,5.80549
2016-10-03,6.34428
2016-10-04,24.67672
2016-10-05,19.36961
2016-10-06,16.89116
2016-10-07,16.904629999999997
2016-10-08,4.74137
2016-10-09,3.67726
2016-10-10,16.95851
2016-10-11,17.09321
2016-10-12,16.37931
2016-10-13,16.74299
2016-10-14,15.94827
2016-10-15,5.19935
2016-10-16,4.37769
2016-10-17,17.61853
2016-10-18,16.13685
2016-10-19,17.03933
2016-10-20,14.91109
2016-10-21,14.0625
2016-10-22,3.50215
2016-10-23,3.94665
2016-10-24,13.415939999999999
2016-10-25,15.625
2016-10-26,14.7764
2016-10-27,16.05603
2016-10-28,13.7931
2016-10-29,4.37769
2016-10-30,3.8389
2016-10-31,13.941270000000001
2016-11-01,15.26131
2016-11-02,15.207429999999999
