period,ratio
2016-01-01,5.57684
2016-01-02,5.53852
2016-01-03,5.78765
2016-01-04,33.65274
2016-01-05,32.82866
2016-01-06,29.78152
2016-01-07,28.19087
2016-01-08,26.44691
2016-01-09,5.99846
2016-01-10,6.2476
2016-01-11,28.11422
2016-01-12,29.83901
2016-01-13,28.59333
2016-01-14,25.3737
2016-01-15,24.45381
2016-01-16,6.93752
2016-01-17,5.17439
2016-01-18,25.27788
2016-01-19,29.26408
2016-01-20,26.67688
2016-01-21,26.06362
2016-01-22,26.25527
2016-01-23,7.66577
2016-01-24,5.00191
2016-01-25,27.21349
2016-01-26,24.95208
2016-01-27,23.62974
2016-01-28,25.25871
2016-01-29,23.32311
2016-01-30,6.72671
2016-01-31,6.19011
2016-02-01,23.55308
2016-02-02,23.78305
2016-02-03,55.09773
2016-02-04,62.76351
2016-02-05,42.12341
2016-02-06,8.70065
2016-02-07,6.11345
2016-02-08,6.66922
2016-02-09,6.95668
2016-02-10,9.25642
2016-02-11,31.44883
2016-02-12,34.86009
2016-02-13,6.82253
2016-02-14,6.53507
2016-02-15,34.59179
2016-02-16,42.98581
2016-02-17,80.75891
2016-02-18,62.76351
2016-02-19,47.56611
2016-02-20,10.19547
2016-02-21,9.06477
2016-02-22,54.33116
2016-02-23,48.25603
2016-02-24,43.73323
2016-02-25,46.47374
2016-02-26,46.8187
2016-02-27,10.61709
2016-02-28,9.75469
2016-02-29,40.82023
2016-03-01,12.821
2016-03-02,40.5711
2016-03-03,38.19471
2016-03-04,38.57799
2016-03-05,9.79302
2016-03-06,8.71981
2016-03-07,57.03334
2016-03-08,47.25948
2016-03-09,41.41433
2016-03-10,37.81142
2016-03-11,36.89152
2016-03-12,7.72326
2016-03-13,7.60827
2016-03-14,35.9908
2016-03-15,47.29781
2016-03-16,39.24875
2016-03-17,38.19471
2016-03-18,33.63357
2016-03-19,7.20582
2016-03-20,6.17094
2016-03-21,30.12648
2016-03-22,32.77117
2016-03-23,31.33384
2016-03-24,34.99425
2016-03-25,30.98888
2016-03-26,7.9149
2016-03-27,8.02989
2016-03-28,32.11958
2016-03-29,29.74319
2016-03-30,43.4266
2016-03-31,36.96818
2016-04-01,34.93675
2016-04-02,7.83825
2016-04-03,6.8417
2016-04-04,50.76657
2016-04-05,38.04139
2016-04-06,31.54465
2016-04-07,30.4906
2016-04-08,30.14564
2016-04-09,8.01073
2016-04-10,6.30509
2016-04-11,39.9195
2016-04-12,34.49597
2016-04-13,11.47949
2016-04-14,28.38252
2016-04-15,26.42775
2016-04-16,6.88003
2016-04-17,6.32426
2016-04-18,33.23112
2016-04-19,27.71176
2016-04-20,27.6351
2016-04-21,30.04982
2016-04-22,24.07052
2016-04-23,6.17094
2016-04-24,6.03679
2016-04-25,27.86508
2016-04-26,26.21694
2016-04-27,28.45917
2016-04-28,24.22384
2016-04-29,21.80912
2016-04-30,5.57684
2016-05-01,5.42353
2016-05-02,22.00076
2016-05-03,22.95898
2016-05-04,22.05825
2016-05-05,5.76849
2016-05-06,5.67267
2016-05-07,4.92525
2016-05-08,4.48447
2016-05-09,23.43809
2016-05-10,27.02184
2016-05-11,44.32732
2016-05-12,29.58988
2016-05-13,23.55308
2016-05-14,6.13261
2016-05-15,5.17439
2016-05-16,24.22384
2016-05-17,24.03219
2016-05-18,24.47297
2016-05-19,20.75507
2016-05-20,22.11575
2016-05-21,4.63779
2016-05-22,5.50019
2016-05-23,24.39632
2016-05-24,23.51475
2016-05-25,28.01839
2016-05-26,25.66117
2016-05-27,22.26906
2016-05-28,7.9724
2016-05-29,5.09773
2016-05-30,22.88233
2016-05-31,27.82675
2016-06-01,27.34764
2016-06-02,26.54273
2016-06-03,23.76389
2016-06-04,6.59256
2016-06-05,5.36604
2016-06-06,6.76504
2016-06-07,30.14564
2016-06-08,27.23265
2016-06-09,26.84936
2016-06-10,23.01648
2016-06-11,6.8417
2016-06-12,5.3852
2016-06-13,24.87543
2016-06-14,24.97125
2016-06-15,25.48869
2016-06-16,23.03564
2016-06-17,24.33882
2016-06-18,5.84515
2016-06-19,5.15523
2016-06-20,33.1353
2016-06-21,33.19279
2016-06-22,46.51207
2016-06-23,44.4998
2016-06-24,45.26638
2016-06-25,7.58911
2016-06-26,7.74243
2016-06-27,46.39708
2016-06-28,42.35339
2016-06-29,48.14105
2016-06-30,46.12878
2016-07-01,38.02223
2016-07-02,8.01073
2016-07-03,7.22499
2016-07-04,33.84438
2016-07-05,29.80068
2016-07-06,26.90686
2016-07-07,35.97163
2016-07-08,33.00114
2016-07-09,7.41663
2016-07-10,5.76849
2016-07-11,32.2729
2016-07-12,33.90187
2016-07-13,36.10578
2016-07-14,36.66155
2016-07-15,33.61441
2016-07-16,7.30164
2016-07-17,6.11345
2016-07-18,32.36872
2016-07-19,32.86699
2016-07-20,40.43694
2016-07-21,37.86891
2016-07-22,28.99578
2016-07-23,6.80337
2016-07-24,5.1169
2016-07-25,28.97661
2016-07-26,28.34419
2016-07-27,27.0985
2016-07-28,29.45573
2016-07-29,33.55691
2016-07-30,5.94097
2016-07-31,5.90264
2016-08-01,31.27635
2016-08-02,35.60751
2016-08-03,36.7957
2016-08-04,38.94212
2016-08-05,32.44538
2016-08-06,7.18666
2016-08-07,5.99846
2016-08-08,31.19969
2016-08-09,32.65619
2016-08-10,29.70486
2016-08-11,27.15599
2016-08-12,27.55845
2016-08-13,4.98275
2016-08-14,4.10118
2016-08-15,4.75277
2016-08-16,26.69605
2016-08-17,28.03756
2016-08-18,28.51667
2016-08-19,25.16289
2016-08-20,4.73361
2016-08-21,4.59946
2016-08-22,25.83365
2016-08-23,26.92602
2016-08-24,22.82483
2016-08-25,22.93982
2016-08-26,22.844
2016-08-27,4.92525
2016-08-28,4.71444
2016-08-29,23.68723
2016-08-30,24.74128
2016-08-31,22.61402
2016-09-01,22.57569
2016-09-02,21.59831
2016-09-03,4.31199
2016-09-04,4.73361
2016-09-05,23.51475
2016-09-06,22.70985
2016-09-07,20.75507
2016-09-08,19.24108
2016-09-09,18.83863
2016-09-10,4.71444
2016-09-11,3.64124
2016-09-12,20.58259
2016-09-13,19.50939
2016-09-14,5.04024
2016-09-15,3.52625
2016-09-16,3.79455
2016-09-17,3.9862
2016-09-18,4.21617
2016-09-19,24.89459
2016-09-20,36.94902
2016-09-21,33.55691
2016-09-22,31.54465
2016-09-23,28.78497
2016-09-24,6.17094
2016-09-25,5.86431
2016-09-26,26.98351
2016-09-27,27.0985
2016-09-28,32.06209
2016-09-29,33.17362
2016-09-30,27.30931
2016-10-01,6.43924
2016-10-02,5.00191
2016-10-03,5.69183
2016-10-04,25.89114
2016-10-05,30.77807
2016-10-06,69.58604
2016-10-07,56.2476
2016-10-08,11.17286
2016-10-09,11.9586
2016-10-10,47.75776
2016-10-11,42.96665
2016-10-12,35.24338
2016-10-13,32.08125
2016-10-14,31.92794
2016-10-15,8.33652
2016-10-16,7.66577
2016-10-17,33.71023
2016-10-18,30.85473
2016-10-19,33.02031
