,period,price,volume,ratio
0,2016-01-01,8270.0,7354.0,0.6624800000000001
1,2016-01-02,8270.0,7354.0,0.53463
2,2016-01-03,8270.0,7354.0,0.97629
3,2016-01-04,8240.0,15620.0,2.52208
4,2016-01-05,8320.0,18889.0,2.90562
5,2016-01-06,8300.0,11159.0,3.1032
6,2016-01-07,8190.0,14014.0,2.5685700000000002
7,2016-01-08,8150.0,15302.0,2.8939999999999997
8,2016-01-09,8150.0,15302.0,0.54625
9,2016-01-10,8150.0,15302.0,0.72059
10,2016-01-11,7970.0,14637.0,3.13807
11,2016-01-12,7940.0,7362.0,3.26592
12,2016-01-13,8000.0,9234.0,2.8242599999999998
13,2016-01-14,7850.0,11106.0,2.66155
14,2016-01-15,7800.0,6493.0,3.06834
15,2016-01-16,7800.0,6493.0,0.8716799999999999
16,2016-01-17,7800.0,6493.0,0.63923
17,2016-01-18,7620.0,18666.0,3.14969
18,2016-01-19,7680.0,21801.0,3.11483
19,2016-01-20,7510.0,51785.0,3.03347
20,2016-01-21,7500.0,3191.0,2.33612
21,2016-01-22,7500.0,15118.0,3.4286300000000005
22,2016-01-23,7500.0,15118.0,0.94142
23,2016-01-24,7500.0,15118.0,0.74384
24,2016-01-25,7590.0,7042.0,2.8242599999999998
25,2016-01-26,7750.0,3672.0,3.3240300000000005
26,2016-01-27,7780.0,13795.0,2.62668
27,2016-01-28,7790.0,20317.0,2.91724
28,2016-01-29,7800.0,1184.0,2.26638
29,2016-01-30,7800.0,1184.0,0.68572
30,2016-01-31,7800.0,1184.0,0.54625
31,2016-02-01,7740.0,2581.0,2.85913
32,2016-02-02,7740.0,6736.0,2.90562
33,2016-02-03,7680.0,6715.0,2.6731700000000003
34,2016-02-04,7690.0,2042.0,2.4407200000000002
35,2016-02-05,7690.0,7328.0,2.3826099999999997
36,2016-02-06,7690.0,7328.0,0.63923
37,2016-02-07,7690.0,7328.0,0.5695
38,2016-02-08,7690.0,7328.0,0.40678000000000003
39,2016-02-09,7690.0,7328.0,0.54625
40,2016-02-10,7690.0,7328.0,0.9879100000000001
41,2016-02-11,7540.0,2385.0,2.95211
42,2016-02-12,7310.0,17644.0,3.91678
43,2016-02-13,7310.0,17644.0,1.31334
44,2016-02-14,7310.0,17644.0,0.49976000000000004
45,2016-02-15,7480.0,10546.0,3.4635
46,2016-02-16,7520.0,3884.0,3.40539
47,2016-02-17,7470.0,3181.0,3.30079
48,2016-02-18,7490.0,3371.0,2.3826099999999997
49,2016-02-19,7690.0,12771.0,3.09158
50,2016-02-20,7690.0,12771.0,0.74384
51,2016-02-21,7690.0,12771.0,0.74384
52,2016-02-22,7700.0,21917.0,2.96373
53,2016-02-23,7640.0,11062.0,2.8475099999999998
54,2016-02-24,7530.0,5169.0,2.8939999999999997
55,2016-02-25,7550.0,9369.0,2.81264
56,2016-02-26,7590.0,6386.0,2.96373
57,2016-02-27,7590.0,6386.0,0.8368200000000001
58,2016-02-28,7590.0,6386.0,0.80195
59,2016-02-29,7720.0,8382.0,2.76615
60,2016-03-01,7720.0,8382.0,1.29009
61,2016-03-02,7820.0,13793.0,3.48675
62,2016-03-03,7850.0,5752.0,3.23105
63,2016-03-04,7850.0,19085.0,3.19618
64,2016-03-05,7850.0,19085.0,1.1971100000000001
65,2016-03-06,7850.0,19085.0,0.6624800000000001
66,2016-03-07,7710.0,22654.0,3.31241
67,2016-03-08,7700.0,11607.0,3.14969
68,2016-03-09,7680.0,16220.0,2.73128
69,2016-03-10,7680.0,16868.0,3.14969
70,2016-03-11,7710.0,12104.0,2.4407200000000002
71,2016-03-12,7710.0,12104.0,0.79033
72,2016-03-13,7710.0,12104.0,0.9298
73,2016-03-14,7650.0,14378.0,2.6731700000000003
74,2016-03-15,7700.0,36446.0,2.91724
75,2016-03-16,7730.0,47813.0,2.7894
76,2016-03-17,7720.0,24363.0,3.52161
77,2016-03-18,7770.0,15856.0,2.8475099999999998
78,2016-03-19,7770.0,15856.0,0.63923
79,2016-03-20,7770.0,15856.0,0.5927399999999999
80,2016-03-21,7780.0,22105.0,3.09158
81,2016-03-22,7580.0,40597.0,3.27754
82,2016-03-23,7510.0,38474.0,2.94049
83,2016-03-24,7620.0,13468.0,3.21943
84,2016-03-25,7590.0,15197.0,2.76615
85,2016-03-26,7590.0,15197.0,0.81357
86,2016-03-27,7590.0,15197.0,0.5230100000000001
87,2016-03-28,7590.0,25490.0,2.75453
88,2016-03-29,7690.0,36392.0,2.52208
89,2016-03-30,7700.0,9523.0,3.28916
90,2016-03-31,7950.0,44629.0,4.09112
91,2016-04-01,8030.0,25155.0,3.67271
92,2016-04-02,8030.0,25155.0,1.11576
93,2016-04-03,8030.0,25155.0,0.81357
94,2016-04-04,8070.0,33593.0,3.44026
95,2016-04-05,8070.0,19140.0,3.40539
96,2016-04-06,8070.0,7028.0,3.19618
97,2016-04-07,8090.0,27675.0,3.17294
98,2016-04-08,8070.0,9083.0,2.66155
99,2016-04-09,8070.0,9083.0,1.01115
100,2016-04-10,8070.0,9083.0,0.81357
101,2016-04-11,8100.0,22149.0,3.4751199999999995
102,2016-04-12,8110.0,26199.0,3.05671
103,2016-04-13,8110.0,26199.0,1.44119
104,2016-04-14,8140.0,20317.0,3.05671
105,2016-04-15,8130.0,14578.0,2.76615
106,2016-04-16,8130.0,14578.0,0.8716799999999999
107,2016-04-17,8130.0,14578.0,1.02278
108,2016-04-18,7950.0,19615.0,3.8470400000000002
109,2016-04-19,8140.0,21517.0,3.9284
110,2016-04-20,8150.0,21730.0,3.7308199999999996
111,2016-04-21,8120.0,29830.0,3.8354199999999996
112,2016-04-22,8180.0,13506.0,3.27754
113,2016-04-23,8180.0,13506.0,0.9879100000000001
114,2016-04-24,8180.0,13506.0,0.88331
115,2016-04-25,8150.0,10781.0,3.31241
116,2016-04-26,8080.0,21996.0,2.6383
117,2016-04-27,7970.0,27724.0,3.4286300000000005
118,2016-04-28,8030.0,7480.0,2.7894
119,2016-04-29,8020.0,9876.0,2.41748
120,2016-04-30,8020.0,9876.0,0.88331
121,2016-05-01,8020.0,9876.0,0.6741
122,2016-05-02,8050.0,29252.0,2.55695
123,2016-05-03,8150.0,35042.0,3.30079
124,2016-05-04,8120.0,26592.0,2.41748
125,2016-05-05,8120.0,26592.0,0.70897
126,2016-05-06,8120.0,26592.0,0.90655
127,2016-05-07,8120.0,26592.0,0.58112
128,2016-05-08,8120.0,26592.0,0.69735
129,2016-05-09,8160.0,48140.0,2.76615
130,2016-05-10,8120.0,41178.0,2.95211
131,2016-05-11,8580.0,199819.0,5.50906
132,2016-05-12,8480.0,54313.0,4.41655
133,2016-05-13,8500.0,51127.0,3.20781
134,2016-05-14,8500.0,51127.0,0.6741
135,2016-05-15,8500.0,51127.0,0.73221
136,2016-05-16,8540.0,28019.0,3.31241
137,2016-05-17,8570.0,47875.0,3.33565
138,2016-05-18,8580.0,26933.0,3.52161
139,2016-05-19,8690.0,64101.0,3.75406
140,2016-05-20,8700.0,54514.0,3.4751199999999995
141,2016-05-21,8700.0,54514.0,4.10274
142,2016-05-22,8700.0,54514.0,2.6150599999999997
143,2016-05-23,8720.0,95121.0,6.02045
144,2016-05-24,8540.0,108844.0,4.788469999999999
145,2016-05-25,8510.0,37928.0,3.7192
146,2016-05-26,8620.0,14615.0,3.67271
147,2016-05-27,8520.0,16307.0,3.61459
148,2016-05-28,8520.0,16307.0,0.79033
149,2016-05-29,8520.0,16307.0,0.8716799999999999
150,2016-05-30,8580.0,33815.0,3.68433
151,2016-05-31,8530.0,16816.0,4.13761
152,2016-06-01,8520.0,16441.0,4.06787
153,2016-06-02,8470.0,38348.0,3.4751199999999995
154,2016-06-03,8340.0,28519.0,3.14969
155,2016-06-04,8340.0,28519.0,0.9879100000000001
156,2016-06-05,8340.0,28519.0,0.72059
157,2016-06-06,8340.0,28519.0,1.08089
158,2016-06-07,8380.0,33507.0,3.09158
159,2016-06-08,8320.0,23998.0,3.6029699999999996
160,2016-06-09,8260.0,76865.0,4.07949
161,2016-06-10,8360.0,18929.0,3.76569
162,2016-06-11,8360.0,18929.0,1.41794
163,2016-06-12,8360.0,18929.0,1.30172
164,2016-06-13,8370.0,19230.0,3.38214
165,2016-06-14,8340.0,7116.0,3.26592
166,2016-06-15,8330.0,5743.0,2.97536
167,2016-06-16,8380.0,25044.0,3.3937699999999995
168,2016-06-17,8450.0,79201.0,3.91678
169,2016-06-18,8450.0,79201.0,1.20874
170,2016-06-19,8450.0,79201.0,0.9879100000000001
171,2016-06-20,8440.0,27136.0,3.7192
172,2016-06-21,8440.0,17759.0,3.50999
173,2016-06-22,8570.0,28531.0,3.74244
174,2016-06-23,8460.0,15157.0,3.53324
175,2016-06-24,8220.0,63975.0,3.4518800000000005
176,2016-06-25,8220.0,63975.0,0.80195
177,2016-06-26,8220.0,63975.0,1.2436
178,2016-06-27,8260.0,44421.0,3.6262199999999996
179,2016-06-28,8400.0,18987.0,2.98698
180,2016-06-29,8700.0,171182.0,5.7182699999999995
181,2016-06-30,8740.0,143132.0,6.54346
182,2016-07-01,9160.0,1075812.0,45.16503
183,2016-07-02,9160.0,1075812.0,8.63551
184,2016-07-03,9160.0,1075812.0,5.5206800000000005
185,2016-07-04,9690.0,850604.0,30.38121
186,2016-07-05,9720.0,327587.0,25.84844
187,2016-07-06,9450.0,239084.0,26.23198
188,2016-07-07,12250.0,8035761.0,100.0
189,2016-07-08,11850.0,2131105.0,62.47094
190,2016-07-09,11850.0,2131105.0,13.981860000000001
191,2016-07-10,11850.0,2131105.0,12.703389999999999
192,2016-07-11,12300.0,5103571.0,67.85216
193,2016-07-12,12000.0,835743.0,45.478840000000005
194,2016-07-13,12450.0,1776541.0,48.500690000000006
195,2016-07-14,12550.0,633085.0,36.55276
196,2016-07-15,11600.0,1483158.0,40.50441
197,2016-07-16,11600.0,1483158.0,12.63365
198,2016-07-17,11600.0,1483158.0,13.09855
199,2016-07-18,11200.0,568514.0,40.74848
200,2016-07-19,10900.0,740615.0,34.46071
201,2016-07-20,10650.0,619407.0,25.99953
202,2016-07-21,10700.0,334874.0,20.7694
203,2016-07-22,10300.0,372268.0,17.86378
204,2016-07-23,10300.0,372268.0,5.613659999999999
205,2016-07-24,10300.0,372268.0,4.86982
206,2016-07-25,10300.0,213685.0,14.64435
207,2016-07-26,10450.0,203673.0,15.67875
208,2016-07-27,10000.0,282031.0,15.23709
209,2016-07-28,9990.0,130675.0,12.77312
210,2016-07-29,10150.0,125732.0,11.76197
211,2016-07-30,10150.0,125732.0,3.77731
212,2016-07-31,10150.0,125732.0,3.13807
213,2016-08-01,10350.0,139344.0,12.21524
214,2016-08-02,10350.0,115776.0,12.37796
215,2016-08-03,10350.0,169177.0,16.56206
216,2016-08-04,10500.0,178422.0,13.45885
217,2016-08-05,10350.0,192041.0,12.85448
218,2016-08-06,10350.0,192041.0,3.95165
219,2016-08-07,10350.0,192041.0,3.30079
220,2016-08-08,10400.0,110128.0,12.79637
221,2016-08-09,10100.0,167677.0,12.58716
222,2016-08-10,10100.0,120118.0,10.59972
223,2016-08-11,10000.0,96805.0,10.94839
224,2016-08-12,10200.0,204427.0,10.7973
225,2016-08-13,10200.0,204427.0,4.43979
226,2016-08-14,10200.0,204427.0,3.5681
227,2016-08-15,10200.0,204427.0,3.67271
228,2016-08-16,10100.0,90648.0,12.57554
229,2016-08-17,10100.0,113633.0,10.2278
230,2016-08-18,10050.0,114929.0,9.21664
231,2016-08-19,9990.0,216840.0,8.91445
232,2016-08-20,9990.0,216840.0,2.94049
233,2016-08-21,9990.0,216840.0,2.7894
234,2016-08-22,9970.0,70433.0,8.74012
235,2016-08-23,10350.0,236376.0,10.518360000000001
236,2016-08-24,10200.0,134183.0,10.14644
237,2016-08-25,9950.0,134517.0,8.90283
238,2016-08-26,9850.0,115394.0,8.39144
239,2016-08-27,9850.0,115394.0,2.15016
240,2016-08-28,9850.0,115394.0,2.2780099999999996
241,2016-08-29,9310.0,220013.0,10.750810000000001
242,2016-08-30,9440.0,87605.0,8.4728
243,2016-08-31,9430.0,39447.0,9.10041
244,2016-09-01,9500.0,52978.0,8.46118
245,2016-09-02,9650.0,41086.0,7.20595
246,2016-09-03,9650.0,41086.0,2.40585
247,2016-09-04,9650.0,41086.0,2.20827
248,2016-09-05,9520.0,35222.0,7.58949
249,2016-09-06,9320.0,111658.0,7.06648
250,2016-09-07,9240.0,43856.0,6.93863
251,2016-09-08,9040.0,84701.0,6.60158
252,2016-09-09,9220.0,85922.0,7.39191
253,2016-09-10,9220.0,85922.0,2.04556
254,2016-09-11,9220.0,85922.0,1.7085
255,2016-09-12,9050.0,63586.0,7.33379
256,2016-09-13,9300.0,62788.0,8.031139999999999
257,2016-09-14,9300.0,62788.0,1.72013
258,2016-09-15,9300.0,62788.0,1.20874
259,2016-09-16,9300.0,62788.0,1.61552
260,2016-09-17,9300.0,62788.0,1.73175
261,2016-09-18,9300.0,62788.0,1.44119
262,2016-09-19,9250.0,54177.0,6.659689999999999
263,2016-09-20,9420.0,46268.0,7.484889999999999
264,2016-09-21,9340.0,26009.0,7.83356
265,2016-09-22,9350.0,56270.0,6.8688899999999995
266,2016-09-23,9350.0,25278.0,6.39237
267,2016-09-24,9350.0,25278.0,1.94095
268,2016-09-25,9350.0,25278.0,2.26638
269,2016-09-26,9600.0,266709.0,10.285910000000001
270,2016-09-27,9590.0,149692.0,9.123660000000001
271,2016-09-28,9500.0,202908.0,10.46025
272,2016-09-29,9400.0,88988.0,8.39144
273,2016-09-30,9260.0,60241.0,6.09019
274,2016-10-01,9260.0,60241.0,1.7085
275,2016-10-02,9260.0,60241.0,1.69688
276,2016-10-03,9260.0,60241.0,1.83635
277,2016-10-04,9500.0,66792.0,7.57787
278,2016-10-05,9610.0,55752.0,7.426769999999999
279,2016-10-06,9650.0,39903.0,6.49697
280,2016-10-07,9470.0,30173.0,6.1483
281,2016-10-08,9470.0,30173.0,1.48768
282,2016-10-09,9470.0,30173.0,1.73175
283,2016-10-10,9460.0,16756.0,6.28777
284,2016-10-11,9420.0,38799.0,6.02045
285,2016-10-12,9380.0,37077.0,6.008830000000001
286,2016-10-13,9450.0,49092.0,6.26452
287,2016-10-14,9500.0,38758.0,5.91585
288,2016-10-15,9500.0,38758.0,1.6852599999999998
289,2016-10-16,9500.0,38758.0,1.94095
290,2016-10-17,9550.0,62237.0,7.06648
291,2016-10-18,9390.0,66601.0,6.84565
292,2016-10-19,10100.0,575619.0,16.55044
293,2016-10-20,10100.0,259896.0,11.84332
294,2016-10-21,9800.0,233280.0,9.79776
295,2016-10-22,9800.0,233280.0,2.5337
296,2016-10-23,9800.0,233280.0,2.09205
297,2016-10-24,9620.0,146860.0,8.19386
298,2016-10-25,9270.0,154751.0,7.7522
299,2016-10-26,9160.0,113878.0,7.29893
300,2016-10-27,9170.0,39002.0,5.96234
301,2016-10-28,9170.0,57375.0,5.05578
302,2016-10-29,9170.0,57375.0,1.75499
303,2016-10-30,9170.0,57375.0,1.51092
304,2016-10-31,8960.0,88381.0,5.45095
305,2016-11-01,9070.0,43193.0,4.90469
306,2016-11-02,8710.0,111190.0,5.3928400000000005
307,2016-11-03,8750.0,27853.0,4.532769999999999
308,2016-11-04,8860.0,169048.0,6.5086
309,2016-11-05,8860.0,169048.0,2.23152
310,2016-11-06,8860.0,169048.0,2.05718
311,2016-11-07,9100.0,59030.0,5.99721
312,2016-11-08,9090.0,35887.0,5.636909999999999
313,2016-11-09,8780.0,364663.0,8.06601
314,2016-11-10,8760.0,99952.0,7.542999999999999
315,2016-11-11,8760.0,81297.0,5.14876
316,2016-11-12,8760.0,81297.0,2.26638
317,2016-11-13,8760.0,81297.0,1.9177099999999998
318,2016-11-14,9200.0,198291.0,8.39144
319,2016-11-15,9090.0,50545.0,6.0785599999999995
320,2016-11-16,9100.0,32336.0,4.9628
321,2016-11-17,9040.0,18371.0,4.556019999999999
322,2016-11-18,8890.0,44116.0,4.83496
323,2016-11-19,8890.0,44116.0,1.61552
324,2016-11-20,8890.0,44116.0,1.37145
325,2016-11-21,8710.0,46043.0,5.10227
326,2016-11-22,8750.0,45931.0,5.020919999999999
327,2016-11-23,8760.0,56480.0,5.27661
328,2016-11-24,8800.0,33663.0,5.43933
329,2016-11-25,8780.0,29022.0,4.77684
330,2016-11-26,8780.0,29022.0,1.11576
331,2016-11-27,8780.0,29022.0,1.41794
332,2016-11-28,8850.0,23016.0,5.3928400000000005
333,2016-11-29,8840.0,30710.0,4.7536
334,2016-11-30,8770.0,30049.0,4.486280000000001
335,2016-12-01,8790.0,44171.0,4.56764
336,2016-12-02,8670.0,20634.0,3.68433
337,2016-12-03,8670.0,20634.0,1.27847
338,2016-12-04,8670.0,20634.0,0.91817
339,2016-12-05,8680.0,29414.0,4.61413
340,2016-12-06,8720.0,27560.0,4.31194
341,2016-12-07,8550.0,31756.0,4.59088
342,2016-12-08,8590.0,19376.0,4.532769999999999
343,2016-12-09,8700.0,23900.0,4.12598
344,2016-12-10,8700.0,23900.0,1.1041299999999998
345,2016-12-11,8700.0,23900.0,1.4993
346,2016-12-12,8780.0,19791.0,4.26545
347,2016-12-13,8780.0,17370.0,4.23059
348,2016-12-14,8760.0,41144.0,4.61413
349,2016-12-15,8820.0,40554.0,4.35843
350,2016-12-16,8950.0,24245.0,4.38168
351,2016-12-17,8950.0,24245.0,1.3598299999999999
352,2016-12-18,8950.0,24245.0,1.15062
353,2016-12-19,8970.0,13666.0,4.23059
354,2016-12-20,8910.0,10951.0,3.8354199999999996
355,2016-12-21,8890.0,24239.0,4.37006
356,2016-12-22,8790.0,36540.0,4.021380000000001
357,2016-12-23,8920.0,44812.0,4.34681
358,2016-12-24,8920.0,44812.0,0.90655
359,2016-12-25,8920.0,44812.0,0.91817
360,2016-12-26,8880.0,28141.0,4.06787
361,2016-12-27,8930.0,51282.0,4.06787
362,2016-12-28,8800.0,37680.0,3.67271
363,2016-12-29,8880.0,29763.0,3.91678
364,2016-12-30,8880.0,29763.0,1.88284
365,2016-12-31,8880.0,29763.0,0.7787
366,2017-01-01,8880.0,29763.0,0.81357
367,2017-01-02,9030.0,50121.0,5.43933
368,2017-01-03,8940.0,45349.0,4.788469999999999
369,2017-01-04,8990.0,28594.0,4.89307
370,2017-01-05,9000.0,22086.0,4.14923
371,2017-01-06,9110.0,78643.0,5.4277
372,2017-01-07,9110.0,78643.0,1.3598299999999999
373,2017-01-08,9110.0,78643.0,1.2552299999999998
374,2017-01-09,9160.0,60388.0,5.40446
375,2017-01-10,9020.0,28552.0,5.45095
376,2017-01-11,8980.0,30133.0,4.71873
