period,price,volume,ratio
2016-01-04,657.0,696671.0,7.8560300000000005
2016-01-05,698.0,1443571.0,10.14706
2016-01-06,700.0,696828.0,8.41031
2016-01-07,686.0,466806.0,6.614439999999999
2016-01-08,673.0,378926.0,5.80149
2016-01-11,655.0,456025.0,6.09711
2016-01-12,633.0,548685.0,6.3040400000000005
2016-01-13,660.0,1340601.0,8.4177
2016-01-14,665.0,367693.0,6.703119999999999
2016-01-15,670.0,3452616.0,8.67637
2016-01-18,681.0,618103.0,6.806589999999999
2016-01-19,668.0,1130119.0,7.434769999999999
2016-01-20,631.0,622971.0,7.080030000000001
2016-01-21,629.0,486974.0,6.42967
2016-01-22,644.0,464535.0,5.38762
2016-01-25,641.0,434421.0,5.860609999999999
2016-01-26,635.0,288643.0,5.6906300000000005
2016-01-27,611.0,672289.0,6.04537
2016-01-28,621.0,337401.0,5.77193
2016-01-29,589.0,1551728.0,6.1784
2016-02-01,563.0,1010040.0,6.983960000000001
2016-02-02,516.0,2188237.0,9.127180000000001
2016-02-03,515.0,539985.0,6.99135
2016-02-04,568.0,4174096.0,9.38585
2016-02-05,569.0,1570273.0,8.01862
2016-02-11,521.0,959047.0,6.73268
2016-02-12,502.0,561606.0,5.6832400000000005
2016-02-15,508.0,540819.0,5.83105
2016-02-16,515.0,577210.0,6.08971
2016-02-17,520.0,743226.0,6.769639999999999
2016-02-18,463.0,6109458.0,17.76661
2016-02-19,471.0,1556454.0,8.38075
2016-02-22,464.0,886312.0,6.77703
2016-02-23,603.0,9982203.0,21.60224
2016-02-24,575.0,9057835.0,20.46411
2016-02-25,540.0,3484083.0,12.41593
2016-02-26,576.0,16644922.0,18.60911
2016-02-29,598.0,3859689.0,14.71435
2016-03-02,590.0,1181275.0,11.94294
2016-03-03,612.0,3287212.0,12.38637
2016-03-04,606.0,2417843.0,10.33183
2016-03-07,586.0,1324203.0,8.949810000000001
2016-03-08,579.0,944411.0,7.944710000000001
2016-03-09,579.0,986851.0,7.663880000000001
2016-03-10,572.0,1028920.0,6.843539999999999
2016-03-11,560.0,777104.0,6.99874
2016-03-14,525.0,2374713.0,8.69115
2016-03-15,550.0,1344037.0,8.86852
2016-03-16,564.0,2652161.0,11.34432
2016-03-17,579.0,9277315.0,13.45059
2016-03-18,584.0,2015669.0,8.91286
2016-03-21,584.0,1484656.0,8.5729
2016-03-22,565.0,1383287.0,7.434769999999999
2016-03-23,560.0,1604511.0,6.8731
2016-03-24,555.0,843854.0,6.78442
2016-03-25,575.0,2071816.0,7.1539399999999995
2016-03-28,573.0,1508226.0,6.78442
2016-03-29,575.0,1202040.0,5.95669
2016-03-30,623.0,12654269.0,16.56196
2016-03-31,776.0,34070120.0,41.68206
2016-04-01,786.0,26065071.0,37.38082
2016-04-04,786.0,7685081.0,24.84664
2016-04-05,731.0,4608587.0,18.498260000000002
2016-04-06,767.0,7312842.0,18.81605
2016-04-07,755.0,3755196.0,14.980410000000001
2016-04-08,728.0,1670537.0,11.1226
2016-04-11,762.0,1483445.0,14.18224
2016-04-12,777.0,4667626.0,18.047439999999998
2016-04-14,790.0,6483073.0,18.93429
2016-04-15,766.0,3344623.0,14.625670000000001
2016-04-18,730.0,2466174.0,13.797939999999999
2016-04-19,724.0,1627608.0,10.80481
