period,price,volume,ratio
2016-01-04,4245.0,144985.0,2.49222
2016-01-05,4245.0,73280.0,2.24611
2016-01-06,4345.0,186255.0,2.6658
2016-01-07,4300.0,173102.0,2.1735700000000002
2016-01-08,4330.0,87493.0,2.0569900000000003
2016-01-11,4335.0,93689.0,2.11139
2016-01-12,4265.0,63117.0,2.2098400000000002
2016-01-13,4190.0,57039.0,2.1139799999999997
2016-01-14,4100.0,52387.0,1.8963700000000001
2016-01-15,3980.0,152037.0,1.84715
2016-01-18,3995.0,59546.0,1.9119099999999998
2016-01-19,4035.0,64124.0,1.7927400000000002
2016-01-20,3925.0,114577.0,1.7098400000000002
2016-01-21,3910.0,41166.0,1.7538799999999999
2016-01-22,3970.0,84322.0,1.90673
2016-01-25,3990.0,42151.0,1.8316
2016-01-26,3985.0,55813.0,1.76683
2016-01-27,3975.0,54366.0,1.76165
2016-01-28,3915.0,51151.0,1.7305599999999999
2016-01-29,3795.0,61877.0,1.75647
2016-02-01,3685.0,123317.0,1.88601
2016-02-02,4280.0,953437.0,5.3575099999999996
2016-02-03,4470.0,1080540.0,7.18911
2016-02-04,4660.0,738018.0,6.764239999999999
2016-02-05,4860.0,2146377.0,8.96373
2016-02-11,4940.0,684146.0,6.03367
2016-02-12,4785.0,462017.0,5.88601
2016-02-15,5020.0,962742.0,6.2409300000000005
2016-02-16,5370.0,956219.0,8.42487
2016-02-17,5990.0,2648038.0,14.101029999999998
2016-02-18,6500.0,1948696.0,16.37564
2016-02-19,6470.0,1251875.0,13.51554
2016-02-22,7250.0,2087792.0,19.40155
2016-02-23,7170.0,1759841.0,22.20725
2016-02-24,7300.0,1486796.0,18.15025
2016-02-25,7290.0,752202.0,14.34455
2016-02-26,6890.0,705859.0,11.75388
2016-02-29,6360.0,1614403.0,14.51295
2016-03-02,6360.0,1225878.0,12.25129
2016-03-03,6480.0,855625.0,10.34455
2016-03-04,6940.0,1342985.0,12.44041
2016-03-07,6940.0,988769.0,12.22797
2016-03-08,7300.0,981950.0,11.59585
2016-03-09,7200.0,467769.0,10.92746
2016-03-10,6800.0,731282.0,10.24093
2016-03-11,6870.0,931960.0,10.370460000000001
2016-03-14,6540.0,418720.0,9.5259
2016-03-15,6320.0,609387.0,8.46373
2016-03-16,6540.0,787858.0,9.28238
2016-03-17,6400.0,265209.0,8.538860000000001
2016-03-18,6230.0,324416.0,7.4145
2016-03-21,6390.0,276466.0,8.15803
2016-03-22,6440.0,661286.0,9.556989999999999
2016-03-23,6210.0,345245.0,7.49222
2016-03-24,6120.0,234198.0,6.924869999999999
2016-03-25,6080.0,224272.0,6.68911
2016-03-28,5490.0,546435.0,8.59067
