period,price,volume,ratio
2016-01-04,3500.0,31509.0,2.9323799999999998
2016-01-05,3515.0,30055.0,3.28825
2016-01-06,3475.0,27426.0,3.3167199999999997
2016-01-07,3405.0,58851.0,3.8291800000000005
2016-01-08,3440.0,36767.0,3.3167199999999997
2016-01-11,3440.0,19100.0,3.17437
2016-01-12,3440.0,28324.0,2.7046200000000002
2016-01-13,3545.0,21867.0,3.24555
2016-01-14,3515.0,143685.0,2.57651
2016-01-15,3470.0,38982.0,3.16014
2016-01-18,3375.0,34858.0,2.8042700000000003
2016-01-19,3425.0,18216.0,2.57651
2016-01-20,3345.0,40494.0,2.9039099999999998
2016-01-21,3350.0,14876.0,2.9323799999999998
2016-01-22,3490.0,74296.0,3.40213
2016-01-25,3565.0,45213.0,3.4163699999999997
2016-01-26,3525.0,12549.0,4.05693
2016-01-27,3530.0,8393.0,3.00355
2016-01-28,3620.0,57607.0,3.61565
2016-01-29,3640.0,39325.0,3.01779
2016-02-01,3550.0,31868.0,3.24555
2016-02-02,3535.0,13090.0,2.8327400000000003
2016-02-03,3515.0,16490.0,2.7046200000000002
2016-02-04,3620.0,36246.0,3.17437
2016-02-05,3725.0,22117.0,3.35943
2016-02-11,3710.0,29066.0,3.9288199999999995
2016-02-12,3590.0,48085.0,3.7864699999999996
2016-02-15,3610.0,32473.0,3.6014199999999996
2016-02-16,3645.0,10039.0,2.9323799999999998
2016-02-17,3665.0,14482.0,3.30249
2016-02-18,3720.0,21601.0,3.2313099999999997
2016-02-19,3740.0,10563.0,2.8327400000000003
2016-02-22,3730.0,14424.0,2.9750799999999997
2016-02-23,3685.0,18664.0,3.06049
2016-02-24,3685.0,23569.0,2.98932
2016-02-25,3665.0,11989.0,2.88967
2016-02-26,3615.0,19493.0,2.9750799999999997
2016-02-29,3695.0,7926.0,2.5338
2016-03-02,3640.0,31663.0,2.37722
2016-03-03,3660.0,19041.0,2.8469700000000002
2016-03-04,3650.0,21827.0,2.29181
2016-03-07,3645.0,16976.0,2.8042700000000003
2016-03-08,3685.0,25767.0,2.7046200000000002
2016-03-09,3700.0,19768.0,2.6619200000000003
2016-03-10,3640.0,22454.0,2.79003
2016-03-11,3660.0,12682.0,2.91814
2016-03-14,3770.0,46596.0,3.94306
2016-03-15,3780.0,52182.0,3.40213
2016-03-16,3800.0,39076.0,3.6441199999999996
2016-03-17,3810.0,35698.0,3.6868300000000005
2016-03-18,3915.0,42825.0,3.4590699999999996
2016-03-21,3960.0,113235.0,4.38434
2016-03-22,3935.0,34782.0,3.6014199999999996
2016-03-23,4010.0,40816.0,4.54092
2016-03-24,3920.0,91315.0,3.7153
2016-03-25,3960.0,20770.0,3.4448300000000005
2016-03-28,3960.0,26792.0,3.6441199999999996
2016-03-29,3965.0,17105.0,3.30249
2016-03-30,3970.0,45972.0,2.98932
2016-03-31,3975.0,30500.0,2.8469700000000002
2016-04-01,3975.0,12019.0,2.63345
2016-04-04,3910.0,60211.0,3.1459
2016-04-05,3825.0,59009.0,3.24555
2016-04-06,3855.0,36136.0,2.67615
2016-04-07,3820.0,26055.0,2.36298
2016-04-08,3800.0,35058.0,2.87544
2016-04-11,3800.0,22161.0,3.28825
2016-04-12,3895.0,25957.0,3.13167
2016-04-14,3910.0,18826.0,2.4911
2016-04-15,3915.0,38073.0,2.5907400000000003
2016-04-18,3785.0,30686.0,3.53024
2016-04-19,3720.0,33678.0,3.4163699999999997
2016-04-20,3720.0,51767.0,2.7758
2016-04-21,3770.0,16203.0,2.79003
2016-04-22,3710.0,25924.0,2.4199200000000003
2016-04-25,3720.0,13535.0,3.06049
2016-04-26,3710.0,17117.0,2.6619200000000003
2016-04-27,3700.0,19658.0,2.7330900000000002
2016-04-28,3680.0,32995.0,3.17437
2016-04-29,3715.0,24190.0,2.12099
2016-05-02,3720.0,41228.0,2.46263
2016-05-03,3800.0,235931.0,4.21352
2016-05-04,3725.0,65414.0,2.8185
2016-05-09,4105.0,242089.0,6.63345
2016-05-10,4020.0,168765.0,6.1067599999999995
2016-05-11,3865.0,107442.0,4.15658
2016-05-12,3885.0,41220.0,3.25978
2016-05-13,3840.0,34822.0,2.5338
2016-05-16,3940.0,148611.0,3.7153
2016-05-17,4045.0,170975.0,6.8612
2016-05-18,3900.0,2523667.0,25.85053
2016-05-19,3730.0,485774.0,14.8185
2016-05-20,4045.0,448640.0,19.701060000000002
2016-05-23,4595.0,1001158.0,37.82206
2016-05-24,4545.0,1208081.0,35.160140000000006
2016-05-25,4295.0,301205.0,24.61209
2016-05-26,4220.0,512325.0,20.64056
2016-05-27,4545.0,337336.0,20.39857
2016-05-30,4800.0,376459.0,23.53024
2016-05-31,4770.0,193412.0,18.1637
2016-06-01,4750.0,117900.0,16.48398
2016-06-02,4570.0,303659.0,18.93238
2016-06-03,4480.0,266542.0,14.177929999999998
2016-06-07,4275.0,181295.0,13.77935
2016-06-08,4050.0,379673.0,14.96085
2016-06-09,4075.0,197275.0,12.96797
2016-06-10,3970.0,187305.0,10.106760000000001
2016-06-13,3935.0,179756.0,11.08896
2016-06-14,3860.0,165572.0,9.238430000000001
2016-06-15,4050.0,293226.0,13.09608
2016-06-16,4145.0,498256.0,20.45551
2016-06-17,4195.0,232373.0,15.886120000000002
2016-06-20,4190.0,219736.0,11.90035
2016-06-21,4345.0,852137.0,37.722409999999996
2016-06-22,4000.0,399130.0,26.7758
2016-06-23,4190.0,868951.0,23.41637
2016-06-24,3900.0,523720.0,20.72597
2016-06-27,3890.0,144590.0,11.558710000000001
2016-06-28,3950.0,109628.0,10.30604
2016-06-29,3995.0,125403.0,9.67971
2016-06-30,4020.0,55947.0,8.0
2016-07-01,3985.0,66818.0,6.619210000000001
2016-07-04,4040.0,62315.0,7.27402
2016-07-05,4000.0,46794.0,7.21708
2016-07-06,4015.0,179569.0,9.850530000000001
2016-07-07,4295.0,192165.0,12.54092
2016-07-08,4235.0,113501.0,8.76868
2016-07-11,4210.0,147324.0,8.22775
2016-07-12,4280.0,87625.0,8.754439999999999
2016-07-13,4350.0,143158.0,9.80782
2016-07-14,4260.0,54924.0,7.27402
2016-07-15,4235.0,119843.0,9.25266
2016-07-18,4290.0,59187.0,8.27046
2016-07-19,4190.0,97392.0,6.69039
2016-07-20,4185.0,74055.0,6.44839
2016-07-21,4165.0,62594.0,6.24911
2016-07-22,4300.0,106082.0,7.117430000000001
2016-07-25,4460.0,277448.0,11.35943
2016-07-26,4425.0,284819.0,11.28825
2016-07-27,4425.0,160759.0,11.302489999999999
2016-07-28,4425.0,364152.0,11.53024
2016-07-29,4335.0,101397.0,9.62277
2016-08-01,4545.0,184540.0,11.4306
2016-08-02,4695.0,663596.0,19.78647
2016-08-03,5260.0,2851671.0,40.11387
2016-08-04,5370.0,748249.0,32.25622
2016-08-05,5230.0,450537.0,24.39857
2016-08-08,6060.0,3335022.0,52.284690000000005
2016-08-09,5800.0,1785169.0,50.733090000000004
2016-08-10,5850.0,631649.0,30.51957
2016-08-11,5400.0,600168.0,28.58362
2016-08-12,5380.0,377532.0,21.16725
2016-08-16,5500.0,191182.0,20.68327
2016-08-17,5320.0,377711.0,20.51245
2016-08-18,5390.0,192523.0,18.13523
2016-08-19,5540.0,242378.0,16.213520000000003
2016-08-22,5890.0,1064997.0,29.9217
2016-08-23,5900.0,509308.0,28.0854
2016-08-24,6050.0,654875.0,34.57651
2016-08-25,6070.0,275232.0,29.19572
2016-08-26,5870.0,296157.0,26.63345
2016-08-29,5800.0,310214.0,29.09608
2016-08-30,5870.0,204142.0,23.72953
2016-08-31,6500.0,1061662.0,42.334509999999995
2016-09-01,6500.0,592582.0,39.20284
2016-09-02,6800.0,509616.0,33.22419
2016-09-05,7930.0,1880271.0,70.74733
2016-09-06,7990.0,635985.0,55.41636999999999
2016-09-07,8410.0,1049345.0,64.22775
2016-09-08,7700.0,1628907.0,68.71174
2016-09-09,7410.0,927987.0,55.786469999999994
2016-09-12,7430.0,731292.0,56.62633
2016-09-13,7460.0,1000024.0,55.97153
2016-09-19,7400.0,550092.0,41.73665
2016-09-20,7460.0,581469.0,37.50889
2016-09-21,6960.0,574765.0,36.46975
