period,price,volume,ratio
2019-08-08,787.0,201881.0,3.20512
2019-08-13,857.0,651090.0,7.05128
2019-08-30,1000.0,315646.0,15.38461
2019-09-02,1125.0,393015.0,36.53846
2019-09-03,1110.0,305496.0,21.79487
2019-09-04,1130.0,161282.0,16.02564
2019-09-05,1150.0,129270.0,14.74358
2019-09-06,1130.0,65429.0,21.15384
2019-09-09,1130.0,94702.0,51.28205
2019-09-10,1125.0,58844.0,39.10256
2019-09-11,1125.0,130753.0,20.51282
2019-09-16,1135.0,76244.0,52.5641
2019-09-17,1145.0,38370.0,34.61538
2019-09-18,1120.0,100989.0,37.17948
2019-09-19,1120.0,102916.0,30.76923
2019-09-20,1105.0,172688.0,28.20512
2019-09-23,1065.0,196459.0,26.923070000000003
2019-09-24,1055.0,99216.0,26.923070000000003
2019-09-25,1025.0,96681.0,100.0
