,period,price,volume,ratio
0,2016-01-01,2745.0,571665.0,0.87523
1,2016-01-02,2745.0,571665.0,0.80182
2,2016-01-03,2745.0,571665.0,0.5816
3,2016-01-04,2560.0,452294.0,3.23837
4,2016-01-05,2630.0,270401.0,2.5579400000000003
5,2016-01-06,2440.0,1054910.0,4.46652
6,2016-01-07,2240.0,497074.0,3.93856
7,2016-01-08,2270.0,715421.0,3.7155099999999996
8,2016-01-09,2270.0,715421.0,0.847
9,2016-01-10,2270.0,715421.0,0.73124
10,2016-01-11,2445.0,2251989.0,6.169
11,2016-01-12,2360.0,342245.0,3.79175
12,2016-01-13,2415.0,427129.0,3.57435
13,2016-01-14,2470.0,384448.0,3.33154
14,2016-01-15,2385.0,210445.0,2.32078
15,2016-01-16,2385.0,210445.0,0.5674899999999999
16,2016-01-17,2385.0,210445.0,0.38679
17,2016-01-18,2305.0,128727.0,2.04692
18,2016-01-19,2175.0,195027.0,1.8267
19,2016-01-20,2095.0,359876.0,2.2022
20,2016-01-21,2095.0,209997.0,2.1909099999999997
21,2016-01-22,2095.0,145630.0,1.86905
22,2016-01-23,2095.0,145630.0,0.42913999999999997
23,2016-01-24,2095.0,145630.0,0.46302
24,2016-01-25,2135.0,57024.0,1.90293
25,2016-01-26,2000.0,215550.0,1.86905
26,2016-01-27,2015.0,140924.0,1.69118
27,2016-01-28,2015.0,133494.0,1.6177700000000002
28,2016-01-29,2045.0,143647.0,1.68835
29,2016-01-30,2045.0,143647.0,0.3755
30,2016-01-31,2045.0,143647.0,0.40938
31,2016-02-01,2090.0,115198.0,1.7956400000000001
32,2016-02-02,2070.0,55949.0,1.6742400000000002
33,2016-02-03,2125.0,118608.0,1.99045
34,2016-02-04,2120.0,100916.0,1.8125799999999999
35,2016-02-05,2090.0,83694.0,1.38343
36,2016-02-06,2090.0,83694.0,0.33597
37,2016-02-07,2090.0,83694.0,0.75947
38,2016-02-08,2090.0,83694.0,0.40656
39,2016-02-09,2090.0,83694.0,0.31903000000000004
40,2016-02-10,2090.0,83694.0,5.55069
41,2016-02-11,1590.0,1449519.0,20.243370000000002
42,2016-02-12,1515.0,2020559.0,15.73166
43,2016-02-13,1515.0,2020559.0,2.62853
44,2016-02-14,1515.0,2020559.0,1.8747
45,2016-02-15,1545.0,475888.0,5.88949
46,2016-02-16,1625.0,3290341.0,6.075830000000001
47,2016-02-17,1650.0,454651.0,4.14466
48,2016-02-18,1635.0,809167.0,3.7465699999999997
49,2016-02-19,1680.0,335512.0,3.3513
50,2016-02-20,1680.0,335512.0,0.70301
51,2016-02-21,1680.0,335512.0,0.91758
52,2016-02-22,1670.0,239655.0,3.1932
53,2016-02-23,1640.0,314233.0,2.78946
54,2016-02-24,1685.0,180038.0,2.73299
55,2016-02-25,1700.0,492496.0,2.6991099999999997
56,2016-02-26,1715.0,231579.0,2.07515
57,2016-02-27,1715.0,231579.0,0.57031
58,2016-02-28,1715.0,231579.0,0.55619
59,2016-02-29,1730.0,131774.0,2.04692
60,2016-03-01,1730.0,131774.0,0.64372
61,2016-03-02,1770.0,196631.0,2.12315
62,2016-03-03,1740.0,172439.0,2.01586
63,2016-03-04,1745.0,118316.0,1.742
64,2016-03-05,1745.0,118316.0,0.41785
65,2016-03-06,1745.0,118316.0,0.43196999999999997
66,2016-03-07,1705.0,127224.0,1.8803400000000001
67,2016-03-08,1715.0,135626.0,1.60083
68,2016-03-09,1740.0,115485.0,1.54436
69,2016-03-10,1810.0,292510.0,2.62288
70,2016-03-11,1770.0,105522.0,1.64883
71,2016-03-12,1770.0,105522.0,0.39809
72,2016-03-13,1770.0,105522.0,0.35574
73,2016-03-14,1740.0,87256.0,1.47096
74,2016-03-15,1715.0,93048.0,1.33544
75,2016-03-16,1695.0,108358.0,1.33261
76,2016-03-17,1710.0,108211.0,1.4088399999999999
77,2016-03-18,1760.0,110904.0,1.50484
78,2016-03-19,1760.0,110904.0,0.41503
79,2016-03-20,1760.0,110904.0,0.31339
80,2016-03-21,1715.0,90088.0,1.46249
81,2016-03-22,1715.0,84322.0,1.3410799999999998
82,2016-03-23,1740.0,167091.0,1.19145
83,2016-03-24,1820.0,1270065.0,2.66241
84,2016-03-25,1830.0,163906.0,1.82952
85,2016-03-26,1830.0,163906.0,0.42067
86,2016-03-27,1830.0,163906.0,0.42913999999999997
87,2016-03-28,1860.0,805054.0,2.17679
88,2016-03-29,1850.0,130295.0,1.77305
89,2016-03-30,1820.0,137541.0,1.60648
90,2016-03-31,1840.0,132249.0,1.68271
91,2016-04-01,1820.0,98853.0,1.3410799999999998
92,2016-04-02,1820.0,98853.0,0.38115
93,2016-04-03,1820.0,98853.0,0.39809
94,2016-04-04,1970.0,545469.0,2.7273400000000003
95,2016-04-05,1945.0,227362.0,2.2784299999999997
96,2016-04-06,1990.0,216948.0,1.82387
97,2016-04-07,1990.0,270914.0,1.742
98,2016-04-08,1990.0,142240.0,1.3919
99,2016-04-09,1990.0,142240.0,0.3755
100,2016-04-10,1990.0,142240.0,0.34444
101,2016-04-11,1980.0,136958.0,1.56977
102,2016-04-12,2100.0,376794.0,2.34337
103,2016-04-13,2100.0,376794.0,0.9825200000000001
104,2016-04-14,2400.0,3371071.0,7.87148
105,2016-04-15,2440.0,607817.0,4.61334
106,2016-04-16,2440.0,607817.0,1.0389899999999999
107,2016-04-17,2440.0,607817.0,1.08981
108,2016-04-18,2270.0,514801.0,4.1249
109,2016-04-19,2330.0,350516.0,2.54665
110,2016-04-20,2190.0,426952.0,2.15138
111,2016-04-21,2455.0,2256465.0,4.44111
112,2016-04-22,2555.0,717163.0,3.17061
113,2016-04-23,2555.0,717163.0,0.7368899999999999
114,2016-04-24,2555.0,717163.0,0.71712
115,2016-04-25,2500.0,1481791.0,3.67034
116,2016-04-26,2520.0,449404.0,2.52124
117,2016-04-27,2480.0,404972.0,4.77709
118,2016-04-28,2430.0,2015108.0,5.75962
119,2016-04-29,2320.0,410583.0,2.67088
120,2016-04-30,2320.0,410583.0,0.64089
121,2016-05-01,2320.0,410583.0,0.63525
122,2016-05-02,2390.0,429294.0,3.0068599999999996
123,2016-05-03,2395.0,200758.0,2.8064
124,2016-05-04,2420.0,330423.0,2.62006
125,2016-05-05,2420.0,330423.0,0.56184
126,2016-05-06,2420.0,330423.0,0.65501
127,2016-05-07,2420.0,330423.0,0.60137
128,2016-05-08,2420.0,330423.0,1.27615
129,2016-05-09,2525.0,444477.0,3.23272
130,2016-05-10,2480.0,230060.0,2.70476
131,2016-05-11,2545.0,260213.0,3.4727099999999997
132,2016-05-12,2475.0,855658.0,3.10567
133,2016-05-13,2565.0,380711.0,2.27561
134,2016-05-14,2565.0,380711.0,0.61548
135,2016-05-15,2565.0,380711.0,0.60137
136,2016-05-16,2660.0,1023255.0,3.2807199999999996
137,2016-05-17,2600.0,363696.0,2.8911
138,2016-05-18,2460.0,228792.0,2.43654
139,2016-05-19,2405.0,251817.0,2.00175
140,2016-05-20,2480.0,156478.0,2.4676
141,2016-05-21,2480.0,156478.0,1.13216
142,2016-05-22,2480.0,156478.0,0.98534
143,2016-05-23,2575.0,474538.0,3.15367
144,2016-05-24,2610.0,228662.0,2.55512
145,2016-05-25,2650.0,955146.0,3.2666
146,2016-05-26,3445.0,1819000.0,16.948529999999998
147,2016-05-27,3600.0,9106487.0,14.62491
148,2016-05-28,3600.0,9106487.0,2.82334
149,2016-05-29,3600.0,9106487.0,2.32078
150,2016-05-30,3140.0,2793742.0,8.458730000000001
151,2016-05-31,3140.0,1051341.0,5.5648
152,2016-06-01,3200.0,744811.0,4.45523
153,2016-06-02,3025.0,791376.0,3.8256300000000003
154,2016-06-03,3080.0,338587.0,3.3343599999999998
155,2016-06-04,3080.0,338587.0,0.85264
156,2016-06-05,3080.0,338587.0,0.7368899999999999
157,2016-06-06,3080.0,338587.0,1.06722
158,2016-06-07,3090.0,644580.0,3.55176
159,2016-06-08,3180.0,1061140.0,3.8002199999999995
160,2016-06-09,3050.0,357434.0,3.22425
161,2016-06-10,3150.0,327838.0,2.43654
162,2016-06-11,3150.0,327838.0,0.72559
163,2016-06-12,3150.0,327838.0,0.7397100000000001
164,2016-06-13,3030.0,229137.0,2.4817099999999996
165,2016-06-14,2995.0,364836.0,2.1175
166,2016-06-15,2980.0,228533.0,2.28973
167,2016-06-16,3030.0,2252395.0,4.27454
168,2016-06-17,3260.0,705549.0,2.73299
169,2016-06-18,3260.0,705549.0,0.7509999999999999
170,2016-06-19,3260.0,705549.0,0.84982
171,2016-06-20,3340.0,529301.0,2.88545
172,2016-06-21,3200.0,341228.0,2.5918200000000002
173,2016-06-22,3265.0,179691.0,2.1400900000000003
174,2016-06-23,3265.0,268064.0,2.1880900000000003
175,2016-06-24,2965.0,589031.0,2.5523
176,2016-06-25,2965.0,589031.0,0.51384
177,2016-06-26,2965.0,589031.0,0.51384
178,2016-06-27,2980.0,201719.0,2.27279
179,2016-06-28,3060.0,119534.0,2.2530200000000002
180,2016-06-29,3120.0,177162.0,1.94528
181,2016-06-30,3200.0,126385.0,1.9763400000000002
182,2016-07-01,3505.0,1000303.0,3.3767099999999997
183,2016-07-02,3505.0,1000303.0,1.09545
184,2016-07-03,3505.0,1000303.0,0.9825200000000001
185,2016-07-04,3690.0,1605658.0,4.82227
186,2016-07-05,3845.0,756957.0,3.9526800000000004
187,2016-07-06,3775.0,820572.0,4.0317300000000005
188,2016-07-07,3640.0,594130.0,4.34512
189,2016-07-08,3395.0,653118.0,3.0972
190,2016-07-09,3395.0,653118.0,0.97405
191,2016-07-10,3395.0,653118.0,0.74253
192,2016-07-11,3400.0,226706.0,2.52124
193,2016-07-12,3355.0,164235.0,2.06386
194,2016-07-13,3355.0,157999.0,2.00175
195,2016-07-14,3415.0,116296.0,1.77023
196,2016-07-15,3300.0,192715.0,1.75047
197,2016-07-16,3300.0,192715.0,0.42632
198,2016-07-17,3300.0,192715.0,0.38397
199,2016-07-18,3240.0,183529.0,1.8379900000000002
200,2016-07-19,3225.0,67753.0,1.8747
201,2016-07-20,3135.0,159883.0,1.7250599999999998
202,2016-07-21,3150.0,94772.0,1.7052900000000002
203,2016-07-22,3210.0,64360.0,1.59236
204,2016-07-23,3210.0,64360.0,0.46302
205,2016-07-24,3210.0,64360.0,0.36703
206,2016-07-25,3265.0,121791.0,1.56695
207,2016-07-26,3120.0,134331.0,1.58389
208,2016-07-27,3050.0,125164.0,1.5613
209,2016-07-28,3140.0,99654.0,1.62624
210,2016-07-29,3155.0,52753.0,1.37496
211,2016-07-30,3155.0,52753.0,0.42632
212,2016-07-31,3155.0,52753.0,0.40091
213,2016-08-01,3240.0,72081.0,1.53589
214,2016-08-02,3240.0,68709.0,1.45119
215,2016-08-03,3155.0,50447.0,1.31003
216,2016-08-04,3220.0,56774.0,1.4653100000000001
217,2016-08-05,3165.0,56815.0,1.36649
218,2016-08-06,3165.0,56815.0,0.40938
219,2016-08-07,3165.0,56815.0,0.46585
220,2016-08-08,3130.0,48403.0,1.45402
221,2016-08-09,3180.0,69387.0,1.54719
222,2016-08-10,3240.0,175536.0,1.7899900000000002
223,2016-08-11,3220.0,56715.0,1.5613
224,2016-08-12,3295.0,160006.0,1.61212
225,2016-08-13,3295.0,160006.0,0.42067
226,2016-08-14,3295.0,160006.0,0.38961999999999997
227,2016-08-15,3295.0,160006.0,0.48278999999999994
228,2016-08-16,3295.0,88128.0,1.7250599999999998
229,2016-08-17,3330.0,86113.0,1.55001
230,2016-08-18,3315.0,39151.0,1.9114
231,2016-08-19,3295.0,54326.0,1.4483700000000002
232,2016-08-20,3295.0,54326.0,0.38961999999999997
233,2016-08-21,3295.0,54326.0,0.40656
234,2016-08-22,3200.0,53767.0,1.46813
235,2016-08-23,3065.0,107404.0,1.4399
236,2016-08-24,3120.0,56862.0,1.5330700000000002
237,2016-08-25,3150.0,64907.0,1.46813
238,2016-08-26,3250.0,103653.0,1.69118
239,2016-08-27,3250.0,103653.0,0.40938
240,2016-08-28,3250.0,103653.0,0.43196999999999997
241,2016-08-29,3310.0,120195.0,2.19656
242,2016-08-30,3260.0,151626.0,2.26714
243,2016-08-31,3250.0,64828.0,2.0186900000000003
244,2016-09-01,3205.0,256383.0,1.93963
245,2016-09-02,3200.0,152374.0,1.73353
246,2016-09-03,3200.0,152374.0,0.56466
247,2016-09-04,3200.0,152374.0,0.49973
248,2016-09-05,3315.0,233881.0,2.0215099999999997
249,2016-09-06,3335.0,300643.0,2.8656900000000003
250,2016-09-07,3810.0,4219389.0,6.32428
251,2016-09-08,3600.0,2669539.0,5.51116
252,2016-09-09,3990.0,3184675.0,7.126110000000001
253,2016-09-10,3990.0,3184675.0,2.26432
254,2016-09-11,3990.0,3184675.0,1.86905
255,2016-09-12,3755.0,1503269.0,5.22318
256,2016-09-13,3630.0,445249.0,3.68163
257,2016-09-14,3630.0,445249.0,1.1349799999999999
258,2016-09-15,3630.0,445249.0,0.9881700000000001
259,2016-09-16,3630.0,445249.0,1.16604
260,2016-09-17,3630.0,445249.0,1.22533
261,2016-09-18,3630.0,445249.0,1.1547399999999999
262,2016-09-19,3705.0,1591044.0,6.23111
263,2016-09-20,3580.0,553471.0,3.93856
264,2016-09-21,3680.0,1710081.0,5.21753
265,2016-09-22,3520.0,575671.0,3.63364
266,2016-09-23,3485.0,227644.0,2.74993
267,2016-09-24,3485.0,227644.0,0.56466
268,2016-09-25,3485.0,227644.0,0.57031
269,2016-09-26,3440.0,243919.0,2.47324
270,2016-09-27,3420.0,177291.0,2.31796
271,2016-09-28,3425.0,162718.0,1.9565700000000001
272,2016-09-29,3310.0,405131.0,2.22479
273,2016-09-30,3210.0,336314.0,2.02433
274,2016-10-01,3210.0,336314.0,0.54208
275,2016-10-02,3210.0,336314.0,0.41785
276,2016-10-03,3210.0,336314.0,0.60419
277,2016-10-04,3225.0,205792.0,2.1175
278,2016-10-05,3150.0,198129.0,2.03845
279,2016-10-06,3165.0,156572.0,1.9650400000000001
280,2016-10-07,3125.0,410847.0,2.01304
281,2016-10-08,3125.0,410847.0,0.53361
282,2016-10-09,3125.0,410847.0,0.50255
283,2016-10-10,2950.0,201334.0,2.0328
284,2016-10-11,2775.0,691718.0,2.47607
285,2016-10-12,2790.0,216666.0,1.80129
286,2016-10-13,2710.0,195351.0,1.8888099999999999
287,2016-10-14,2725.0,130398.0,1.66012
288,2016-10-15,2725.0,130398.0,0.5082
289,2016-10-16,2725.0,130398.0,0.48843000000000003
290,2016-10-17,2655.0,172076.0,2.05821
291,2016-10-18,2640.0,103442.0,1.86622
292,2016-10-19,2680.0,85207.0,1.59801
293,2016-10-20,2530.0,220181.0,1.87752
294,2016-10-21,2485.0,179244.0,1.62906
295,2016-10-22,2485.0,179244.0,0.73406
296,2016-10-23,2485.0,179244.0,0.53361
297,2016-10-24,2525.0,88258.0,1.59801
298,2016-10-25,2430.0,112846.0,1.81823
299,2016-10-26,2480.0,212935.0,1.8718700000000001
300,2016-10-27,2625.0,297294.0,1.86058
301,2016-10-28,2480.0,168578.0,1.58389
302,2016-10-29,2480.0,168578.0,0.5816
303,2016-10-30,2480.0,168578.0,0.51102
304,2016-10-31,2300.0,190617.0,1.9509299999999998
305,2016-11-01,2345.0,133313.0,1.74482
306,2016-11-02,2155.0,149078.0,1.8125799999999999
307,2016-11-03,2230.0,107289.0,1.71376
308,2016-11-04,2275.0,76738.0,1.27615
309,2016-11-05,2275.0,76738.0,0.52231
310,2016-11-06,2275.0,76738.0,0.44608000000000003
311,2016-11-07,2350.0,112636.0,1.73353
312,2016-11-08,2345.0,72438.0,1.54436
313,2016-11-09,2235.0,225213.0,1.7787
314,2016-11-10,2500.0,1164732.0,2.9758
315,2016-11-11,2500.0,889583.0,2.5523
316,2016-11-12,2500.0,889583.0,0.68607
317,2016-11-13,2500.0,889583.0,0.56184
318,2016-11-14,2500.0,378225.0,2.00457
319,2016-11-15,2380.0,336092.0,1.7787
320,2016-11-16,2450.0,109621.0,1.7109400000000001
321,2016-11-17,2360.0,302884.0,1.65165
322,2016-11-18,2300.0,233745.0,1.34673
