period,price,volume,ratio
2016-01-04,8383.0,577868.0,3.9903699999999995
2016-01-05,8669.0,579984.0,7.94473
2016-01-06,8450.0,467707.0,4.74087
2016-01-07,8107.0,538939.0,3.92309
2016-01-08,8059.0,312907.0,3.6407
2016-01-11,7974.0,217095.0,3.3734800000000003
2016-01-12,8021.0,247064.0,3.2446
2016-01-13,8155.0,175110.0,3.3782099999999997
2016-01-14,8002.0,296657.0,2.98211
2016-01-15,7831.0,294234.0,2.76511
2016-01-18,7840.0,183342.0,2.89114
2016-01-19,7735.0,347730.0,2.90157
2016-01-20,7526.0,347791.0,2.83618
2016-01-21,7488.0,178454.0,2.99917
2016-01-22,7669.0,203576.0,2.81913
2016-01-25,7888.0,310378.0,2.93663
2016-01-26,7745.0,235214.0,2.87977
2016-01-27,7831.0,267538.0,2.65045
2016-01-28,7878.0,164150.0,2.66372
2016-01-29,7821.0,236519.0,2.48462
2016-02-01,7583.0,317375.0,2.8485
2016-02-02,7564.0,289856.0,2.6997299999999997
2016-02-03,7659.0,146285.0,2.49694
2016-02-04,7621.0,159351.0,2.4647200000000002
2016-02-05,7754.0,170535.0,2.12358
2016-02-11,7497.0,276590.0,2.7471099999999997
2016-02-12,7497.0,336330.0,2.97453
2016-02-15,7745.0,247558.0,2.93473
2016-02-16,7783.0,148988.0,2.91957
2016-02-17,8193.0,738368.0,3.66534
2016-02-18,8050.0,405419.0,3.4218
2016-02-19,8126.0,347148.0,3.3346199999999997
2016-02-22,8069.0,218128.0,2.98401
2016-02-23,8002.0,177915.0,2.81533
2016-02-24,8164.0,201030.0,2.72721
2016-02-25,8088.0,211697.0,2.69215
2016-02-26,8145.0,149161.0,2.5604299999999998
2016-02-29,8202.0,143491.0,2.6694
2016-03-02,8088.0,843468.0,2.99538
2016-03-03,8212.0,314137.0,2.8703
2016-03-04,8488.0,829386.0,3.66344
2016-03-07,8478.0,349144.0,3.35831
2016-03-08,8612.0,585715.0,3.4019
2016-03-09,8564.0,305531.0,3.2398599999999997
2016-03-10,8431.0,359666.0,2.84376
2016-03-11,8440.0,228078.0,2.5026200000000003
2016-03-14,8278.0,220928.0,2.80491
2016-03-15,8364.0,273580.0,2.58128
2016-03-16,8259.0,192757.0,2.48178
2016-03-17,8307.0,172673.0,2.75753
2016-03-18,8383.0,135871.0,2.58033
2016-03-21,8488.0,250696.0,2.90251
2016-03-22,8459.0,158881.0,2.9593700000000003
2016-03-23,8993.0,2306477.0,5.88842
2016-03-24,8945.0,1590556.0,5.65721
2016-03-25,8898.0,426354.0,4.0548
2016-03-28,9260.0,1288018.0,5.23647
