period,price,volume
2015-12-30,35550,188166
2016-01-04,35250,227803
2016-01-05,35050,226217
2016-01-06,33800,1192279
2016-01-07,32950,526932
2016-01-08,33200,379355
2016-01-11,32950,192171
2016-01-12,32450,166744
2016-01-13,33650,176911
2016-01-14,33500,289502
2016-01-15,32750,223822
2016-01-18,32650,143658
2016-01-19,31800,220646
2016-01-20,31000,228439
2016-01-21,31200,198267
2016-01-22,31500,171459
2016-01-25,32650,171525
2016-01-26,32350,155217
2016-01-27,33000,137088
2016-01-28,33000,135299
2016-01-29,32300,157274
2016-02-01,33850,247432
2016-02-02,33500,128532
2016-02-03,32650,178437
2016-02-04,32850,140202
2016-02-05,33600,175626
2016-02-11,32100,223793
2016-02-12,32200,288401
2016-02-15,33200,250641
2016-02-16,33300,159663
2016-02-17,33850,295087
2016-02-18,34000,195721
2016-02-19,33950,214773
2016-02-22,36900,1079368
2016-02-23,37300,540443
2016-02-24,38050,560342
2016-02-25,38000,347210
2016-02-26,39150,494845
2016-02-29,39200,362632
2016-03-02,39900,383847
2016-03-03,38950,509285
2016-03-04,39700,316271
2016-03-07,39250,305326
2016-03-08,39050,291814
2016-03-09,38300,208658
2016-03-10,40650,953341
2016-03-11,40000,364293
2016-03-14,39300,250897
2016-03-15,39300,182914
2016-03-16,38200,283933
2016-03-17,38450,354266
2016-03-18,37750,309197
2016-03-21,37000,285148
2016-03-22,36950,348501
2016-03-23,36750,407957
2016-03-24,36550,194081
2016-03-25,36550,214371
2016-03-28,36900,271643
2016-03-29,36900,274969
2016-03-30,37400,650513
2016-03-31,40350,977846
2016-04-01,39950,640804
2016-04-04,40000,408697
2016-04-05,40200,508387
2016-04-06,39350,256315
2016-04-07,39550,217386
2016-04-08,39150,224845
2016-04-11,38350,188575
2016-04-12,40100,336927
2016-04-14,41000,486861
2016-04-15,41800,596003
2016-04-18,41350,300980
2016-04-19,41450,191954
2016-04-20,42200,519337
2016-04-21,42700,1040696
2016-04-22,42050,375635
2016-04-25,42000,205365
2016-04-26,43200,356787
2016-04-27,42500,203637
2016-04-28,41750,332409
2016-04-29,41700,182784
2016-05-02,43500,499021
2016-05-03,44800,616151
2016-05-04,44600,380416
2016-05-09,46450,588373
2016-05-10,45100,436676
2016-05-11,45650,342524
2016-05-12,45600,262485
2016-05-13,47200,461135
2016-05-16,46400,278851
2016-05-17,46600,310762
2016-05-18,46300,210130
2016-05-19,44600,493486
2016-05-20,45500,286515
2016-05-23,44500,386808
2016-05-24,44700,288838
2016-05-25,44700,251922
2016-05-26,47000,605603
2016-05-27,45850,262114
2016-05-30,44550,359863
2016-05-31,44500,346677
2016-06-01,44550,441526
2016-06-02,44100,233524
2016-06-03,46450,459488
2016-06-07,46050,352573
2016-06-08,47700,618898
2016-06-09,47350,364375
2016-06-10,47550,227913
2016-06-13,48700,478952
2016-06-14,47650,370588
2016-06-15,47000,270331
2016-06-16,47700,383331
2016-06-17,47400,420370
2016-06-20,47900,146319
2016-06-21,47750,270350
2016-06-22,47950,153193
2016-06-23,47550,211141
2016-06-24,45850,578908
2016-06-27,47200,473740
2016-06-28,47400,274359
2016-06-29,48000,428887
2016-06-30,48600,257681
2016-07-01,47650,437975
2016-07-04,48950,489709
2016-07-05,51300,1067068
2016-07-06,52200,763973
2016-07-07,52500,398413
2016-07-08,52700,311405
2016-07-11,54800,711633
2016-07-12,54900,418612
2016-07-13,53800,394820
2016-07-14,54900,249952
2016-07-15,53800,262231
2016-07-18,52900,330327
2016-07-19,52800,146654
2016-07-20,54300,286911
2016-07-21,54400,211346
2016-07-22,53800,222312
2016-07-25,53500,117188
2016-07-26,54000,187332
2016-07-27,53700,168135
2016-07-28,53800,273768
2016-07-29,54100,257463
2016-08-01,58000,1072210
2016-08-02,58100,460841
2016-08-03,59400,428177
2016-08-04,59200,676901
2016-08-05,61500,648297
2016-08-08,62300,502310
2016-08-09,61600,379792
2016-08-10,60400,473710
2016-08-11,61300,316326
2016-08-12,61000,281928
2016-08-16,59800,320317
2016-08-17,60200,287155
2016-08-18,60100,258749
2016-08-19,58500,442123
2016-08-22,59800,309308
2016-08-23,59200,251891
2016-08-24,58900,259181
2016-08-25,58300,154772
2016-08-26,56700,494098
2016-08-29,59100,413749
2016-08-30,61100,529534
2016-08-31,61600,332202
2016-09-01,61700,322279
2016-09-02,62800,394953
2016-09-05,63700,346916
2016-09-06,62800,305844
2016-09-07,61200,430534
2016-09-08,60900,276598
2016-09-09,60200,399233
2016-09-12,59300,193256
2016-09-13,60400,276561
2016-09-19,61800,412626
2016-09-20,61600,324449
2016-09-21,61500,181767
2016-09-22,61900,293185
2016-09-23,63400,532485
2016-09-26,62800,205676
2016-09-27,63500,292795
2016-09-28,63000,163221
2016-09-29,63100,191206
2016-09-30,63600,245355
2016-10-04,65400,457293
2016-10-05,65700,265928
2016-10-06,65600,179363
2016-10-07,64800,290419
2016-10-10,65400,203591
2016-10-11,65400,201040
2016-10-12,65700,265099
2016-10-13,63900,291334
2016-10-14,65600,336471
2016-10-17,65700,348807
2016-10-18,67300,460114
2016-10-19,67400,310797
2016-10-20,67700,203240
2016-10-21,67200,155735
2016-10-24,64500,480686
2016-10-25,64600,444031
2016-10-26,65000,327774
2016-10-27,63900,305783
2016-10-28,64100,230454
2016-10-31,63800,214695
2016-11-01,50300,4064546
2016-11-02,48500,3349890
2016-11-03,49800,1092670
2016-11-04,48200,975945
2016-11-07,48050,555126
2016-11-08,46550,1078224
2016-11-09,48500,5754038
2016-11-10,50900,1741500
2016-11-11,51900,976565
2016-11-14,54000,949513
2016-11-15,53600,1175763
2016-11-16,55200,759344
2016-11-17,55400,499550
2016-11-18,55300,696937
2016-11-21,53800,369262
2016-11-22,53800,500822
2016-11-23,53000,457677
2016-11-24,50500,959877
2016-11-25,52100,519835
2016-11-28,52100,448756
2016-11-29,50700,660058
2016-11-30,47850,4339688
2016-12-01,46050,963023
2016-12-02,42650,2013516
2016-12-05,41650,1173860
2016-12-06,42400,835998
2016-12-07,42450,401379
2016-12-08,42350,652146
2016-12-09,42600,365561
2016-12-12,44700,888893
2016-12-13,43750,712562
2016-12-14,44700,690546
2016-12-15,45700,733743
2016-12-16,45500,627086
2016-12-19,44400,435056
2016-12-20,44550,526094
2016-12-21,44900,249180
2016-12-22,43350,491255
2016-12-23,43700,242211
2016-12-26,42750,354235
2016-12-27,42950,283809
2016-12-28,43000,270629
2016-12-29,43450,198142
2017-01-02,44750,333831
2017-01-03,46950,977418
2017-01-04,46700,797712
2017-01-05,47200,343584
2017-01-06,48250,445549
2017-01-09,46950,393611
2017-01-10,46400,370770
2017-01-11,47500,317594
2017-01-12,47500,335679
2017-01-13,47150,322657
2017-01-16,46100,262764
2017-01-17,44500,772049
2017-01-18,44800,284749
2017-01-19,44100,310914
2017-01-20,43400,404126
2017-01-23,44050,192357
2017-01-24,43100,270301
2017-01-25,41700,458905
2017-01-26,41900,264416
2017-01-31,41700,295705
2017-02-01,43700,548913
2017-02-02,42900,346659
2017-02-03,41650,536765
2017-02-06,42250,329810
2017-02-07,42900,324006
2017-02-08,41700,316865
2017-02-09,41350,348659
2017-02-10,40000,760896
2017-02-13,40750,513395
2017-02-14,41050,474070
2017-02-15,41800,377396
2017-02-16,41100,288213
2017-02-17,41150,296471
2017-02-20,41450,581260
2017-02-21,41650,402457
2017-02-22,44000,1054394
2017-02-23,44850,833621
2017-02-24,44900,515130
2017-02-27,44350,326994
2017-02-28,43900,469193
2017-03-02,44950,549015
2017-03-03,44000,548544
2017-03-06,44150,311638
2017-03-07,45400,494780
2017-03-08,44850,440576
2017-03-09,44500,315485
2017-03-10,44250,442987
2017-03-13,45900,623544
2017-03-14,45000,357772
2017-03-15,44600,235982
2017-03-16,45750,581886
2017-03-17,46300,459995
2017-03-20,45800,365485
2017-03-21,45450,368015
2017-03-22,46000,639512
2017-03-23,48250,1064249
2017-03-24,48200,710585
2017-03-27,47150,525370
2017-03-28,47700,368823
2017-03-29,46850,602527
2017-03-30,46750,346240
2017-03-31,47100,417463
2017-04-03,48050,632675
2017-04-04,47900,324687
2017-04-05,47000,497342
2017-04-06,47500,473741
2017-04-07,47550,277215
2017-04-10,48800,722173
2017-04-11,48600,495700
2017-04-12,47700,345617
2017-04-13,47650,404699
2017-04-14,47500,329403
2017-04-17,47000,331294
2017-04-18,47700,336998
2017-04-19,49200,968153
2017-04-20,49450,652523
2017-04-21,48950,438941
2017-04-24,50100,1013855
2017-04-25,50700,437456
2017-04-26,51300,466017
2017-04-27,53100,1176212
2017-04-28,52000,586370
2017-05-02,50700,408017
2017-05-04,50900,282040
2017-05-08,51600,385081
2017-05-10,50700,504628
2017-05-11,51300,341201
2017-05-12,51500,187155
2017-05-15,51300,140334
2017-05-16,50500,346122
2017-05-17,48500,869418
2017-05-18,48500,294375
2017-05-19,49400,291521
2017-05-22,48650,271241
2017-05-23,47850,460675
2017-05-24,47950,380046
2017-05-25,49250,501364
2017-05-26,50800,537594
2017-05-29,49700,337742
2017-05-30,50400,229333
2017-05-31,49950,266449
2017-06-01,49200,299933
2017-06-02,49200,403667
2017-06-05,49550,291183
2017-06-07,48700,317232
2017-06-08,48250,501919
2017-06-09,46750,879422
2017-06-12,46150,746547
2017-06-13,46600,471711
2017-06-14,46150,365730
2017-06-15,45000,482680
2017-06-16,45150,236249
2017-06-19,44300,328558
2017-06-20,43100,465219
2017-06-21,44700,538212
2017-06-22,44500,282728
2017-06-23,45400,246877
2017-06-26,44900,196271
2017-06-27,45800,308688
2017-06-28,45400,151702
2017-06-29,45450,158279
2017-06-30,44500,229175
2017-07-03,44600,142789
2017-07-04,43550,368674
2017-07-05,44300,284449
2017-07-06,44800,239696
2017-07-07,44000,223990
2017-07-10,43450,187268
2017-07-11,43100,261720
2017-07-12,42700,226086
2017-07-13,42950,192552
2017-07-14,40200,844068
2017-07-17,39300,808191
2017-07-18,38700,477914
2017-07-19,39650,607878
2017-07-20,39400,430159
2017-07-21,39650,352058
2017-07-24,39700,233842
2017-07-25,40000,298750
2017-07-26,39950,516323
2017-07-27,40400,252200
2017-07-28,39800,319449
2017-07-31,39900,282658
2017-08-01,39950,234189
2017-08-02,38400,649849
2017-08-03,35900,1436086
2017-08-04,37650,843214
2017-08-07,39050,550962
2017-08-08,39000,451376
2017-08-09,39300,407674
2017-08-10,39600,575299
2017-08-11,38900,410962
2017-08-14,38000,447467
2017-08-16,39500,634333
2017-08-17,39050,343263
2017-08-18,40850,1062198
2017-08-21,38550,1290666
2017-08-22,38950,348528
2017-08-23,39300,335919
2017-08-24,38600,312523
2017-08-25,38100,591592
2017-08-28,39200,319708
2017-08-29,38900,383267
2017-08-30,39000,255351
2017-08-31,38800,282681
2017-09-01,38650,249067
2017-09-04,38000,466120
2017-09-05,37900,243642
2017-09-06,36850,445667
2017-09-07,37700,293106
2017-09-08,37850,226293
2017-09-11,38200,253576
2017-09-12,38050,186200
2017-09-13,37500,244151
2017-09-14,37950,193969
2017-09-15,37600,226356
2017-09-18,37150,238888
2017-09-19,37450,218988
2017-09-20,36650,362313
2017-09-21,35850,434080
2017-09-22,34000,812491
2017-09-25,32750,582199
2017-09-26,33200,336458
2017-09-27,33000,270490
2017-09-28,32750,244577
2017-09-29,33200,297000
2017-10-10,34150,420019
2017-10-11,34350,365205
2017-10-12,33950,462673
2017-10-13,33150,409256
2017-10-16,33350,233607
2017-10-17,33450,247027
2017-10-18,34050,379100
2017-10-19,38050,1461571
2017-10-20,37200,677077
2017-10-23,36050,467993
2017-10-24,36250,365264
2017-10-25,36650,366298
2017-10-26,37200,410114
2017-10-27,39250,1168692
2017-10-30,38650,457028
2017-10-31,38400,550975
2017-11-01,39200,583147
2017-11-02,38950,262099
2017-11-03,39100,385734
2017-11-06,40150,951212
2017-11-07,40150,518205
2017-11-08,40500,764618
2017-11-09,40100,447269
2017-11-10,38550,739093
2017-11-13,37400,518468
2017-11-14,37300,597865
2017-11-15,36250,446910
2017-11-16,37000,318627
2017-11-17,36800,329902
2017-11-20,36950,430264
2017-11-21,35850,485061
2017-11-22,35950,353301
2017-11-23,36150,181624
2017-11-24,36150,202447
2017-11-27,35700,254566
2017-11-28,35300,301804
2017-11-29,35150,174425
2017-11-30,35250,307222
2017-12-01,34050,644233
2017-12-04,34200,247231
2017-12-05,34650,352559
2017-12-06,34050,419195
2017-12-07,34000,300872
2017-12-08,33550,229389
2017-12-11,34250,227028
2017-12-12,35600,747666
2017-12-13,35950,298846
2017-12-14,35300,341805
2017-12-15,35700,301120
2017-12-18,35700,220400
2017-12-19,34750,309084
2017-12-20,34900,223563
2017-12-21,35250,380472
2017-12-22,34200,315675
2017-12-26,34250,216434
2017-12-27,34250,183464
2017-12-28,35550,369665
2018-01-02,36500,355321
2018-01-03,36500,289206
2018-01-04,36450,235820
2018-01-05,35850,341107
2018-01-08,35050,357572
2018-01-09,35350,359861
2018-01-10,34900,507824
2018-01-11,34700,384651
2018-01-12,33800,736323
2018-01-15,33250,555007
2018-01-16,33500,685049
2018-01-17,33150,498867
2018-01-18,33700,429901
2018-01-19,33400,280690
2018-01-22,33050,504928
2018-01-23,33400,333963
2018-01-24,33400,385312
