period,price,volume
2015-12-30,26387,325795
2016-01-04,25558,437437
2016-01-05,25236,340251
2016-01-06,24315,684001
2016-01-07,22703,913458
2016-01-08,23117,612589
2016-01-11,22795,347787
2016-01-12,22381,314787
2016-01-13,22611,492641
2016-01-14,21874,418484
2016-01-15,21091,628214
2016-01-18,21229,413636
2016-01-19,21690,305562
2016-01-20,20262,560730
2016-01-21,20539,304038
2016-01-22,21045,226540
2016-01-25,21091,225981
2016-01-26,20953,195453
2016-01-27,21368,288741
2016-01-28,21368,179800
2016-01-29,21414,293577
2016-02-01,21460,207884
2016-02-02,22242,279166
2016-02-03,21736,266413
2016-02-04,21782,249572
2016-02-05,21137,188189
2016-02-11,19203,448793
2016-02-12,15887,1470956
2016-02-15,16578,842829
2016-02-16,16947,491790
2016-02-17,16947,1022798
2016-02-18,17868,580683
2016-02-19,17914,464619
2016-02-22,18006,259081
2016-02-23,17223,526848
2016-02-24,17499,314554
2016-02-25,17131,341817
2016-02-26,17591,278942
2016-02-29,17269,296087
2016-03-02,17269,315939
2016-03-03,16947,361873
2016-03-04,16947,284469
2016-03-07,16762,325869
2016-03-08,16486,514721
2016-03-09,17223,451827
2016-03-10,17591,364063
2016-03-11,17453,204002
2016-03-14,17545,196816
2016-03-15,17499,179605
2016-03-16,17914,437495
2016-03-17,17822,396134
2016-03-18,19111,873606
2016-03-21,19433,660394
2016-03-22,19525,286264
2016-03-23,19203,262534
2016-03-24,19203,187275
2016-03-25,18789,235122
2016-03-28,18512,185617
2016-03-29,19111,241734
2016-03-30,19157,242158
2016-03-31,18558,230606
2016-04-01,18052,428368
2016-04-04,18052,675385
2016-04-05,18697,558377
2016-04-06,19295,450550
2016-04-07,19525,487453
2016-04-08,19341,213285
2016-04-11,19525,492195
2016-04-12,19065,306622
2016-04-14,19940,514447
2016-04-15,20170,474553
2016-04-18,20539,610765
2016-04-19,20723,276406
2016-04-20,20907,397750
2016-04-21,20907,238004
2016-04-22,20953,244256
2016-04-25,20078,342677
2016-04-26,20585,172395
2016-04-27,20953,269578
2016-04-28,20354,193816
2016-04-29,20170,141270
2016-05-02,20308,150933
2016-05-03,20078,133486
2016-05-04,19387,259753
2016-05-09,19387,120825
2016-05-10,20999,424447
2016-05-11,21414,385035
2016-05-12,21045,178706
2016-05-13,20999,116201
2016-05-16,20354,197276
2016-05-17,20446,331865
2016-05-18,19894,176417
2016-05-19,19433,200058
2016-05-20,19986,191226
2016-05-23,19710,134827
2016-05-24,19479,102973
2016-05-25,19664,147812
2016-05-26,19295,207527
2016-05-27,19157,245087
2016-05-30,19295,162359
2016-05-31,19295,185020
2016-06-01,19572,142101
2016-06-02,20032,356117
2016-06-03,19848,158213
2016-06-07,20078,225792
2016-06-08,19664,228467
2016-06-09,19157,367546
2016-06-10,18743,325579
2016-06-13,17822,413536
2016-06-14,17545,244019
2016-06-15,17868,337419
2016-06-16,16855,500309
2016-06-17,17591,300655
2016-06-20,17730,189570
2016-06-21,17776,117898
2016-06-22,17637,113659
2016-06-23,17407,155847
2016-06-24,16302,543123
2016-06-27,16532,309041
2016-06-28,16624,198091
2016-06-29,17085,200912
2016-06-30,17223,186999
2016-07-01,17683,269699
2016-07-04,17683,105945
2016-07-05,17683,93424
2016-07-06,17315,180895
2016-07-07,17776,181657
2016-07-08,17407,122824
2016-07-11,17776,137823
2016-07-12,17453,201636
2016-07-13,17868,290702
2016-07-14,18512,403968
2016-07-15,18144,229612
2016-07-18,18512,183620
2016-07-19,18789,171945
2016-07-20,18466,150218
2016-07-21,19479,582294
2016-07-22,19203,194815
2016-07-25,18835,166280
2016-07-26,18835,164450
2016-07-27,18420,317769
2016-07-28,18881,411005
2016-07-29,19295,273645
2016-08-01,19433,369720
2016-08-02,19019,158417
2016-08-03,18697,272354
2016-08-04,19111,485419
2016-08-05,19111,241067
2016-08-08,18835,207027
2016-08-09,19019,197402
2016-08-10,18466,342494
2016-08-11,18052,253047
2016-08-12,18282,155700
2016-08-16,17637,259866
2016-08-17,17269,274970
2016-08-18,17591,176897
2016-08-19,17683,241886
2016-08-22,17545,113193
2016-08-23,17039,213762
2016-08-24,16855,234259
2016-08-25,16716,160407
2016-08-26,16716,127876
2016-08-29,15934,441152
2016-08-30,16026,280570
2016-08-31,15657,282569
2016-09-01,15795,205230
2016-09-02,15841,131004
2016-09-05,15934,164241
2016-09-06,16210,298997
2016-09-07,16072,225679
2016-09-08,15657,374529
2016-09-09,15381,241900
2016-09-12,14690,327092
2016-09-13,14920,165272
2016-09-19,15381,163291
2016-09-20,15289,127844
2016-09-21,15105,145382
2016-09-22,15519,164267
2016-09-23,15381,100833
2016-09-26,15427,71999
2016-09-27,15565,105741
2016-09-28,15335,108853
2016-09-29,15381,169499
2016-09-30,14874,161018
2016-10-04,15381,172206
2016-10-05,16026,347249
2016-10-06,16118,242956
2016-10-07,15703,161886
2016-10-10,15473,182643
2016-10-11,14782,472968
2016-10-12,14460,494105
2016-10-13,13953,347868
2016-10-14,13907,253415
2016-10-17,13953,207161
2016-10-18,14045,140766
2016-10-19,14184,239652
2016-10-20,13999,159526
2016-10-21,13861,143944
2016-10-24,13953,128618
2016-10-25,13815,193927
2016-10-26,13263,409508
2016-10-27,14045,417904
2016-10-28,13861,140063
2016-10-31,13953,177455
2016-11-01,13769,138679
2016-11-02,12802,431485
2016-11-03,13493,264304
2016-11-04,13493,83478
2016-11-07,14276,218575
2016-11-08,14506,219543
2016-11-09,13631,567928
2016-11-10,14230,172421
2016-11-11,14045,116038
2016-11-14,14230,171637
2016-11-15,14368,154618
2016-11-16,14552,168526
2016-11-17,14644,114358
2016-11-18,14138,125565
2016-11-21,14138,73654
2016-11-22,13953,98940
2016-11-23,13355,168933
2016-11-24,13078,156920
2016-11-25,13124,93629
2016-11-28,13217,60912
2016-11-29,13263,86704
2016-11-30,12940,155607
2016-12-01,12710,192872
2016-12-02,12802,131625
2016-12-05,12434,195998
2016-12-06,12848,98982
2016-12-07,12756,138941
2016-12-08,13032,117176
2016-12-09,13124,86770
2016-12-12,13309,86825
2016-12-13,13677,217001
2016-12-14,13447,156339
