period,price,volume
2015-12-30,41950,44703
2016-01-04,41300,39733
2016-01-05,41900,62924
2016-01-06,46650,466352
2016-01-07,46750,619233
2016-01-08,48800,340144
2016-01-11,45400,257230
2016-01-12,44600,140511
2016-01-13,44900,87392
2016-01-14,44950,135720
2016-01-15,46450,177990
2016-01-18,47800,171698
2016-01-19,48200,181601
2016-01-20,47450,195596
2016-01-21,46450,88585
2016-01-22,48050,128023
2016-01-25,49100,153351
2016-01-26,49700,105514
2016-01-27,48950,156795
2016-01-28,48800,83973
2016-01-29,48000,196493
2016-02-01,48700,110532
2016-02-02,47350,96126
2016-02-03,48900,154069
2016-02-04,45100,213598
2016-02-05,46800,206102
2016-02-11,43650,67427
2016-02-12,39600,258977
2016-02-15,40650,181688
2016-02-16,42150,98721
2016-02-17,39900,90935
2016-02-18,41450,71902
2016-02-19,42300,88522
2016-02-22,42500,79929
2016-02-23,41600,60152
2016-02-24,40150,83792
2016-02-25,40800,116784
2016-02-26,41200,57909
2016-02-29,41400,56051
2016-03-02,41500,101319
2016-03-03,41250,128522
2016-03-04,40400,149041
2016-03-07,39700,91416
2016-03-08,39300,139987
2016-03-09,38600,266927
2016-03-10,39200,311072
2016-03-11,39050,71932
2016-03-14,38750,105873
2016-03-15,38450,89766
2016-03-16,38750,128235
2016-03-17,38500,122040
2016-03-18,39000,138979
2016-03-21,38200,117589
2016-03-22,37700,154608
2016-03-23,37600,83118
2016-03-24,37000,163656
2016-03-25,37000,126420
2016-03-28,36650,113655
2016-03-29,35900,177610
2016-03-30,36800,121096
2016-03-31,36400,103659
2016-04-01,35700,134184
2016-04-04,36800,149244
2016-04-05,37900,181019
2016-04-06,37050,145800
2016-04-07,37000,147994
2016-04-08,37750,105610
2016-04-11,36700,75056
2016-04-12,36750,77609
2016-04-14,36050,95829
2016-04-15,36350,63244
2016-04-18,35950,59150
2016-04-19,35350,116799
2016-04-20,35350,48949
2016-04-21,34700,96864
2016-04-22,34450,59835
2016-04-25,35650,80139
2016-04-26,35950,141860
2016-04-27,34900,90655
2016-04-28,35350,79023
2016-04-29,35200,67399
2016-05-02,34000,93214
2016-05-03,34850,155724
2016-05-04,34800,61683
2016-05-09,34750,50992
2016-05-10,36400,119078
2016-05-11,36350,63673
2016-05-12,36600,51085
2016-05-13,36250,41857
2016-05-16,36050,49166
2016-05-17,36050,32389
2016-05-18,35400,69811
2016-05-19,34350,102008
2016-05-20,34850,69031
2016-05-23,35900,98121
2016-05-24,35100,66194
2016-05-25,34150,107726
2016-05-26,34500,47406
2016-05-27,34550,46769
2016-05-30,35000,46840
2016-05-31,34850,94233
2016-06-01,35000,36978
2016-06-02,35100,52645
2016-06-03,36650,160548
2016-06-07,38800,375194
2016-06-08,39000,217787
2016-06-09,38800,246198
2016-06-10,39400,138658
2016-06-13,38250,91236
2016-06-14,39400,144599
2016-06-15,39950,159734
2016-06-16,38500,160754
2016-06-17,39000,104908
2016-06-20,39550,84426
2016-06-21,40400,110335
2016-06-22,40800,146829
2016-06-23,38550,399706
2016-06-24,37700,333580
2016-06-27,37500,156259
2016-06-28,37750,81830
2016-06-29,38000,94238
2016-06-30,37850,68578
2016-07-01,38200,106887
2016-07-04,39000,117528
2016-07-05,38400,43102
2016-07-06,37350,114931
2016-07-07,38300,117148
2016-07-08,37800,90052
2016-07-11,37450,74564
2016-07-12,36750,102727
2016-07-13,36750,104218
2016-07-14,36000,107404
2016-07-15,35300,132822
2016-07-18,35600,43953
2016-07-19,35200,64989
2016-07-20,35600,40893
2016-07-21,35400,64236
2016-07-22,35300,50417
2016-07-25,35100,55694
2016-07-26,35100,72702
2016-07-27,34450,113516
2016-07-28,34700,87267
2016-07-29,34300,96077
2016-08-01,33200,163784
2016-08-02,32850,88243
2016-08-03,33200,55392
2016-08-04,33350,49876
2016-08-05,33150,63870
2016-08-08,33500,79218
2016-08-09,33450,75120
2016-08-10,33900,90798
2016-08-11,33750,69564
2016-08-12,33300,74840
2016-08-16,32950,58755
2016-08-17,32150,125710
2016-08-18,31400,97952
2016-08-19,32100,107484
2016-08-22,30800,137507
2016-08-23,31100,86375
2016-08-24,31400,86135
2016-08-25,31350,51787
2016-08-26,31350,37914
2016-08-29,30350,54534
2016-08-30,30250,45723
2016-08-31,30200,56551
2016-09-01,30200,42868
2016-09-02,30200,61640
2016-09-05,30800,51647
2016-09-06,29650,124320
2016-09-07,28550,139985
2016-09-08,28550,170227
2016-09-09,27800,132919
2016-09-12,27650,111252
2016-09-13,27800,50379
2016-09-19,27650,39360
2016-09-20,30100,130557
2016-09-21,29300,98958
2016-09-22,28950,110890
2016-09-23,29350,68996
2016-09-26,29700,72534
2016-09-27,29800,60013
2016-09-28,30150,94253
2016-09-29,30250,68742
2016-09-30,28650,135930
2016-10-04,29450,101737
2016-10-05,29050,55245
2016-10-06,28200,60367
2016-10-07,27400,83474
2016-10-10,27550,38671
2016-10-11,27000,77908
2016-10-12,27200,28735
2016-10-13,26700,92922
2016-10-14,25900,117924
2016-10-17,24900,146405
2016-10-18,24850,67681
2016-10-19,25450,103767
2016-10-20,25100,45431
2016-10-21,25700,68431
2016-10-24,24900,69743
2016-10-25,24150,56821
2016-10-26,24100,58017
2016-10-27,24550,44811
2016-10-28,23300,90716
2016-10-31,22200,121556
2016-11-01,21800,134538
2016-11-02,20400,217026
2016-11-03,21150,133186
2016-11-04,22100,121482
2016-11-07,21850,69587
2016-11-08,22100,57484
2016-11-09,21600,125528
2016-11-10,23700,196737
2016-11-11,23500,109357
2016-11-14,23250,57289
2016-11-15,23800,70119
2016-11-16,23750,45320
2016-11-17,23700,31040
2016-11-18,23450,38197
2016-11-21,22750,50571
2016-11-22,22350,93612
2016-11-23,20450,188411
2016-11-24,21700,175558
2016-11-25,21450,76898
2016-11-28,21700,56224
2016-11-29,21750,41405
2016-11-30,22500,77881
2016-12-01,22000,46166
2016-12-02,21900,34314
2016-12-05,21200,79972
2016-12-06,21100,72855
2016-12-07,20250,217188
2016-12-08,20500,140069
2016-12-09,21000,87889
2016-12-12,21650,108607
2016-12-13,23050,238843
2016-12-14,23050,141570
2016-12-15,23400,65436
2016-12-16,22900,73230
2016-12-19,23000,54433
2016-12-20,23000,56036
2016-12-21,23050,84371
2016-12-22,22850,53129
2016-12-23,22850,45715
2016-12-26,23400,121543
2016-12-27,23450,88507
2016-12-28,23900,57996
2016-12-29,23800,38567
2017-01-02,22900,83354
2017-01-03,22750,55108
2017-01-04,23450,50993
2017-01-05,24350,175804
2017-01-06,24300,91425
2017-01-09,23450,83039
2017-01-10,22900,68490
2017-01-11,22400,99826
2017-01-12,21900,106419
2017-01-13,22850,206230
2017-01-16,23300,92458
2017-01-17,22950,61123
2017-01-18,23600,93379
2017-01-19,23950,82983
2017-01-20,23800,81509
2017-01-23,23050,84496
2017-01-24,21950,128978
2017-01-25,21350,77903
2017-01-26,21450,74440
2017-01-31,21350,48364
2017-02-01,21900,63583
2017-02-02,21700,61022
2017-02-03,21800,64481
2017-02-06,21950,72044
2017-02-07,22550,102021
2017-02-08,22150,82524
2017-02-09,22450,54505
2017-02-10,22450,39486
2017-02-13,22700,54212
2017-02-14,22700,56359
2017-02-15,24000,214943
2017-02-16,24300,128519
2017-02-17,25500,186692
2017-02-20,25800,139554
2017-02-21,26700,213637
2017-02-22,26200,86804
2017-02-23,26400,62464
2017-02-24,26850,109105
2017-02-27,26650,92998
2017-02-28,26600,74117
2017-03-02,26000,81341
2017-03-03,25750,60413
2017-03-06,26000,36562
2017-03-07,26550,65909
2017-03-08,25400,104151
2017-03-09,25400,74297
2017-03-10,26850,119771
2017-03-13,26650,78963
2017-03-14,26600,86384
2017-03-15,25600,85918
2017-03-16,25400,125029
2017-03-17,26150,85237
2017-03-20,25350,88693
2017-03-21,28000,469894
2017-03-22,27600,182016
2017-03-23,26750,204131
2017-03-24,26950,93783
2017-03-27,27900,235127
2017-03-28,28100,106859
2017-03-29,28600,130402
2017-03-30,28500,76074
2017-03-31,28650,96601
2017-04-03,29150,85741
2017-04-04,29150,95167
2017-04-05,29550,184087
2017-04-06,30450,150518
2017-04-07,31250,178743
2017-04-10,30500,158246
2017-04-11,30300,141064
2017-04-12,30250,108989
2017-04-13,30100,72539
2017-04-14,30050,54687
2017-04-17,30700,78691
2017-04-18,31400,97091
2017-04-19,31800,98995
2017-04-20,31850,88340
2017-04-21,32000,93401
2017-04-24,31000,85399
2017-04-25,32200,112409
2017-04-26,32400,98657
2017-04-27,32750,83513
2017-04-28,32600,83284
2017-05-02,33000,54021
2017-05-04,32700,50226
2017-05-08,33000,145102
2017-05-10,33500,132460
2017-05-11,33550,86060
2017-05-12,32400,96159
2017-05-15,33200,62225
2017-05-16,32500,113917
2017-05-17,32900,68198
2017-05-18,33350,203413
2017-05-19,33750,86447
2017-05-22,33900,83546
2017-05-23,33700,77409
2017-05-24,35100,223362
2017-05-25,35500,138954
2017-05-26,35600,85976
2017-05-29,35300,67721
2017-05-30,35000,119538
2017-05-31,35500,108218
2017-06-01,35100,109588
2017-06-02,35450,105278
2017-06-05,36500,203895
2017-06-07,35350,239379
2017-06-08,34300,1005604
2017-06-09,33450,383402
2017-06-12,31650,326211
2017-06-13,32050,218035
2017-06-14,30850,258063
2017-06-15,30850,117094
2017-06-16,30450,129044
2017-06-19,31850,184240
2017-06-20,31550,204864
2017-06-21,32350,173735
2017-06-22,31350,113999
2017-06-23,31950,155416
2017-06-26,32050,85332
2017-06-27,31750,60011
2017-06-28,31100,93985
2017-06-29,31800,84252
2017-06-30,31800,75942
2017-07-03,31000,96558
2017-07-04,31700,130264
2017-07-05,32400,109106
2017-07-06,32550,123251
2017-07-07,33100,85084
2017-07-10,32300,66880
2017-07-11,31800,80707
2017-07-12,31150,85717
2017-07-13,29700,210454
2017-07-14,30050,99828
2017-07-17,30950,95419
2017-07-18,31350,56262
2017-07-19,31950,59144
2017-07-20,31850,85704
2017-07-21,31300,64403
2017-07-24,32100,67872
2017-07-25,32700,112028
2017-07-26,34600,259849
2017-07-27,33650,114621
2017-07-28,33700,152557
2017-07-31,32800,79817
2017-08-01,32150,86916
2017-08-02,31500,119782
2017-08-03,31050,91562
2017-08-04,31000,53060
2017-08-07,31000,73973
2017-08-08,31300,45618
2017-08-09,31600,62954
2017-08-10,31900,100878
2017-08-11,31500,105828
2017-08-14,30850,75127
2017-08-16,30550,83263
2017-08-17,30600,78274
2017-08-18,30900,53797
2017-08-21,31050,58991
2017-08-22,31150,36769
2017-08-23,30800,41211
2017-08-24,30900,47609
2017-08-25,31150,39108
2017-08-28,32100,133340
2017-08-29,33550,193797
2017-08-30,33950,92217
2017-08-31,33750,69296
2017-09-01,34950,173592
2017-09-04,34850,106106
2017-09-05,34050,79936
2017-09-06,34400,112207
2017-09-07,34950,95200
2017-09-08,34850,73790
2017-09-11,36450,277371
2017-09-12,36450,85760
2017-09-13,34900,149478
2017-09-14,36350,121071
2017-09-15,36450,91824
2017-09-18,35050,105702
2017-09-19,35400,91299
2017-09-20,38250,531847
2017-09-21,37850,272813
2017-09-22,36500,139508
2017-09-25,35500,100839
2017-09-26,37500,197262
2017-09-27,37950,81081
2017-09-28,38750,153755
2017-09-29,38200,84254
2017-10-10,38550,104807
2017-10-11,38500,102857
2017-10-12,39000,104911
2017-10-13,39350,176740
2017-10-16,37250,233194
2017-10-17,37600,127409
2017-10-18,37650,85456
2017-10-19,37900,86338
2017-10-20,38150,72098
2017-10-23,37650,84366
2017-10-24,38450,60005
2017-10-25,38800,72084
2017-10-26,39100,69668
2017-10-27,38300,54032
2017-10-30,38450,62829
2017-10-31,37850,138051
2017-11-01,37550,84702
2017-11-02,36500,89198
2017-11-03,37900,129265
2017-11-06,38200,73922
2017-11-07,37700,48867
2017-11-08,38200,63346
2017-11-09,37500,78644
2017-11-10,37850,65778
2017-11-13,38200,94954
2017-11-14,39550,194808
2017-11-15,41200,394770
2017-11-16,40900,141758
2017-11-17,39300,117696
2017-11-20,40300,93775
2017-11-21,41300,436176
2017-11-22,39400,245337
2017-11-23,40300,157483
2017-11-24,40600,172684
2017-11-27,40550,134729
2017-11-28,39650,98100
2017-11-29,39950,67651
2017-11-30,39200,110327
2017-12-01,39500,87211
2017-12-04,38950,58762
2017-12-05,38300,72836
2017-12-06,38400,107682
2017-12-07,36900,101920
2017-12-08,35900,85416
2017-12-11,37600,49394
2017-12-12,37300,55044
2017-12-13,38850,108774
2017-12-14,37450,129662
2017-12-15,38450,68068
2017-12-18,38400,42891
2017-12-19,37550,42510
2017-12-20,37900,47934
2017-12-21,37100,67673
2017-12-22,38500,96770
2017-12-26,38350,76559
2017-12-27,39250,51445
2017-12-28,39250,43549
2018-01-02,39500,38253
2018-01-03,38900,65399
2018-01-04,36800,117485
2018-01-05,36900,76238
2018-01-08,37150,64110
2018-01-09,37250,49385
2018-01-10,37150,60306
2018-01-11,37600,53462
2018-01-12,38550,141289
2018-01-15,39650,125844
2018-01-16,39600,88695
2018-01-17,39000,62000
