period,price,volume
2016-12-27,4320,129623
2016-12-28,4285,76885
2016-12-29,4250,91535
2017-01-02,4285,126459
2017-01-03,4380,157806
2017-01-04,4530,3124969
2017-01-05,4540,241025
2017-01-06,4535,249234
2017-01-09,4650,835679
2017-01-10,4730,1245837
2017-01-11,4700,457539
2017-01-12,4690,280941
2017-01-13,4805,472889
2017-01-16,4765,453161
2017-01-17,4785,140088
2017-01-18,4800,204716
2017-01-19,4790,523596
2017-01-20,4785,145380
2017-01-23,4710,194767
2017-01-24,4635,160344
2017-01-25,4655,126713
2017-01-26,4755,148913
2017-01-31,4765,117720
2017-02-01,4855,190853
2017-02-02,4805,280858
2017-02-03,4820,316574
2017-02-06,4840,143048
2017-02-07,4790,247640
2017-02-08,4775,163357
2017-02-09,4740,190381
2017-02-10,4710,119094
2017-02-13,4600,285185
2017-02-14,4570,136666
2017-02-15,4640,103390
2017-02-16,4650,62979
2017-02-17,4550,173298
2017-02-20,4630,198741
2017-02-21,4605,103182
2017-02-22,4520,116523
2017-02-23,4460,123913
2017-02-24,4420,78457
2017-02-27,4275,202073
2017-02-28,4285,118356
2017-03-02,4310,99256
2017-03-03,4240,122981
2017-03-06,4225,77040
2017-03-07,4300,56389
2017-03-08,4280,237985
2017-03-09,4285,201473
2017-03-10,4425,306048
2017-03-13,4410,142647
2017-03-14,4440,109611
2017-03-15,4400,120490
2017-03-16,4445,91242
2017-03-17,4430,84248
2017-03-20,4365,126011
2017-03-21,4330,68034
2017-03-22,4340,805543
2017-03-23,4250,169858
2017-03-24,4230,79177
2017-03-27,4215,111319
2017-03-28,4270,121297
2017-03-29,4315,109797
2017-03-30,4220,76271
2017-03-31,4285,131157
2017-04-03,4345,71286
2017-04-04,4300,261533
2017-04-05,4385,258112
2017-04-06,4350,96051
2017-04-07,4435,200304
2017-04-10,4320,189910
2017-04-11,4295,165930
2017-04-12,4260,100487
2017-04-13,4295,69060
2017-04-14,4220,102566
2017-04-17,4255,163502
2017-04-18,4255,106204
2017-04-19,4230,74474
2017-04-20,4190,157320
2017-04-21,4150,155731
2017-04-24,4140,92543
2017-04-25,4170,92565
2017-04-26,4205,94021
2017-04-27,4200,530930
2017-04-28,4190,102532
2017-05-02,4120,137220
2017-05-04,4170,102076
2017-05-08,4170,83093
2017-05-10,4190,103473
2017-05-11,4165,101191
2017-05-12,4125,122087
2017-05-15,4100,68660
2017-05-16,4020,158475
2017-05-17,3960,226703
2017-05-18,3875,214475
2017-05-19,3820,384379
2017-05-22,3950,202387
2017-05-23,3960,94077
2017-05-24,3970,84386
2017-05-25,3985,76418
2017-05-26,4010,466732
2017-05-29,4010,79064
2017-05-30,4060,101415
2017-05-31,4090,81237
2017-06-01,4125,151779
2017-06-02,4065,117239
2017-06-05,4050,106752
2017-06-07,4075,59442
2017-06-08,3995,111609
2017-06-09,3975,139247
2017-06-12,3985,85088
2017-06-13,3990,51045
2017-06-14,4005,107377
2017-06-15,4035,160562
2017-06-16,4060,101198
2017-06-19,3995,99552
2017-06-20,3965,94854
2017-06-21,3985,47726
2017-06-22,3935,109741
2017-06-23,3955,105673
2017-06-26,3890,131082
2017-06-27,3920,106080
2017-06-28,3905,80934
2017-06-29,3875,46671
2017-06-30,3850,55955
2017-07-03,3845,125987
2017-07-04,3830,67710
2017-07-05,3855,593825
2017-07-06,3795,114853
2017-07-07,3735,185037
2017-07-10,3660,240080
2017-07-11,3655,37478
2017-07-12,3685,357966
2017-07-13,3685,107580
2017-07-14,3620,109668
2017-07-17,3595,77111
2017-07-18,3580,51765
2017-07-19,3660,43957
2017-07-20,3660,99918
2017-07-21,3665,54763
2017-07-24,3640,53086
2017-07-25,3600,35433
2017-07-26,3580,78548
2017-07-27,3580,48016
2017-07-28,3550,48044
2017-07-31,3470,98407
2017-08-01,3555,41782
2017-08-02,3605,59911
2017-08-03,3550,311494
2017-08-04,3605,54250
2017-08-07,3655,89450
2017-08-08,3680,58287
2017-08-09,3590,85812
2017-08-10,3560,50972
2017-08-11,3240,329114
2017-08-14,3210,86163
2017-08-16,3335,96040
2017-08-17,3420,67310
2017-08-18,3430,39858
2017-08-21,3380,30880
2017-08-22,3410,55705
2017-08-23,3405,20123
2017-08-24,3400,32947
2017-08-25,3440,33547
2017-08-28,3425,24008
2017-08-29,3405,37815
2017-08-30,3385,78023
2017-08-31,3390,30992
2017-09-01,3390,99500
2017-09-04,3315,77261
2017-09-05,3290,56668
2017-09-06,3260,49806
2017-09-07,3255,86144
2017-09-08,3220,45200
2017-09-11,3210,59633
2017-09-12,3220,24202
2017-09-13,3190,34025
2017-09-14,3170,34290
2017-09-15,3120,64818
2017-09-18,3030,148314
2017-09-19,3045,36977
2017-09-20,3030,49112
2017-09-21,3060,93104
2017-09-22,2995,74108
2017-09-25,2875,106112
2017-09-26,2900,54852
2017-09-27,3005,67138
2017-09-28,3025,44516
2017-09-29,3030,18916
2017-10-10,2955,63223
2017-10-11,2995,21231
2017-10-12,3015,18461
2017-10-13,3000,46251
2017-10-16,2975,21634
2017-10-17,3015,62279
2017-10-18,3000,16758
2017-10-19,3000,24742
2017-10-20,3000,28298
2017-10-23,3015,33286
