period,price,volume
2015-12-30,7770,38377
2016-01-04,7600,43720
2016-01-05,7640,55178
2016-01-06,7580,73353
2016-01-07,7560,52943
2016-01-08,7470,75831
2016-01-11,7770,80677
2016-01-12,7780,36827
2016-01-13,7760,54249
2016-01-14,7750,29051
2016-01-15,7580,51915
2016-01-18,7480,39886
2016-01-19,7400,59130
2016-01-20,7120,156617
2016-01-21,7310,65853
2016-01-22,7340,25272
2016-01-25,7370,28501
2016-01-26,7210,53382
2016-01-27,7220,51611
2016-01-28,7070,109486
2016-01-29,7070,55147
2016-02-01,7090,94687
2016-02-02,7250,92250
2016-02-03,7190,22594
2016-02-04,7370,162014
2016-02-05,7570,59195
2016-02-11,7360,39264
2016-02-12,7260,78051
2016-02-15,7220,71809
2016-02-16,7300,59409
2016-02-17,7300,40328
2016-02-18,7490,64380
2016-02-19,7590,44585
2016-02-22,7560,32670
2016-02-23,7600,53911
2016-02-24,7590,57876
2016-02-25,7680,43657
2016-02-26,7730,32747
2016-02-29,7860,57305
2016-03-02,7900,80397
2016-03-03,8030,80569
2016-03-04,8110,54210
2016-03-07,8390,157473
2016-03-08,8490,94598
2016-03-09,8720,98949
2016-03-10,8760,95002
2016-03-11,8600,79031
2016-03-14,8590,42303
2016-03-15,8620,54709
2016-03-16,8830,112055
2016-03-17,8860,76026
2016-03-18,8910,86217
2016-03-21,8770,64695
2016-03-22,8840,88857
2016-03-23,8860,30604
2016-03-24,8840,43256
2016-03-25,9010,101357
2016-03-28,9060,54301
2016-03-29,9070,81164
2016-03-30,9040,48624
2016-03-31,8890,77494
2016-04-01,9060,105761
2016-04-04,9050,70301
2016-04-05,8960,50538
2016-04-06,8750,87947
2016-04-07,8820,46364
2016-04-08,8760,32133
2016-04-11,8670,41772
2016-04-12,8660,37491
2016-04-14,8790,61630
2016-04-15,8580,104353
2016-04-18,8500,113326
2016-04-19,8620,86677
2016-04-20,8750,71624
2016-04-21,8690,41567
2016-04-22,8800,60200
2016-04-25,8690,33488
2016-04-26,8720,50608
2016-04-27,8640,70458
2016-04-28,8580,55989
2016-04-29,8510,57188
2016-05-02,8230,87169
2016-05-03,8250,44236
2016-05-04,8070,53158
2016-05-09,7890,64357
2016-05-10,7940,27305
2016-05-11,7900,27183
2016-05-12,7940,28299
2016-05-13,7910,26042
2016-05-16,7760,47333
2016-05-17,7710,95313
2016-05-18,7680,53617
2016-05-19,7510,90048
2016-05-20,7480,61535
2016-05-23,7540,50061
2016-05-24,7580,47629
2016-05-25,7710,39125
2016-05-26,7820,85968
2016-05-27,7720,66019
2016-05-30,7690,34605
2016-05-31,7660,64539
2016-06-01,7740,66696
2016-06-02,7770,51234
2016-06-03,8250,183433
2016-06-07,8230,118391
2016-06-08,8310,90728
2016-06-09,8700,324632
2016-06-10,8420,113300
2016-06-13,8280,60860
2016-06-14,8100,75961
2016-06-15,7960,58687
2016-06-16,7820,49651
2016-06-17,7960,54977
2016-06-20,8090,25554
2016-06-21,7890,116372
2016-06-22,7880,40949
2016-06-23,7930,37073
2016-06-24,7630,155316
2016-06-27,7720,56618
2016-06-28,7760,37538
2016-06-29,7820,38099
2016-06-30,7810,40631
2016-07-01,7850,28366
2016-07-04,7950,45628
2016-07-05,7980,34758
2016-07-06,7870,46121
2016-07-07,7990,31941
2016-07-08,7890,36010
2016-07-11,7900,27699
2016-07-12,7860,26264
2016-07-13,7890,45901
2016-07-14,7860,29257
