period,ratio
2016-01-01,0.46916
2016-01-02,0.37533
2016-01-03,0.52815
2016-01-04,2.11796
2016-01-05,1.75871
2016-01-06,1.70777
2016-01-07,1.4504
2016-01-08,1.51742
2016-01-09,0.39946
2016-01-10,0.40214
2016-01-11,1.59517
2016-01-12,2.64343
2016-01-13,2.94906
2016-01-14,3.14477
2016-01-15,2.77747
2016-01-16,0.68364
2016-01-17,0.51474
2016-01-18,3.34584
2016-01-19,3.11528
2016-01-20,2.87667
2016-01-21,2.69436
2016-01-22,2.563
2016-01-23,0.53619
2016-01-24,0.36193
2016-01-25,1.90616
2016-01-26,1.68364
2016-01-27,1.58445
2016-01-28,1.60053
2016-01-29,1.49865
2016-01-30,0.32171
2016-01-31,0.31099
2016-02-01,1.64611
2016-02-02,1.54691
2016-02-03,1.32439
2016-02-04,1.34852
2016-02-05,1.28686
2016-02-06,0.3512
2016-02-07,0.26273
2016-02-08,0.13941
2016-02-09,0.21179
2016-02-10,0.33512
2016-02-11,2.34584
2016-02-12,1.9571
2016-02-13,0.36193
2016-02-14,0.29758
2016-02-15,1.69973
2016-02-16,1.71313
2016-02-17,1.80428
2016-02-18,1.90348
2016-02-19,1.4504
2016-02-20,0.32707
2016-02-21,0.30831
2016-02-22,1.689
2016-02-23,1.49865
2016-02-24,1.45576
2016-02-25,1.24664
2016-02-26,1.2386
2016-02-27,0.24932
2016-02-28,0.26005
2016-02-29,1.2386
2016-03-01,0.35924
2016-03-02,1.28686
2016-03-03,1.27077
2016-03-04,1.19839
2016-03-05,0.38605
2016-03-06,0.52278
2016-03-07,1.7319
2016-03-08,1.18766
2016-03-09,1.12332
2016-03-10,0.9571
2016-03-11,1.04289
2016-03-12,0.20107
2016-03-13,0.1689
2016-03-14,1.20107
2016-03-15,1.0697
2016-03-16,1.2815
2016-03-17,1.66219
2016-03-18,1.44504
2016-03-19,0.26005
2016-03-20,0.2252
2016-03-21,1.10723
2016-03-22,1.41286
2016-03-23,1.52815
2016-03-24,1.27345
2016-03-25,1.42895
2016-03-26,0.31367
2016-03-27,0.27613
2016-03-28,1.60589
2016-03-29,1.43967
2016-03-30,1.37533
2016-03-31,2.71581
2016-04-01,3.24932
2016-04-02,0.5764
2016-04-03,0.56836
2016-04-04,2.39678
2016-04-05,1.90616
2016-04-06,1.64343
2016-04-07,1.63806
2016-04-08,2.03217
2016-04-09,0.47453
2016-04-10,0.49597
2016-04-11,2.17694
2016-04-12,1.59249
2016-04-13,0.42091
2016-04-14,1.54423
2016-04-15,1.27345
2016-04-16,0.15549
2016-04-17,0.18766
2016-04-18,1.2949
2016-04-19,1.37533
2016-04-20,1.26809
2016-04-21,1.40482
2016-04-22,1.50134
2016-04-23,0.32707
2016-04-24,0.28954
2016-04-25,1.37265
2016-04-26,1.66487
2016-04-27,1.24396
2016-04-28,1.08042
2016-04-29,0.99195
2016-04-30,0.15281
2016-05-01,0.10991
2016-05-02,0.96514
2016-05-03,0.97319
2016-05-04,0.87131
2016-05-05,0.16621
2016-05-06,0.15281
2016-05-07,0.16085
2016-05-08,0.09383
2016-05-09,1.21715
2016-05-10,1.02949
2016-05-11,0.99195
2016-05-12,0.93833
2016-05-13,1.03485
2016-05-14,0.14745
2016-05-15,0.1823
2016-05-16,1.03217
2016-05-17,1.02412
2016-05-18,0.81233
2016-05-19,0.93029
2016-05-20,1.64075
2016-05-21,0.17158
2016-05-22,0.14209
2016-05-23,1.58176
2016-05-24,1.13404
2016-05-25,1.34048
2016-05-26,2.89276
2016-05-27,4.87667
2016-05-28,0.70777
2016-05-29,0.47989
2016-05-30,2.60053
2016-05-31,2.25469
2016-06-01,2.38337
2016-06-02,1.78552
2016-06-03,1.53619
2016-06-04,0.30563
2016-06-05,0.19302
2016-06-06,0.26809
2016-06-07,1.72922
2016-06-08,1.57908
2016-06-09,1.53083
2016-06-10,1.78284
2016-06-11,0.31099
2016-06-12,0.27882
2016-06-13,1.63538
2016-06-14,1.46112
2016-06-15,1.36997
2016-06-16,1.34316
2016-06-17,1.10187
2016-06-18,0.19839
2016-06-19,0.1689
2016-06-20,1.42895
2016-06-21,1.4638
2016-06-22,1.68632
2016-06-23,1.46112
2016-06-24,1.52278
2016-06-25,0.2252
2016-06-26,0.31367
2016-06-27,2.14745
2016-06-28,2.53351
2016-06-29,2.55227
2016-06-30,2.05093
2016-07-01,2.45576
2016-07-02,0.42359
2016-07-03,0.42359
2016-07-04,2.82037
2016-07-05,2.60589
2016-07-06,4.26273
2016-07-07,3.31635
2016-07-08,2.94369
2016-07-09,0.45308
2016-07-10,0.4504
2016-07-11,4.42895
2016-07-12,4.93297
2016-07-13,10.7882
2016-07-14,15.79088
2016-07-15,9.06702
2016-07-16,1.71045
2016-07-17,1.39142
2016-07-18,7.81769
2016-07-19,7.5764
2016-07-20,5.84986
2016-07-21,4.98391
2016-07-22,4.44772
2016-07-23,0.87399
2016-07-24,0.77479
2016-07-25,3.85522
2016-07-26,4.83646
2016-07-27,6.35656
2016-07-28,5.19571
2016-07-29,4.79356
2016-07-30,1.29222
2016-07-31,1.0268
2016-08-01,4.71045
2016-08-02,3.81769
2016-08-03,3.39142
2016-08-04,3.10455
2016-08-05,3.13136
2016-08-06,0.68096
2016-08-07,0.60053
2016-08-08,3.23324
2016-08-09,3.07774
2016-08-10,7.32171
2016-08-11,5.0563
2016-08-12,5.13404
2016-08-13,1.03217
2016-08-14,0.65415
2016-08-15,0.89276
2016-08-16,4.0134
2016-08-17,3.88471
2016-08-18,3.54423
2016-08-19,3.80965
2016-08-20,0.73994
2016-08-21,0.83109
2016-08-22,4.64879
2016-08-23,5.32171
2016-08-24,10.1689
2016-08-25,16.43967
2016-08-26,8.87935
2016-08-27,2.36729
2016-08-28,2.09919
2016-08-29,10.93565
2016-08-30,6.87131
2016-08-31,4.98927
2016-09-01,5.91152
2016-09-02,6.82573
2016-09-03,1.40482
2016-09-04,1.24396
2016-09-05,9.53887
2016-09-06,16.16353
2016-09-07,18.47184
2016-09-08,11.96246
2016-09-09,13.71313
2016-09-10,2.8579
2016-09-11,2.19571
2016-09-12,19.86863
2016-09-13,10.72117
2016-09-14,1.9142
2016-09-15,1.22788
2016-09-16,1.16085
2016-09-17,1.22788
2016-09-18,1.83914
2016-09-19,10.27613
2016-09-20,7.54959
2016-09-21,7.37265
2016-09-22,6.3941
2016-09-23,5.76139
2016-09-24,1.48525
2016-09-25,1.32975
2016-09-26,18.02144
2016-09-27,15.69436
2016-09-28,11.60053
2016-09-29,13.15013
2016-09-30,9.13136
2016-10-01,2.23592
2016-10-02,1.69436
2016-10-03,2.17426
2016-10-04,8.62466
2016-10-05,6.63806
2016-10-06,7.79088
2016-10-07,6.29758
2016-10-08,1.37533
2016-10-09,1.38605
2016-10-10,5.99195
2016-10-11,5.47989
2016-10-12,4.83109
2016-10-13,10.08847
2016-10-14,6.71849
2016-10-15,1.41018
2016-10-16,1.37533
2016-10-17,7.35656
2016-10-18,6.16085
2016-10-19,6.87935
2016-10-20,5.05898
2016-10-21,7.08847
2016-10-22,1.31903
2016-10-23,1.27613
2016-10-24,8.34048
2016-10-25,7.55227
2016-10-26,6.44772
2016-10-27,5.81233
2016-10-28,5.41286
2016-10-29,1.12332
2016-10-30,1.03485
2016-10-31,5.66487
2016-11-01,6.73726
2016-11-02,8.67292
2016-11-03,5.9571
2016-11-04,7.49061
2016-11-05,1.40482
2016-11-06,1.36193
2016-11-07,6.52815
2016-11-08,11.41286
2016-11-09,8.35388
2016-11-10,7.563
2016-11-11,5.34048
2016-11-12,0.96782
2016-11-13,0.91689
2016-11-14,5.0563
2016-11-15,4.25737
2016-11-16,4.38873
2016-11-17,3.99731
2016-11-18,3.28418
2016-11-19,0.77479
2016-11-20,0.75335
2016-11-21,3.62198
2016-11-22,3.51206
2016-11-23,7.4075
2016-11-24,6.21447
2016-11-25,4.43967
2016-11-26,1.00536
2016-11-27,0.92225
2016-11-28,4.03485
2016-11-29,3.61662
2016-11-30,4.17158
2016-12-01,4.87935
2016-12-02,3.59517
2016-12-03,0.77211
2016-12-04,0.69436
2016-12-05,4.0563
2016-12-06,4.58981
2016-12-07,3.38873
2016-12-08,3.24932
2016-12-09,3.13941
2016-12-10,0.55227
2016-12-11,0.61126
2016-12-12,3.19034
2016-12-13,3.15817
2016-12-14,4.18766
2016-12-15,3.0697
2016-12-16,2.61394
2016-12-17,0.51742
2016-12-18,0.50134
2016-12-19,2.67828
2016-12-20,2.80965
2016-12-21,2.86058
2016-12-22,2.29222
2016-12-23,2.2815
2016-12-24,0.42359
2016-12-25,0.38873
2016-12-26,2.5067
2016-12-27,2.34316
2016-12-28,2.72922
2016-12-29,2.20911
2016-12-30,1.08042
2016-12-31,0.34316
2017-01-01,0.43699
2017-01-02,2.4638
2017-01-03,2.41286
2017-01-04,2.71045
2017-01-05,2.31903
2017-01-06,2.22252
2017-01-07,0.45844
2017-01-08,0.39142
2017-01-09,2.19302
2017-01-10,1.92761
2017-01-11,1.99195
2017-01-12,2.28954
2017-01-13,2.0
2017-01-14,0.37801
2017-01-15,0.41286
2017-01-16,2.81233
2017-01-17,4.73994
2017-01-18,4.52546
2017-01-19,3.13672
2017-01-20,2.32975
2017-01-21,0.39678
2017-01-22,0.47184
2017-01-23,2.61126
2017-01-24,2.65147
2017-01-25,2.33243
2017-01-26,1.91689
2017-01-27,0.37533
2017-01-28,0.38337
2017-01-29,0.41286
2017-01-30,0.5067
2017-01-31,2.73458
2017-02-01,3.54959
2017-02-02,3.71045
2017-02-03,2.61394
2017-02-04,0.52546
2017-02-05,0.44772
2017-02-06,2.31903
2017-02-07,2.7453
2017-02-08,2.35924
2017-02-09,2.33512
2017-02-10,2.0
2017-02-11,0.37265
2017-02-12,0.39678
2017-02-13,2.17694
2017-02-14,2.10991
2017-02-15,2.06166
2017-02-16,1.98927
2017-02-17,1.71045
2017-02-18,0.3378
2017-02-19,0.27345
2017-02-20,5.99195
2017-02-21,4.46112
2017-02-22,3.36461
2017-02-23,2.53619
2017-02-24,2.19034
2017-02-25,0.4504
2017-02-26,0.35924
2017-02-27,2.40482
2017-02-28,2.20643
2017-03-01,0.42627
2017-03-02,2.24664
2017-03-03,2.32439
2017-03-04,0.54691
2017-03-05,0.50134
2017-03-06,2.59249
2017-03-07,4.44772
2017-03-08,2.98927
2017-03-09,3.17962
2017-03-10,2.64075
2017-03-11,0.48525
2017-03-12,0.49061
2017-03-13,2.57104
2017-03-14,2.17158
2017-03-15,2.13404
2017-03-16,2.20911
2017-03-17,2.00268
2017-03-18,0.44504
2017-03-19,0.39678
2017-03-20,2.0831
2017-03-21,2.19302
2017-03-22,1.97319
2017-03-23,1.93297
2017-03-24,1.5764
2017-03-25,0.39142
2017-03-26,0.3512
2017-03-27,3.22252
2017-03-28,3.77747
2017-03-29,3.31635
2017-03-30,3.07238
2017-03-31,2.24932
2017-04-01,0.44504
2017-04-02,0.47989
2017-04-03,2.38069
2017-04-04,1.99195
2017-04-05,2.0697
2017-04-06,1.94906
2017-04-07,1.67292
2017-04-08,0.38605
2017-04-09,0.36729
2017-04-10,2.19302
2017-04-11,1.95442
2017-04-12,1.78552
2017-04-13,2.22252
2017-04-14,2.39678
2017-04-15,0.35656
2017-04-16,0.31099
2017-04-17,1.93833
2017-04-18,1.73726
2017-04-19,1.83646
2017-04-20,2.31903
2017-04-21,1.8016
2017-04-22,0.3378
2017-04-23,0.29222
2017-04-24,1.69436
2017-04-25,1.83378
2017-04-26,1.88471
2017-04-27,1.75335
2017-04-28,1.65147
2017-04-29,0.28418
2017-04-30,0.28686
2017-05-01,0.5201
2017-05-02,1.58713
2017-05-03,0.36193
2017-05-04,1.73994
2017-05-05,0.45308
2017-05-06,0.43699
2017-05-07,0.46916
2017-05-08,2.13404
2017-05-09,0.65415
2017-05-10,2.32707
2017-05-11,2.68096
2017-05-12,2.13672
2017-05-13,0.43431
2017-05-14,0.30831
2017-05-15,2.75067
2017-05-16,2.78016
2017-05-17,3.09383
2017-05-18,2.69436
2017-05-19,2.30294
2017-05-20,0.46112
2017-05-21,0.3378
2017-05-22,2.91152
2017-05-23,4.03217
2017-05-24,4.17158
2017-05-25,7.61662
2017-05-26,5.39678
2017-05-27,0.91689
2017-05-28,1.05361
