period,ratio
2016-09-23,12.04445
2016-09-24,3.13019
2016-09-25,3.05458
2016-09-26,10.69862
2016-09-27,7.45501
2016-09-28,6.87282
2016-09-29,5.71601
2016-09-30,4.68017
2016-10-01,1.49705
2016-10-02,1.35339
2016-10-03,2.11704
2016-10-04,4.74822
2016-10-05,4.37774
2016-10-06,4.13579
2016-10-07,3.27385
2016-10-08,1.07364
2016-10-09,1.10388
2016-10-10,18.83411
2016-10-11,10.10887
2016-10-12,16.81536
2016-10-13,47.3915
2016-10-14,32.07318
2016-10-15,5.69333
2016-10-16,5.40601
2016-10-17,18.69045
2016-10-18,13.43565
2016-10-19,11.84787
2016-10-20,9.6779
2016-10-21,7.80281
2016-10-22,2.52532
2016-10-23,1.98094
2016-10-24,7.93134
2016-10-25,7.98427
2016-10-26,7.32647
2016-10-27,6.2982
2016-10-28,4.89187
2016-10-29,1.58022
2016-10-30,1.42144
2016-10-31,5.17919
2016-11-01,4.84651
2016-11-02,4.31725
2016-11-03,7.33403
2016-11-04,6.1999
2016-11-05,1.48949
2016-11-06,1.36851
2016-11-07,4.64237
2016-11-08,4.7331
2016-11-09,5.54967
2016-11-10,5.20187
2016-11-11,4.84651
2016-11-12,1.27022
2016-11-13,1.58778
2016-11-14,6.4721
2016-11-15,5.59504
2016-11-16,5.26992
2016-11-17,4.68017
2016-11-18,4.06018
2016-11-19,1.48192
2016-11-20,1.05096
2016-11-21,4.46091
2016-11-22,8.92182
2016-11-23,5.5043
2016-11-24,5.0809
2016-11-25,4.23408
2016-11-26,1.37607
2016-11-27,1.42144
2016-11-28,4.09042
2016-11-29,4.2114
2016-11-30,5.2548
2016-12-01,4.43822
2016-12-02,4.08286
2016-12-03,1.14169
2016-12-04,1.06608
2016-12-05,4.36261
2016-12-06,3.71994
2016-12-07,4.14335
2016-12-08,4.44578
2016-12-09,3.91652
2016-12-10,1.36851
2016-12-11,1.23998
2016-12-12,4.46847
2016-12-13,4.45334
2016-12-14,4.31725
2016-12-15,3.88628
2016-12-16,12.18055
