period,ratio
2016-01-01,0.99502
2016-01-02,0.72219
2016-01-03,1.10736
2016-01-04,6.27507
2016-01-05,6.25902
2016-01-06,7.10961
2016-01-07,5.74546
2016-01-08,6.09853
2016-01-09,1.2518
2016-01-10,0.97897
2016-01-11,6.14668
2016-01-12,5.9541
2016-01-13,5.97014
2016-01-14,5.56892
2016-01-15,5.40844
2016-01-16,0.96292
2016-01-17,0.73824
2016-01-18,4.92697
2016-01-19,5.8578
2016-01-20,5.66522
2016-01-21,6.01829
2016-01-22,5.66522
2016-01-23,1.12341
2016-01-24,0.86663
2016-01-25,5.74546
2016-01-26,5.07141
2016-01-27,5.44053
2016-01-28,5.61707
2016-01-29,4.81463
2016-01-30,0.85058
2016-01-31,0.80243
2016-02-01,5.02327
2016-02-02,4.78253
2016-02-03,4.38131
2016-02-04,5.18375
2016-02-05,4.33317
2016-02-06,0.96292
2016-02-07,0.69009
2016-02-08,0.75429
2016-02-09,0.78639
2016-02-10,1.04317
2016-02-11,7.46268
2016-02-12,9.43668
2016-02-13,2.16658
2016-02-14,1.36414
2016-02-15,8.53795
2016-02-16,8.65029
2016-02-17,8.36141
2016-02-18,8.82683
2016-02-19,7.54293
2016-02-20,1.23575
2016-02-21,1.12341
2016-02-22,6.70839
2016-02-23,6.32322
2016-02-24,7.33429
2016-02-25,7.04541
2016-02-26,7.09356
2016-02-27,1.316
2016-02-28,1.23575
2016-02-29,7.81575
2016-03-01,1.62092
2016-03-02,8.42561
2016-03-03,19.88444
2016-03-04,10.96132
2016-03-05,2.07029
2016-03-06,2.51965
2016-03-07,10.19098
2016-03-08,16.25742
2016-03-09,9.98234
2016-03-10,7.81575
2016-03-11,8.47376
2016-03-12,1.58883
2016-03-13,1.44439
2016-03-14,9.2441
2016-03-15,8.04044
2016-03-16,7.31824
2016-03-17,7.63922
2016-03-18,8.13673
2016-03-19,1.71722
2016-03-20,1.89375
2016-03-21,8.02439
2016-03-22,7.39849
2016-03-23,7.01332
2016-03-24,6.24297
2016-03-25,5.48868
2016-03-26,1.09131
2016-03-27,1.17156
