period,ratio
2016-01-01,0.09072
2016-01-02,0.1633
2016-01-03,0.1633
2016-01-04,0.12701
2016-01-05,0.21774
2016-01-06,0.29032
2016-01-08,0.12701
2016-01-11,0.23589
2016-01-12,0.10887
2016-01-13,0.23589
2016-01-14,0.25403
2016-01-15,0.18145
2016-01-16,0.09072
2016-01-18,0.25403
2016-01-19,0.1996
2016-01-20,0.34476
2016-01-21,0.12701
2016-01-22,0.32661
2016-01-23,0.09072
2016-01-24,0.10887
2016-01-25,0.10887
2016-01-26,0.21774
2016-01-27,0.76211
2016-01-28,0.36291
2016-01-29,0.68953
2016-01-30,0.38105
2016-02-01,0.25403
2016-02-02,0.30847
2016-02-03,0.18145
2016-02-04,0.29032
2016-02-05,0.3992
2016-02-07,0.10887
2016-02-09,0.14516
2016-02-10,0.23589
2016-02-11,0.38105
2016-02-12,0.1996
2016-02-15,0.34476
2016-02-16,0.32661
2016-02-17,0.30847
2016-02-18,0.41734
2016-02-19,0.32661
2016-02-21,0.14516
2016-02-22,0.76211
2016-02-23,0.38105
2016-02-24,0.27218
2016-02-25,0.38105
2016-02-26,0.09072
2016-02-29,0.10887
2016-03-02,0.38105
2016-03-03,0.36291
2016-03-04,0.36291
2016-03-06,0.09072
2016-03-07,0.3992
2016-03-08,0.3992
2016-03-09,0.30847
2016-03-10,0.29032
2016-03-11,0.23589
2016-03-12,0.14516
2016-03-13,0.10887
2016-03-14,0.34476
2016-03-15,0.1633
2016-03-16,0.09072
2016-03-17,0.25403
2016-03-18,0.12701
2016-03-20,0.09072
2016-03-21,0.09072
2016-03-22,0.38105
2016-03-23,0.30847
2016-03-24,0.27218
2016-03-25,0.32661
2016-03-26,0.18145
2016-03-27,0.14516
2016-03-28,0.38105
2016-03-29,0.1633
2016-03-30,0.30847
2016-03-31,0.32661
2016-04-01,0.21774
2016-04-02,0.10887
2016-04-03,0.09072
2016-04-04,0.25403
2016-04-05,0.63509
2016-04-06,0.56251
2016-04-07,0.43549
2016-04-08,0.30847
2016-04-09,0.14516
2016-04-11,0.1633
2016-04-12,0.34476
2016-04-13,0.09072
2016-04-14,0.23589
2016-04-15,0.52622
2016-04-17,0.09072
2016-04-18,0.76211
2016-04-19,0.52622
2016-04-20,0.47178
2016-04-21,0.30847
2016-04-22,0.10887
2016-04-23,0.10887
2016-04-25,0.29032
2016-04-26,0.3992
2016-04-27,0.47178
2016-04-28,0.68953
2016-04-29,0.58065
2016-04-30,0.12701
2016-05-01,0.14516
2016-05-02,0.30847
2016-05-03,0.52622
2016-05-04,0.36291
2016-05-05,0.12701
2016-05-07,0.09072
2016-05-09,0.50807
2016-05-10,0.50807
2016-05-11,0.47178
2016-05-12,0.78025
2016-05-13,0.998
2016-05-14,0.23589
2016-05-15,0.12701
2016-05-16,0.81654
2016-05-17,0.61694
2016-05-18,0.48992
2016-05-19,0.34476
2016-05-20,0.32661
2016-05-21,0.18145
2016-05-22,0.10887
2016-05-23,0.56251
2016-05-24,0.30847
2016-05-25,0.5988
2016-05-26,0.58065
2016-05-27,0.43549
2016-05-28,0.10887
2016-05-30,0.48992
2016-05-31,0.34476
2016-06-01,0.36291
2016-06-02,0.25403
2016-06-03,0.14516
2016-06-07,0.54436
2016-06-08,0.3992
2016-06-09,0.23589
2016-06-10,0.36291
2016-06-11,0.14516
2016-06-13,0.38105
2016-06-14,0.47178
2016-06-15,0.27218
2016-06-16,0.7984
2016-06-17,0.76211
2016-06-18,0.10887
2016-06-19,0.10887
2016-06-20,0.09072
2016-06-21,0.30847
2016-06-22,0.29032
2016-06-23,0.25403
2016-06-24,0.43549
2016-06-25,0.25403
2016-06-27,0.45363
2016-06-28,0.34476
2016-06-29,0.38105
2016-06-30,0.38105
2016-07-01,0.27218
2016-07-03,0.12701
2016-07-04,0.32661
2016-07-05,0.25403
2016-07-06,0.30847
2016-07-07,0.32661
2016-07-08,0.30847
2016-07-10,0.10887
2016-07-11,0.52622
2016-07-12,0.41734
2016-07-13,0.36291
2016-07-14,0.25403
2016-07-15,0.21774
2016-07-16,0.14516
2016-07-18,0.38105
2016-07-19,0.30847
2016-07-20,0.70767
2016-07-21,0.52622
2016-07-22,0.10887
2016-07-25,0.74396
2016-07-26,0.36291
2016-07-27,0.23589
2016-07-28,0.09072
2016-07-29,0.29032
2016-08-02,0.14516
2016-08-03,0.29032
2016-08-04,0.12701
2016-08-05,0.34476
2016-08-06,0.09072
2016-08-07,0.10887
2016-08-08,0.1996
2016-08-09,0.09072
2016-08-10,0.30847
2016-08-11,0.52622
2016-08-12,0.27218
2016-08-15,0.09072
2016-08-16,0.29032
2016-08-17,0.30847
2016-08-18,0.18145
2016-08-19,0.27218
2016-08-20,0.10887
2016-08-22,0.1633
2016-08-23,0.38105
2016-08-24,0.27218
2016-08-25,0.25403
2016-08-26,0.1996
2016-08-29,0.23589
2016-08-30,0.27218
2016-08-31,0.38105
2016-09-01,0.32661
2016-09-02,0.25403
2016-09-03,0.09072
2016-09-05,0.41734
2016-09-06,0.12701
2016-09-07,0.27218
2016-09-08,0.38105
2016-09-09,0.78025
2016-09-10,0.14516
2016-09-11,0.23589
2016-09-12,1.54236
2016-09-13,0.67138
2016-09-14,0.18145
2016-09-15,0.14516
2016-09-16,0.14516
2016-09-17,0.1633
2016-09-18,0.32661
2016-09-19,0.96171
2016-09-20,0.78025
2016-09-21,0.5988
2016-09-22,0.56251
2016-09-23,0.18145
2016-09-24,0.09072
2016-09-25,0.10887
2016-09-26,0.50807
2016-09-27,0.58065
2016-09-28,0.58065
2016-09-29,0.43549
2016-09-30,0.61694
2016-10-01,0.09072
2016-10-02,0.12701
2016-10-03,0.09072
2016-10-04,0.56251
2016-10-05,0.67138
2016-10-06,0.27218
2016-10-07,0.3992
2016-10-10,0.27218
2016-10-11,0.74396
2016-10-12,0.52622
2016-10-13,0.7984
2016-10-14,0.34476
2016-10-15,0.30847
2016-10-16,0.1996
2016-10-17,0.34476
2016-10-18,0.25403
2016-10-19,0.30847
2016-10-20,0.23589
2016-10-21,0.23589
2016-10-22,0.10887
2016-10-24,0.47178
2016-10-25,0.25403
2016-10-26,0.23589
2016-10-27,0.23589
2016-10-31,0.23589
2016-11-01,0.09072
2016-11-02,0.34476
2016-11-03,0.10887
2016-11-04,0.27218
2016-11-08,0.34476
2016-11-09,0.25403
2016-11-10,0.36291
2016-11-11,0.27218
2016-11-12,0.12701
2016-11-14,0.41734
2016-11-15,0.34476
2016-11-16,0.45363
2016-11-17,0.30847
2016-11-18,0.21774
2016-11-19,0.1996
2016-11-21,0.23589
2016-11-22,0.21774
2016-11-23,0.09072
2016-11-24,0.21774
2016-11-25,0.14516
2016-11-26,0.09072
2016-11-27,0.09072
2016-11-28,0.12701
2016-11-29,0.36291
2016-11-30,0.36291
2016-12-01,0.10887
2016-12-02,0.09072
2016-12-03,0.10887
2016-12-05,0.30847
2016-12-06,0.34476
2016-12-07,0.3992
2016-12-08,0.09072
2016-12-09,0.38105
2016-12-10,0.09072
2016-12-12,0.25403
2016-12-13,0.23589
2016-12-14,0.25403
2016-12-15,0.1633
2016-12-16,0.83469
2016-12-17,0.21774
2016-12-18,0.10887
2016-12-19,0.72582
2016-12-20,0.58065
2016-12-21,0.74396
2016-12-22,0.50807
2016-12-23,0.998
2016-12-24,0.27218
2016-12-25,0.14516
2016-12-26,0.68953
2016-12-27,0.34476
2016-12-28,0.3992
2016-12-29,0.25403
2016-12-30,0.09072
2017-01-02,0.41734
2017-01-03,0.41734
2017-01-04,0.25403
2017-01-05,0.52622
2017-01-06,0.70767
2017-01-07,0.18145
2017-01-08,0.1633
2017-01-09,0.36291
2017-01-10,0.23589
2017-01-11,0.61694
2017-01-12,0.67138
2017-01-13,0.58065
2017-01-14,0.09072
2017-01-16,0.30847
2017-01-17,0.38105
2017-01-18,0.52622
2017-01-19,0.5988
2017-01-20,0.48992
2017-01-22,0.12701
2017-01-23,0.47178
2017-01-24,0.61694
2017-01-25,1.14316
2017-01-26,1.10687
2017-01-27,0.23589
2017-01-29,0.12701
2017-01-30,0.10887
2017-01-31,0.3992
2017-02-01,0.7984
2017-02-02,0.63509
2017-02-03,0.32661
2017-02-04,0.21774
2017-02-05,0.09072
2017-02-06,0.45363
2017-02-07,0.45363
2017-02-08,0.41734
2017-02-09,0.50807
2017-02-10,0.23589
2017-02-13,0.29032
2017-02-14,0.30847
2017-02-15,0.30847
2017-02-16,0.21774
2017-02-17,0.30847
2017-02-19,0.10887
2017-02-20,0.14516
2017-02-21,0.12701
2017-02-22,0.29032
2017-02-23,0.32661
2017-02-24,0.21774
2017-02-25,0.10887
2017-02-27,0.1633
2017-02-28,0.18145
2017-03-01,0.1633
2017-03-02,0.1633
2017-03-03,0.18145
2017-03-04,0.10887
2017-03-06,0.14516
2017-03-07,0.30847
