period,ratio
2016-01-01,8.37209
2016-01-02,10.69767
2016-01-03,8.68217
2016-01-04,42.48062
2016-01-05,43.87596
2016-01-06,41.86046
2016-01-07,42.63565
2016-01-08,39.2248
2016-01-09,8.8372
2016-01-10,8.37209
2016-01-11,34.88372
2016-01-12,36.58914
2016-01-13,29.92248
2016-01-14,27.75193
2016-01-15,32.09302
2016-01-16,10.38759
2016-01-17,5.27131
2016-01-18,27.59689
2016-01-19,26.20155
2016-01-20,30.85271
2016-01-21,28.06201
2016-01-22,29.76744
2016-01-23,7.13178
2016-01-24,7.13178
2016-01-25,31.31782
2016-01-26,31.31782
2016-01-27,44.65116
2016-01-28,36.27906
2016-01-29,43.10077
2016-01-30,14.26356
2016-01-31,10.23255
2016-02-01,37.98449
2016-02-02,33.02325
2016-02-03,24.65116
2016-02-04,21.86046
2016-02-05,21.70542
2016-02-06,3.87596
2016-02-07,2.63565
2016-02-08,5.27131
2016-02-09,5.27131
2016-02-10,5.73643
2016-02-11,27.75193
2016-02-12,33.17829
2016-02-13,7.90697
2016-02-14,3.41085
2016-02-15,26.66666
2016-02-16,31.16279
2016-02-17,32.24806
2016-02-18,30.85271
2016-02-19,27.44186
2016-02-20,7.90697
2016-02-21,7.44186
2016-02-22,24.96124
2016-02-23,23.56589
2016-02-24,22.32558
2016-02-25,24.031
2016-02-26,20.62015
2016-02-27,6.51162
2016-02-28,4.8062
2016-02-29,26.66666
2016-03-01,6.66666
2016-03-02,33.02325
2016-03-03,28.8372
2016-03-04,29.6124
2016-03-05,6.35658
2016-03-06,5.42635
2016-03-07,42.0155
2016-03-08,32.71317
2016-03-09,26.04651
2016-03-10,27.13178
2016-03-11,29.30232
2016-03-12,5.11627
2016-03-13,6.97674
2016-03-14,26.97674
2016-03-15,21.24031
2016-03-16,23.72093
2016-03-17,31.78294
2016-03-18,25.73643
2016-03-19,5.11627
2016-03-20,8.06201
2016-03-21,23.56589
2016-03-22,26.20155
2016-03-23,22.0155
2016-03-24,23.41085
2016-03-25,24.031
2016-03-26,6.04651
2016-03-27,6.97674
2016-03-28,26.20155
2016-03-29,31.47286
2016-03-30,31.31782
2016-03-31,32.09302
2016-04-01,28.37209
2016-04-02,6.20155
2016-04-03,7.28682
2016-04-04,26.8217
2016-04-05,26.8217
2016-04-06,31.78294
2016-04-07,31.93798
2016-04-08,32.09302
2016-04-09,6.97674
2016-04-10,4.49612
2016-04-11,29.45736
2016-04-12,31.16279
2016-04-13,9.30232
2016-04-14,23.87596
2016-04-15,22.63565
2016-04-16,5.11627
2016-04-17,5.42635
2016-04-18,25.42635
